iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
16,0.00251269025321,88424,88424,0.797302171247,0.00845454633236,0.0483362901927,3.15928985385e-11,3.11646879832e-12,2442,1,0,17937.63975,12.5637497902,31624,0,0,0.363251695925,0.999685578746,0,0.1,0,0,41980.6320608,1,1,0,0,0,50,34,4,20,15,0,0,7,-21,0,0,0,0,0,0,29.288046875
17,0.00251139204739,88424,88424,0.797302171247,0.00304840505123,0.0483362901927,2.89012982877e-11,3.09606100102e-12,2447,1,0,18199.6251659,12.2838749886,31061,0,0,0.364192632872,0.999685578746,0,0.1,0,0,41305.5266083,1,1,0,0,0,59,27,11,43,16,0,0,20,-11,0,0,0,0,0,0,29.5194361662
18,0.00251464838668,88423,88423,0.79729315444,0.0140365213156,0.0483362901927,2.58255086085e-11,3.30837553902e-12,2455,1,0,18069.8630424,12.7081246376,31864,0,0,0.368908402128,0.999685578746,0,0.1,0,0,41496.4289357,1,1,0,0,0,67,50,16,33,17,0,0,11,-3,0,0,0,0,0,0,30.253562042
19,0.00250986044144,88423,88423,0.79729315444,-0.00907070934772,0.0483362901927,2.01792474915e-11,3.00324417588e-12,2460,1,0,18079.69625,12.6061248779,30084,0,0,0.365932356871,0.999685578746,0,0.1,0,0,40679.6347719,1,1,0,0,0,63,22,14,55,18,0,0,16,-20,0,0,0,0,0,0,29.2362114168
20,0.00251080585225,88423,88423,0.79729315444,0.00604130327702,0.0483362901927,1.59546004977e-11,3.12687648101e-12,2460,1,0,18247.824625,13.3516249657,30458,0,0,0.36240065276,0.999706667587,0,0.1,0,0,40695.956642,1,1,0,0,0,59,41,12,30,19,0,0,12,-16,0,0,0,0,0,0,41.4637415842
21,0.00250206992383,88423,88423,0.79729315444,-0.00802166759968,0.0483362901927,1.53067968535e-11,2.5393954794e-12,2462,1,0,20528.0827498,14.421459198,28181,0,0,0.362560405539,0.999706667587,0,0.1,0,0,38263.0707978,1,1,0,0,0,36,14,5,27,20,0,0,2,-25,0,0,0,0,0,0,32.2883157497
22,0.00250689376276,88423,88423,0.79729315444,0.0164460390806,0.0483362901927,1.34719847746e-11,2.93056684433e-12,2461,1,0,18195.6360412,12.1575417519,29125,0,0,0.363451710251,0.999706667587,0,0.1,0,0,38953.1096983,1,1,0,0,0,55,45,17,27,21,0,0,8,11,0,0,0,0,0,0,29.4131004172
23,0.00250402386457,88424,88424,0.797302171247,-0.00904835760593,0.0483362901927,9.98495630553e-12,2.64843397387e-12,2464,1,0,18719.1392498,12.8447079659,28383,0,0,0.363135212373,0.999706667587,0,0.1,0,0,38579.5370709,1,1,0,0,0,52,31,11,32,22,0,0,13,-16,0,0,0,0,0,0,29.8095988752
24,0.0025065337451,88422,88422,0.797284137633,0.00785551965237,0.0483362901927,7.21657030739e-12,2.88078717797e-12,2464,1,0,18116.1299171,12.9248747826,28986,0,0,0.363569634435,0.999706667587,0,0.1,0,0,38946.8438025,1,1,0,0,0,53,40,7,20,23,0,0,9,-8,0,0,0,0,0,0,29.331499333
25,0.00250382937542,88423,88423,0.79729315444,-0.00902749598026,0.0483362901927,3.74500298935e-12,2.6250332675e-12,2466,1,0,22825.3963752,14.3238749504,28163,0,0,0.367353096911,0.999468833274,0,0.1,0,0,38458.5052591,1,1,0,0,0,53,35,12,30,24,0,0,20,-20,0,0,0,0,0,0,46.7946882499
26,0.00250372153736,88424,88424,0.797302171247,0.0143218785524,0.0483362901927,1.04107821023e-12,2.65988880737e-12,2464,1,0,16676.5352077,14.0234999657,28169,0,0,0.368908884738,0.999468833274,0,0.1,0,0,37942.225712,1,1,0,0,0,44,33,7,18,25,0,0,8,-17,0,0,0,0,0,0,28.1315122922
27,0.00250326787505,88423,88423,0.79729315444,-0.00227354466915,0.0483362901927,1.03758575244e-12,2.61041396573e-12,2466,1,0,18105.6078329,12.1520419121,27337,0,0,0.368864091826,0.999468833274,0,0.1,0,0,37815.2064735,1,1,0,0,0,50,34,13,29,26,0,0,19,-13,0,0,0,0,0,0,29.4341567089
28,0.00250406978826,88423,88423,0.79729315444,0.00294931232929,0.0483362901927,1.04493484696e-12,2.6905520386e-12,2465,1,0,23031.623209,12.2920002937,28070,0,0,0.3692527874,0.999468833274,0,0.1,0,0,38065.2852209,1,1,0,0,0,44,34,5,15,27,0,0,7,-13,0,0,0,0,0,0,34.16940975
