iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
20,0.00273928206645,75414,75414,0.679993507899,-0.000847301773328,0.0483362901927,6.39189713659e-11,9.95103906057e-12,2700,1,0,20970.2090001,12.0771250725,45090,0,0,0.316124259041,0.998342691276,0,0.1,0,0,31029.2703743,1,1,16703,37.9788370412
21,0.00270983837244,75414,75414,0.679993507899,0.00432797535529,0.0483362901927,6.14791155588e-11,1.04358290951e-11,2925,1,0,23309.0579996,13.0560412407,37975,0,0,0.316303812366,0.998342691276,0,0.1,0,0,27389.2054811,1,1,19615,23.4718806669
22,0.00268427081001,75414,75414,0.679993507899,-0.00706969680175,0.0483362901927,5.49757400266e-11,9.9187088175e-12,2933,1,0,22913.901042,12.2564172745,37378,0,0,0.31692765654,0.998878744605,0,0.1,0,0,26735.1432663,1,1,19916,23.0465892912
23,0.00265985728701,75414,75414,0.679993507899,-0.0085792819313,0.0483362901927,5.00546928481e-11,9.40873394066e-12,2952,1,0,23473.5732498,12.9828748703,36747,0,0,0.317478308259,0.998342691276,0,0.1,0,0,26033.3717515,1,1,20453,23.5991577497
24,0.00264685290542,75415,75415,0.680002524706,0.00369475053566,0.0483362901927,5.01522373076e-11,9.20161005513e-12,2960,1,0,23570.4137082,11.7424998283,36407,0,0,0.318367017781,0.998342691276,0,0.1,0,0,25347.0862913,1,1,20785,23.7046084581
25,0.0026318853165,75414,75414,0.679993507899,-0.000455159071782,0.0483362901927,4.86902933504e-11,8.89041828091e-12,2967,1,0,24173.6247501,13.1153326035,36162,0,0,0.322777384554,0.997996961363,0,0.1,0,0,24691.6724548,1,1,21078,40.8892547092
26,0.00261850578101,75414,75414,0.679993507899,0.0115126609566,0.0483362901927,5.57794116173e-11,9.29043574454e-12,2949,1,0,23365.3587499,12.0200843811,30699,0,0,0.323355611233,0.997996961363,0,0.1,0,0,22607.8017379,1,1,21703,23.5064219171
27,0.00260734025349,75415,75415,0.680002524706,-0.00080484984813,0.0483362901927,5.35733786573e-11,8.89716762625e-12,2959,1,0,23980.4902921,12.6330003738,30650,0,0,0.323804377462,0.997996961363,0,0.1,0,0,22339.7696314,1,1,21760,24.1453498751
28,0.00259613035706,75414,75414,0.679993507899,-0.00262375508002,0.0483362901927,5.01320768219e-11,8.53538514703e-12,2962,1,0,23734.6781659,11.7440419197,30575,0,0,0.324329922266,0.997996961363,0,0.1,0,0,21977.3720414,1,1,21878,23.8454384161
29,0.00258653684638,75414,75414,0.679993507899,-0.00120245342062,0.0483362901927,4.61145423465e-11,8.22549931945e-12,2965,1,0,23268.8634996,11.7838330269,30454,0,0,0.325155648208,0.997996961363,0,0.1,0,0,21601.3968821,1,1,21970,23.376497542
30,0.00257658989579,75415,75415,0.680002524706,-0.00347202252496,0.0483362901927,4.16764745397e-11,7.88940094251e-12,2970,1,0,24750.1642504,12.9041247368,30172,0,0,0.329172860792,0.999089302795,0,0.1,0,0,21226.2030708,1,1,22161,41.481629
