target_vf,vpc_row,vpc_ref,rho_row,rho_ref,r_unit,vox_per_strut,C11,C12,C44_xy,C33,C44_yz,E100_row_MPa,E100_ref_interp_MPa,drift_pct,zener,axial_aniso_pct,shear_aniso_pct,cubic,ndof_active,cg_iters,solve_ms,peak_rss_mb,converged,validated
0.080,48,64,0.06684,0.07880,0.061332,5.888,33.4693,31.7886,29.1699,33.4693,29.1699,2.4994,3.8095,-34.388,34.7111,0.000,0.000,1,36126,117,1546,1867.3,1,0
0.100,48,64,0.09288,0.09308,0.074146,7.118,52.1153,48.2770,43.9143,52.1153,43.9143,5.6840,5.4181,+4.907,22.8826,0.000,0.000,1,44298,113,1695,1867.3,1,0
0.150,48,64,0.15755,0.13922,0.090010,8.641,102.6131,88.9380,79.5135,102.6131,79.5135,20.0245,21.5023,-6.873,11.6289,0.000,0.000,1,69606,122,2302,1867.3,1,0
0.200,48,64,0.21050,0.20825,0.106230,10.198,156.4198,127.3111,113.1794,156.4198,113.1794,42.1700,42.5659,-0.930,7.7763,0.000,0.000,1,88434,128,2945,1867.3,1,1
0.300,48,64,0.30729,0.30219,0.135015,12.961,288.2758,205.7559,182.7549,288.2758,182.7549,116.8880,116.7101,+0.152,4.4294,0.000,0.000,1,122670,136,4063,1867.3,1,1
0.400,48,64,0.38932,0.39685,0.162268,15.578,447.0414,281.7155,252.5690,447.0414,252.5690,229.2360,226.5550,+1.183,3.0554,0.000,0.000,1,149814,143,4831,1867.3,1,1
0.500,48,64,0.50043,0.50031,0.183995,17.664,754.6963,399.8495,361.9060,754.6963,361.9060,477.7396,469.5334,+1.748,2.0398,0.000,0.000,1,187074,151,7653,1867.3,1,1
0.600,48,64,0.59288,0.60559,0.209027,20.067,1125.8347,522.3899,470.7912,1125.8347,470.7912,794.7012,788.3955,+0.800,1.5603,0.000,0.000,1,217674,148,7072,1867.3,1,1
