target_vf,vpc_row,vpc_ref,rho_row,rho_ref,r_unit,vox_per_strut,C11,C12,C44_xy,C33,C44_yz,E100_row_MPa,E100_ref_interp_MPa,drift_pct,zener,axial_aniso_pct,shear_aniso_pct,cubic,ndof_active,cg_iters,solve_ms,peak_rss_mb,converged,validated
0.080,48,64,0.07002,0.08139,0.045272,4.346,6.1456,2.3457,0.2804,36.9317,24.0787,4.8496,6.2236,-22.077,0.1476,500.944,8487.560,0,40788,662,4931,1913.5,1,0
0.100,48,64,0.10598,0.10959,0.053115,5.099,16.3008,6.2529,0.7884,67.2383,40.3960,12.8336,12.8546,-0.163,0.1569,312.485,5023.568,0,54576,573,4233,1913.5,1,0
0.150,48,64,0.15039,0.14767,0.066064,6.342,40.1651,14.7001,2.1143,115.0044,61.8238,32.2879,31.1422,+3.679,0.1661,186.329,2824.116,0,71184,515,4452,1913.5,1,0
0.200,48,64,0.20428,0.20038,0.079331,7.616,82.6685,28.1817,5.2781,200.7188,88.3471,68.3391,68.3073,+0.047,0.1937,142.800,1573.852,0,92184,470,4837,1913.5,1,1
0.300,48,64,0.29782,0.29791,0.100754,9.672,224.5004,68.3662,20.9188,375.9013,143.7657,192.5818,181.4381,+6.142,0.2680,67.439,587.256,0,123996,397,5465,1913.5,1,0
0.400,48,64,0.39851,0.40015,0.120381,11.557,463.7722,134.3346,63.7024,619.1451,213.6018,403.4292,390.7635,+3.241,0.3867,33.502,235.312,0,158220,338,5365,1913.5,1,0
0.500,48,64,0.49725,0.50293,0.141384,13.573,819.8130,235.3105,164.7180,910.1105,299.4232,714.8565,702.2902,+1.789,0.5636,11.014,81.779,0,189072,307,6081,1913.5,1,1
0.600,48,64,0.59332,0.59698,0.163231,15.670,1298.8143,378.7646,329.8940,1247.9262,400.8000,1127.7790,1113.2247,+1.307,0.7171,3.918,21.494,0,218796,290,6460,1913.5,1,1
