target_vf,vpc_row,vpc_ref,rho_row,rho_ref,r_unit,vox_per_strut,C11,C12,C44_xy,C33,C44_yz,E100_row_MPa,E100_ref_interp_MPa,drift_pct,zener,axial_aniso_pct,shear_aniso_pct,cubic,ndof_active,cg_iters,solve_ms,peak_rss_mb,converged,validated
0.080,48,64,0.06901,0.08597,0.054127,5.196,47.4158,23.1654,20.9009,86.5540,21.2625,32.2096,42.8649,-24.858,1.7238,82.543,1.730,0,38847,524,5695,1866.3,1,0
0.100,48,64,0.08630,0.09692,0.059839,5.745,63.0855,30.8223,27.5933,103.1325,27.9929,42.8527,43.0533,-0.466,1.7105,63.480,1.448,0,44151,479,4893,1866.3,1,0
0.150,48,64,0.14533,0.14478,0.078644,7.550,122.5946,56.4160,49.6622,195.8584,50.9863,87.0351,85.2872,+2.049,1.5009,59.761,2.666,0,67737,424,4036,1866.3,1,1
0.200,48,64,0.19437,0.20258,0.093750,9.000,185.8273,80.8299,70.2694,285.6442,72.5339,136.8245,134.2396,+1.926,1.3385,53.715,3.223,0,83673,401,3599,1866.3,1,1
0.300,48,64,0.30006,0.29688,0.115526,11.091,356.7158,141.7248,123.6695,509.1241,129.8760,276.1208,277.5753,-0.524,1.1505,42.725,5.019,0,122049,359,6569,1866.3,1,1
0.400,48,64,0.39120,0.39587,0.138585,13.304,573.4802,204.6557,178.9268,767.2921,191.1790,465.8281,460.7935,+1.093,0.9703,33.796,6.848,0,153243,335,5426,1866.3,1,1
0.500,48,64,0.49371,0.50247,0.162380,15.588,895.6053,299.6917,259.4372,1116.3105,281.1406,745.3245,758.9324,-1.793,0.8707,24.643,8.366,0,186069,312,7082,1866.3,1,1
0.600,48,64,0.59751,0.59113,0.186630,17.916,1382.7689,444.1094,366.2004,1575.7657,399.5137,1166.8452,1120.3440,+4.151,0.7803,13.957,9.097,0,218619,292,8144,1866.3,1,0
