target_vf,vpc_row,vpc_ref,rho_row,rho_ref,r_unit,vox_per_strut,C11,C12,C44_xy,C33,C44_yz,E100_row_MPa,E100_ref_interp_MPa,drift_pct,zener,axial_aniso_pct,shear_aniso_pct,cubic,ndof_active,cg_iters,solve_ms,peak_rss_mb,converged,validated
0.080,48,64,0.07350,0.06775,0.042949,4.123,57.8440,29.5551,27.3436,57.8440,27.3436,37.8552,37.9838,-0.339,1.9332,0.000,0.000,1,44844,118,1125,2548.0,1,0
0.100,48,64,0.10735,0.10583,0.045405,4.359,90.9943,45.5030,41.4755,90.9943,41.4755,60.6563,59.5288,+1.894,1.8234,0.000,0.000,1,57732,115,1107,2548.0,1,0
0.150,48,64,0.14670,0.16345,0.059839,5.745,134.3405,67.6865,61.8977,134.3405,61.8977,88.9855,89.1705,-0.207,1.8573,0.000,0.000,1,74388,117,1694,2548.0,1,0
0.200,48,64,0.20660,0.21777,0.068307,6.557,213.3453,103.9827,94.3391,213.3453,94.3391,145.1987,143.5902,+1.120,1.7253,0.000,0.000,1,94620,118,1951,2548.0,1,1
0.300,48,64,0.29543,0.29041,0.089000,8.544,355.6757,169.5095,155.3239,355.6757,155.3239,246.2535,246.5726,-0.129,1.6687,0.000,0.000,1,127332,120,2532,2548.0,1,1
0.400,48,64,0.42245,0.39856,0.103645,9.950,638.9053,285.3390,264.5521,638.9053,264.5521,462.7217,459.2976,+0.746,1.4965,0.000,0.000,1,171924,126,3030,2548.0,1,1
0.500,48,64,0.48003,0.50195,0.118311,11.358,811.3576,354.8678,330.5264,811.3576,330.5264,595.3940,588.6337,+1.148,1.4481,0.000,0.000,1,191172,128,3742,2548.0,1,1
0.600,48,64,0.60793,0.58484,0.136216,13.077,1309.0269,551.3373,498.7395,1309.0269,498.7395,982.2384,892.7149,+10.028,1.3165,0.000,0.000,1,232596,129,3802,2548.0,1,0
