iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
20,0.00256065118577,75415,75415,0.680002524706,-0.00182588045279,0.0483362901927,2.00614354639e-11,6.99875546879e-12,3449,1,0,19068.2721663,11.7093338966,18827,0,0,0.360549711469,0.999801365718,0,0.1,0,0,24411.7606043,1,1,0,0,0,91,-109,41,241,15,0,62,6,-36,30.2074455833
21,0.0025575718206,75415,75415,0.680002524706,0.000215705478878,0.0483362901927,2.65143391104e-11,7.05888931979e-12,2871,1,0,16202.3438339,11.7605409622,16645,0,0,0.360808492279,0.999801365718,0,0.1,0,0,22390.4036058,1,1,0,0,0,70,-81,27,178,15,0,62,0,-21,16.3497136254
22,0.0025548258856,75414,75414,0.679993507899,0.00236031691339,0.0483362901927,2.36318974821e-11,6.85033360581e-12,3025,1,0,16893.0923333,13.2689585686,16687,0,0,0.361034970701,0.999801365718,0,0.1,0,0,22591.6521573,1,1,0,0,0,68,-117,27,212,16,0,64,2,-2,17.206416708
23,0.0025515211667,75415,75415,0.680002524706,-0.000802653081974,0.0483362901927,1.95438293237e-11,6.70864322305e-12,3022,1,0,16860.7154169,11.6823329926,16604,0,0,0.361494471654,0.999801365718,0,0.1,0,0,22626.0827728,1,1,0,0,0,64,-125,26,215,17,0,69,5,-4,17.1284003337
24,0.00254944400373,75414,75414,0.679993507899,-0.000155992101952,0.0483362901927,2.30645195496e-11,6.67357419596e-12,3040,1,0,17188.4711246,11.6972913742,16491,0,0,0.361885804216,0.999801365718,0,0.1,0,0,22538.9315591,1,1,0,0,0,62,-130,25,217,18,0,71,2,-3,17.4560060417
25,0.00254712699785,75414,75414,0.679993507899,5.63199116846e-05,0.0483362901927,4.40480268308e-11,6.58949205626e-12,3001,1,0,16780.842958,12.9628748894,16425,0,0,0.368696347701,0.999510585365,0,0.1,0,0,22597.2943663,1,1,0,0,0,61,-134,24,219,19,0,72,1,0,27.6346397079
26,0.00254752733408,75414,75414,0.679993507899,-0.00039585725616,0.0483362901927,4.63451707776e-11,6.76423806665e-12,2863,1,0,15868.4672089,11.5719161034,15972,0,0,0.369015680973,0.999510585365,0,0.1,0,0,21770.261736,1,1,0,0,0,53,-94,24,171,20,0,76,4,-8,16.1311410004
27,0.00254482260898,75415,75415,0.680002524706,0.00100276657337,0.0483362901927,4.39560347221e-11,6.58262560509e-12,2849,1,0,16433.5832911,12.6159591675,16021,0,0,0.369320808198,0.999510585365,0,0.1,0,0,21923.0844578,1,1,0,0,0,54,-100,24,178,21,0,78,2,1,16.8164965832
28,0.00254332398416,75414,75414,0.679993507899,0.00224426645567,0.0483362901927,3.46535007535e-11,6.46710143116e-12,2851,1,0,15870.3508329,12.3579583168,15890,0,0,0.370242466103,0.999510585365,0,0.1,0,0,21984.5509995,1,1,0,0,0,50,-109,21,180,22,0,87,8,-2,16.2536012498
29,0.00254135123752,75415,75415,0.680002524706,-0.00297166832094,0.0483362901927,2.78689188418e-11,6.47858946371e-12,2829,1,0,15762.671083,12.0986251831,15791,0,0,0.370413027369,0.999510585365,0,0.1,0,0,21908.6613584,1,1,0,0,0,48,-124,24,196,23,0,92,4,-2,16.02557575
30,0.00253984918315,75414,75414,0.679993507899,0.00198330446731,0.0483362901927,2.21730015289e-11,6.39030657059e-12,2829,1,0,15718.1442919,11.6542081833,15903,0,0,0.366866283872,0.999885136291,0,0.1,0,0,22058.9199643,1,1,0,0,0,46,-108,22,176,24,0,93,1,-1,26.1614757921
31,0.00254015917244,75414,75414,0.679993507899,-0.0015168386283,0.0483362901927,2.71047733395e-11,6.57924448149e-12,2814,1,0,16170.2252078,11.9981250763,15615,0,0,0.366778318564,0.999885136291,0,0.1,0,0,21469.3088229,1,1,0,0,0,43,-91,23,157,25,0,94,1,-3,16.536845
32,0.00253817256452,75415,75415,0.680002524706,0.00120906552958,0.0483362901927,2.49234993001e-11,6.39228032658e-12,2817,1,0,16173.131042,11.6968331337,15752,0,0,0.367386331197,0.999885136291,0,0.1,0,0,21759.9397243,1,1,0,0,0,41,-91,22,154,26,0,97,2,-2,16.4418904171
33,0.00253719677039,75415,75415,0.680002524706,0.00100919921846,0.0483362901927,2.13554321329e-11,6.3024694475e-12,2809,1,0,15945.4358749,13.3685412407,15871,0,0,0.36788319815,0.999885136291,0,0.1,0,0,21923.3348981,1,1,0,0,0,39,-109,21,169,27,0,99,2,-2,16.2741506249
34,0.00253615382273,75414,75414,0.679993507899,0.00079995667146,0.0483362901927,1.64386138391e-11,6.28689686644e-12,2798,1,0,15807.5712504,11.8002920151,15837,0,0,0.3687564646,0.999885136291,0,0.1,0,0,21932.9995764,1,1,0,0,0,41,-104,20,165,28,0,103,4,2,16.0759693747
35,0.00253552354661,75415,75415,0.680002524706,-0.00115470700198,0.0483362901927,1.18335485231e-11,6.27291903657e-12,2784,1,0,15626.1424999,11.9586668015,15902,0,0,0.328801074168,0.999853190691,0,0.1,0,0,21918.0924567,1,1,0,0,0,40,-105,20,165,29,0,105,2,-1,26.7085077912
36,0.00253528125839,75414,75414,0.679993507899,0.000233193415569,0.0483362901927,1.06456821996e-11,6.35836162594e-12,2692,1,0,15211.7496252,11.9133329391,15588,0,0,0.33224740872,0.999853190691,0,0.1,0,0,21542.0327675,1,1,0,0,0,34,-101,15,150,30,0,107,2,-5,15.476085166
37,0.00253457773275,75414,75414,0.679993507899,0.0011278764796,0.0483362901927,1.17421724998e-11,6.24806417342e-12,2678,1,0,15126.2423754,12.3217086792,15677,0,0,0.338435115172,0.999853190691,0,0.1,0,0,21721.6875681,1,1,0,0,0,34,-111,15,160,31,0,112,5,1,15.4659277089
