iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
19,0.00261286519199,75415,75415,0.680002524706,6.44336540261e-05,0.0483362901927,3.75415397042e-11,1.04541828664e-11,3371,1,0,23816.5583754,12.1967906952,12031,0,0,0.376161630922,0.999898502937,0,0.1,0.472584941248,1,14938.6628851,1,1,0,0,0,23.9735331251
20,0.00260666223428,75414,75414,0.679993507899,0.000822811972746,0.0483362901927,3.70744708313e-11,1.02840628251e-11,3369,1,0,24108.7069168,11.6316671371,11500,0,0,0.374303876683,0.999897391205,0,0.1,0.465253323324,1,14130.7295831,1,1,0,0,0,40.4725110829
21,0.00260095220728,75415,75415,0.680002524706,0.00483187323547,0.0483362901927,3.26324794069e-11,1.0364240246e-11,2952,1,0,21112.2887502,12.3665409088,9180,0,0,0.374719865835,0.999897391205,0,0.1,0.406534333582,1,12579.9767537,1,1,0,0,0,21.3032787917
22,0.00259681126665,75415,75415,0.680002524706,-0.000659935609743,0.0483362901927,3.50779156748e-11,9.97194345184e-12,2957,1,0,21198.865375,11.8041672707,8907,0,0,0.374725225528,0.999897391205,0,0.1,0.398293595849,1,12456.7673509,1,1,0,0,0,21.3366573341
23,0.00259379935811,75415,75415,0.680002524706,0.000859504565192,0.0483362901927,3.52797428119e-11,9.68241613239e-12,2966,1,0,21164.0543332,11.6546669006,8691,0,0,0.3750306113,0.999897391205,0,0.1,0.389626091845,1,12335.5106097,1,1,0,0,0,21.2997888341
24,0.00259106296513,75414,75414,0.679993507899,0.000615678900427,0.0483362901927,3.300494626e-11,9.44372218602e-12,2966,1,0,21355.2137084,12.7954587936,8434,0,0,0.37530528579,0.999897391205,0,0.1,0.381473941292,1,12223.1051801,1,1,0,0,0,21.5838733753
25,0.00258891462195,75415,75415,0.680002524706,0.0016002518576,0.0483362901927,2.91070997604e-11,9.24376017854e-12,2956,1,0,21022.49475,11.6302909851,8206,0,0,0.37062478645,0.999898154752,0,0.1,0.372461809286,1,12116.2397648,1,1,0,0,0,37.3665144164
26,0.00258575613123,75415,75415,0.680002524706,0.00132868372218,0.0483362901927,2.28774472748e-11,8.86052665952e-12,2838,1,0,20464.0048327,12.4622502327,8202,0,0,0.370922247863,0.999898154752,0,0.1,0.347344110205,1,11767.9114102,1,1,0,0,0,20.6750816661
27,0.00258409925707,75415,75415,0.680002524706,0.00243972431454,0.0483362901927,2.44960277876e-11,8.7643684966e-12,2841,1,0,20366.4536662,11.6114997864,8055,0,0,0.371413518411,0.999898154752,0,0.1,0.340290343412,1,11692.873504,1,1,0,0,0,20.5031548752
28,0.00258246722434,75415,75415,0.680002524706,0.00172361352203,0.0483362901927,2.43255333248e-11,8.65853746477e-12,2842,1,0,20373.469625,11.6727919579,7900,0,0,0.371924752606,0.999898154752,0,0.1,0.333054312941,1,11640.2448097,1,1,0,0,0,20.5082013751
