iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
20,0.0025450403387,75414,75414,0.679993507899,0.000178877499446,0.0483362901927,1.14624172199e-11,6.59563235433e-12,2742,1,0,15131.1589594,12.0495829582,15453,0,0,0.386497912503,0.999973526089,0,0.1,0,0,20605.3640714,1,1,0,0,0,34,-102,10,146,16,0,132,1,-4,25.7275106669
21,0.00254824892624,75415,75415,0.680002524706,0.00720464444307,0.0483362901927,1.61294214117e-11,6.74768253871e-12,2677,1,0,14836.0140839,12.9600000381,14622,0,0,0.386661959418,0.999973526089,0,0.1,0,0,19496.5589976,1,1,0,0,0,24,-60,8,92,17,0,134,2,-10,15.1700969581
22,0.00254574334041,75415,75415,0.680002524706,0.000259548898515,0.0483362901927,1.28624121119e-11,6.54123432418e-12,2677,1,0,14863.5865831,11.9968328476,14582,0,0,0.386907261486,0.999973526089,0,0.1,0,0,19666.5789483,1,1,0,0,0,21,-81,7,109,18,0,135,1,-3,15.122988292
23,0.00254404616268,75414,75414,0.679993507899,-4.92261185629e-05,0.0483362901927,1.41606724941e-11,6.48677708018e-12,2678,1,0,14803.279458,12.0746669769,14573,0,0,0.387173377161,0.999973526089,0,0.1,0,0,19802.3069936,1,1,0,0,0,20,-80,6,106,18,0,135,0,-1,14.9518664577
24,0.00254254899976,75415,75415,0.680002524706,-9.60630777823e-05,0.0483362901927,1.43004038229e-11,6.41249620093e-12,2654,1,0,14583.2627082,11.7212500572,14527,0,0,0.387390408547,0.999973526089,0,0.1,0,0,19925.6033071,1,1,0,0,0,19,-100,7,126,19,0,136,1,1,14.8402335411
25,0.00254141826913,75414,75414,0.679993507899,9.40421445907e-05,0.0483362901927,1.39513907102e-11,6.40067198495e-12,2641,1,0,14900.9621253,11.7969999313,14521,0,0,0.385558956087,0.999974736741,0,0.1,0,0,19997.400642,1,1,0,0,0,23,-94,7,124,19,0,136,0,4,25.5765328752
26,0.0025442353743,75415,75415,0.680002524706,0.00801811750094,0.0483362901927,1.29248564577e-11,6.54769644154e-12,2604,1,0,14428.9439173,12.8824577332,14076,0,0,0.385892121581,0.999974736741,0,0.1,0,0,19377.6829015,1,1,0,0,0,19,-62,6,87,19,0,136,0,-4,14.5794345001
27,0.00254230826746,75415,75415,0.680002524706,-7.35613282702e-05,0.0483362901927,1.26014645795e-11,6.40820257097e-12,2596,1,0,14705.963541,11.6385836601,14075,0,0,0.386188486891,0.999974736741,0,0.1,0,0,19501.6843834,1,1,0,0,0,14,-65,6,85,20,0,139,3,-5,15.0055283341
28,0.00254077971273,75414,75414,0.679993507899,-0.000697718421715,0.0483362901927,1.27405896342e-11,6.31927193193e-12,2575,1,0,14188.1116672,12.0276656151,14046,0,0,0.386394823617,0.999974736741,0,0.1,0,0,19552.8680276,1,1,0,0,0,18,-78,6,102,21,0,145,5,3,14.4480032497
29,0.00253954667882,75415,75415,0.680002524706,-3.94305394411e-06,0.0483362901927,1.22363894981e-11,6.28039855212e-12,2548,1,0,14478.138,11.6939997673,14033,0,0,0.38665751522,0.999974736741,0,0.1,0,0,19576.2738754,1,1,0,0,0,17,-71,6,94,22,0,148,3,-1,14.7502969592
30,0.00253891902621,75415,75415,0.680002524706,0.00116105000804,0.0483362901927,1.10158036673e-11,6.25826637583e-12,2571,1,0,14191.8701658,12.1335840225,14057,0,0,0.386963525601,0.999822169368,0,0.1,0,0,19656.0833161,1,1,0,0,0,18,-81,6,105,22,0,148,0,1,24.81691175
31,0.00254023760836,75415,75415,0.680002524706,0.00479874694591,0.0483362901927,1.27853818914e-11,6.35742795386e-12,2558,1,0,14473.5623746,12.163500309,13779,0,0,0.387232136861,0.999822169368,0,0.1,0,0,19188.6775819,1,1,0,0,0,15,-52,5,72,23,0,150,2,-1,14.8101088749
32,0.00253972619998,75415,75415,0.680002524706,0.00217613724698,0.0483362901927,1.0943116351e-11,6.2868748e-12,2520,1,0,13971.6794162,11.7958335876,13768,0,0,0.38754591574,0.999822169368,0,0.1,0,0,19339.3626811,1,1,0,0,0,17,-54,6,77,24,0,152,2,2,14.2285509999
33,0.0025380893833,75415,75415,0.680002524706,-0.00157125166276,0.0483362901927,9.82510202117e-12,6.22742387654e-12,2516,1,0,13896.0076251,12.428249836,13800,0,0,0.387743686058,0.999822169368,0,0.1,0,0,19412.0212902,1,1,0,0,0,17,-53,5,75,25,0,153,1,0,14.1586947502
34,0.0025377544365,75415,75415,0.680002524706,0.00216305224268,0.0483362901927,1.19334911005e-11,6.18453950663e-12,2502,1,0,13951.555666,12.1022500992,13866,0,0,0.387909697811,0.999822169368,0,0.1,0,0,19500.7268482,1,1,0,0,0,17,-63,6,86,26,0,155,2,1,14.2153161671
35,0.00253669553569,75414,75414,0.679993507899,-0.00228984595917,0.0483362901927,1.37295430379e-11,6.22079460425e-12,2510,1,0,13932.1357079,12.95454216,13807,0,0,0.375294271302,0.999869437544,0,0.1,0,0,19457.8866198,1,1,0,0,0,18,-61,5,84,27,0,159,4,2,24.7635192079
36,0.00253899251402,75414,75414,0.679993507899,0.0113232422175,0.0483362901927,1.22377885421e-11,6.30338865489e-12,2491,1,0,13886.9406252,11.6792092323,13556,0,0,0.377569950762,0.999869437544,0,0.1,0,0,19149.8253527,1,1,0,0,0,16,-44,5,65,28,0,162,2,-3,14.1425353331
37,0.00253751441055,75414,75414,0.679993507899,-0.00119816431284,0.0483362901927,1.24271439975e-11,6.20505919536e-12,2504,1,0,13768.0501251,11.5430421829,13625,0,0,0.3779339878,0.999869437544,0,0.1,0,0,19275.3963462,1,1,0,0,0,15,-48,5,68,29,0,164,2,-1,14.0288795424
38,0.00253695019242,75414,75414,0.679993507899,0.00108213449437,0.0483362901927,1.18089396556e-11,6.19273716925e-12,2496,1,0,13819.191916,11.9308338165,13651,0,0,0.378528797379,0.999869437544,0,0.1,0,0,19364.6993437,1,1,0,0,0,15,-51,5,71,30,0,168,3,0,14.0751736672
