schedule,cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf,mnd,mfv,mnd_proj,mfv_proj,draft,traj_tol
aggr,1e-08,0,92,8.8565551,0.0697459,0.0175262,0.000361475,0,0,4480,54,1,1,2,54,1.0000,8,0,0,0.67892,0.262571,188,0.0217575,188,0,1.00e-08
aggr,1e-08,0,93,8.8564605,0.0497465,0.0153475,0.000296931,0,0,4480,54,1,1,2,54,1.0000,8,0,0,0.67884,0.262755,188,0.0217179,188,0,1.00e-08
aggr,1e-08,0,94,8.8564041,0.0362808,0.0100226,0.000215954,0,0,4480,51,1,1,2,51,1.0000,8,0,0,0.67878,0.262826,188,0.0216829,188,0,1.00e-08
aggr,1e-08,0,95,8.8563719,0.0262879,0.00668988,0.000145144,0,0,4480,51,1,1,2,51,1.0000,8,0,0,0.67875,0.262933,188,0.0216634,188,0,1.00e-08
aggr,1e-08,0,96,8.8563571,0.0218783,0.00610692,9.28893e-05,0,0,4480,51,1,1,2,51,1.0000,8,1,0,0.67874,0.262974,188,0.0216551,188,0,1.00e-08
aggr,1e-08,0,97,8.8246055,0.0999,0.0983501,0.0247344,0,0,4480,44,1,1,2,44,1.0000,16,0,0,0.70439,0.294124,188,0.00946963,188,0,1.00e-08
aggr,1e-08,0,98,8.8233301,0.0999,0.0944268,0.0249878,0.00223214,10,4480,51,1,1,2,51,1.0000,16,0,0,0.68064,0.283667,174,0.00573417,174,0,1.00e-08
aggr,1e-08,0,99,8.8175009,0.0999,0.0983071,0.0136432,0,0,4480,58,1,1,2,58,1.0000,16,0,0,0.67156,0.289118,174,0.0027611,174,0,1.00e-08
aggr,1e-08,0,100,8.8156412,0.0999,0.0856656,0.00730923,0,0,4480,43,1,1,2,43,1.0000,16,0,0,0.67220,0.28628,174,0.00242192,174,0,1.00e-08
aggr,1e-08,0,101,8.8168116,0.0999,0.0555255,0.00436195,0,0,4480,43,1,1,2,43,1.0000,16,0,0,0.66887,0.29031,174,0.00241008,174,0,1.00e-08
