iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,iteration_wall_s
1,0.00303793652287,75414.72,75709,0.682653466061,3.62719811944,12578015612.8,5.42304718052e-11,1.24030620983e-11,1684,1,0,82092.289834,11.8333749771,82.3590214583
2,0.00303113496318,75414.72,75715,0.682707566905,3.6138352849,12535894756.9,5.44126872699e-11,1.2622937147e-11,3532,1,0,26170.2652922,11.7954998016,26.4282182078
3,0.00302142999424,75414.72,75800,0.683473995528,3.58802620702,8563702526.15,7.96514964142e-11,1.3159461623e-11,3168,1,0,24281.9908333,12.0360417366,24.543113708
4,0.00301423368665,75414.72,75830,0.683744499748,3.56861504589,8649606828.26,7.88604308377e-11,1.34347663383e-11,2936,1,0,17255.740375,12.0492920876,17.5140480003
5,0.00300674533032,75414.72,75855,0.683969919931,3.54596725114,9418755280.98,7.24205800772e-11,1.35469052895e-11,2928,1,0,17137.6037078,12.1116251945,17.397121042
6,0.00299843725283,75414.72,75844,0.68387073505,3.51693722799,10134500131.8,6.73059067723e-11,1.36747623231e-11,2930,1,0,17158.4584174,12.1418747902,17.4181496669
7,0.00299010572157,75414.72,75989,0.685178172113,3.48479891899,11602881036.8,5.87881336446e-11,1.37095332793e-11,2965,1,0,17419.1496673,12.0809159279,17.677491291
8,0.00298048908682,75414.72,75836,0.683798600592,3.44355088118,13097235896.8,5.20805860434e-11,1.37900168811e-11,2976,1,0,17682.4923329,12.3242921829,17.9449751247
9,0.00296975613008,75414.72,75718,0.682734617327,3.39289922074,13464704827.4,5.065924057e-11,1.38998994239e-11,3041,1,0,17754.969666,11.7469587326,18.0154447081
10,0.00295915956754,75414.72,75599,0.681661617255,3.33951734328,13746217946.1,4.96217740566e-11,1.38517389858e-11,3077,1,0,17930.2065001,12.108124733,18.1919286661
11,0.00294908686697,75414.72,75508,0.680841087788,3.28531801245,14052350045,4.8540757871e-11,1.37703489757e-11,3111,1,0,18072.9329591,12.1371660233,18.3345718328
12,0.0029400929245,75414.72,75445,0.680273028926,3.23310523392,14316748383.5,4.76443185828e-11,1.36934109898e-11,3159,1,0,18373.2870831,12.2718338966,18.6339927083
13,0.00293040739912,75414.72,75431,0.680146793623,3.17735392358,14543024564.2,4.69030164973e-11,1.35032563605e-11,3098,1,0,18114.1747499,12.093416214,18.3775549587
14,0.00292047657493,75414.72,75442,0.680245978504,3.11986866288,14746440404.2,4.6256025343e-11,1.32444416251e-11,3179,1,0,18805.4382091,12.177875042,19.0688072499
15,0.0029104452465,75414.72,75458,0.680390247421,3.06018055573,14958458242,4.56004027969e-11,1.29980168013e-11,3236,1,0,18952.9579163,12.0402498245,19.214712542
16,0.00290090202986,75414.72,75474,0.680534516338,3.00250639549,15164679927.5,4.49802913292e-11,1.27759412895e-11,3263,1,0,19045.4685001,11.8264169693,19.3091257084
17,0.00289089079182,75414.72,75485,0.680633701219,2.94109012127,15370743223.6,4.43772764355e-11,1.2551242971e-11,3536,1,0,20412.864542,12.0666661263,20.6769829169
18,0.00288135757507,75414.72,75470,0.680498449109,2.88075166529,15553048248.2,4.38571082766e-11,1.23518425851e-11,3609,1,0,20947.9780002,12.0046668053,21.2124508326
19,0.00287184264466,75414.72,75470,0.680498449109,2.81916563752,15701632457.4,4.34420894072e-11,1.21757525609e-11,3328,1,0,19360.3733749,11.9590001106,19.6257373751
