voxel,f,nx,ny,nz,W_voigt,W_lam,ratio
7938,0.0625,-0.871393788646,-0.489878309481,0.0263079267427,3.6281916061e-14,2.57963423814e-14,0.710997245516
7939,0.859375,-0.931438545263,-0.340414284168,0.128609298005,3.21124101769e-13,2.78863993387e-13,0.86839945009
7942,0.9375,0.309712232645,-0.355590912491,-0.881835265741,2.9109603761e-13,9.85413963414e-14,0.338518508017
7943,0.890625,0.0534152268878,-0.412673653431,-0.909311425915,2.8512376916e-13,4.7904893166e-14,0.168014379535
7944,0.9375,0.122241910567,-0.488940124851,-0.863709713742,2.97904337815e-13,8.07453858914e-14,0.271044679926
7945,0.796875,0.0453408023627,-0.519695822009,-0.853147387166,2.72758181313e-13,6.58373131716e-14,0.241376126115
7946,0.890625,-0.486934545773,-0.409105925487,-0.771704017007,2.84087682034e-13,5.07303312442e-14,0.178572794431
7949,0.953125,0.734081078502,-0.347607845459,-0.583347028758,3.02818728482e-13,2.79156803847e-13,0.921861092431
7950,0.625,0.108548084225,-0.546626390599,-0.830311328666,2.38577131923e-13,6.48505701765e-14,0.271822239013
7951,0.921875,-0.574126722538,-0.363162572127,-0.733819768522,3.00129618365e-13,4.52836344437e-14,0.150880258638
7953,0.9375,0.544548148914,-0.358879315315,-0.758071863713,3.02607763419e-13,1.62107173891e-13,0.535700644488
7954,0.671875,-0.161990462791,-0.537928087009,-0.827280160025,2.46932663339e-13,2.93750714146e-14,0.118959845236
7955,0.96875,-0.76668147792,-0.348607012504,-0.539140670184,3.10646142054e-13,9.89779268585e-14,0.318619527041
7958,0.78125,0.322749261313,-0.446758488372,-0.834409831791,2.78885494103e-13,6.60018350058e-14,0.236662846944
7959,0.875,-0.326008706419,-0.398631126517,-0.857211495671,3.0513782598e-13,1.88737520647e-14,0.0618532035617
7961,0.921875,0.280108276851,-0.378789880779,-0.882075722066,3.17864771597e-13,3.93713306127e-14,0.123861887604
7962,0.828125,-0.279378303612,-0.41672803118,-0.865034977038,3.00150877102e-13,1.62263237719e-14,0.054060557572
7974,0.96875,0.353225607536,-0.346530374768,-0.868992732734,3.32415229904e-13,2.93772864383e-14,0.0883752722366
7975,0.984375,-0.176744045466,-0.360179447046,-0.915987067768,3.32280393558e-13,3.9094789232e-14,0.117656021811
7977,0.984375,0.177340461669,-0.360016485518,-0.915935855183,3.21690795872e-13,2.65001768935e-14,0.0823777902061
7978,0.984375,-0.364107298371,-0.337563301745,-0.868030467546,3.16225659233e-13,7.73731893078e-14,0.244677138141
7982,0.765625,0.213340515034,-0.460571238246,-0.861603133203,2.64066211776e-13,1.11138221945e-14,0.0420872557673
7983,0.9375,-0.468734016413,-0.361547951503,-0.805959986985,2.92702353555e-13,1.21017385276e-13,0.413448623853
7985,0.9375,0.574061590709,-0.380537767412,-0.725013308599,2.76521348111e-13,3.64553327701e-14,0.131835509335
7986,0.734375,-0.267347991903,-0.535720881404,-0.800954548307,2.30512988814e-13,8.82823062239e-14,0.382981916456
7990,0.515625,0.757059188227,-0.643948780623,-0.110414462164,1.97193682703e-13,1.64098617504e-13,0.832169749331
7991,0.4375,-0.427981357513,-0.903360350711,0.0277855067238,1.68399664913e-13,1.04635763683e-13,0.621353752321
7994,0.4375,0.587803972219,-0.780509731465,-0.212816938548,2.11371897459e-13,1.71068256482e-13,0.809323559749
7995,0.03125,0.372551046833,-0.909735044676,0.183269926587,3.17375716565e-14,2.83456962725e-14,0.893127444634
8050,0.140625,-0.292390151207,-0.956299107775,0.000126275805636,6.21634376005e-14,5.507822269e-14,0.886022794363
8051,0.25,-0.346258841218,-0.929685668789,0.125655768379,7.35386496624e-14,5.31208706204e-14,0.722353087312
8052,0.359375,-0.320025409195,-0.946501623184,-0.0414537667824,9.71081397138e-14,8.79189628767e-14,0.9053717138
8053,0.53125,-0.160579785491,-0.724572514677,-0.67023041073,1.6412647543e-13,7.67911690227e-14,0.467878011889
8054,0.609375,-0.0421673273857,-0.497449715138,-0.866467366616,2.14615976995e-13,2.46581636743e-14,0.11489435232
8055,0.625,-0.104271138641,-0.478813744598,-0.871702315949,2.29067086563e-13,3.20449791645e-14,0.139893424434
8056,0.75,-0.372495757883,-0.457397006563,-0.807486773109,2.55728028265e-13,8.2262561567e-14,0.321679880477
8057,0.984375,-0.595640146653,-0.333179192396,-0.730892906964,3.11357988551e-13,1.59617288869e-13,0.512648766816
8062,0.9375,0.932827626136,-0.310314624535,-0.183132339352,3.25888237104e-13,3.13024033672e-13,0.960525720272
8065,0.0625,-0.808187183053,-0.587258275398,0.0442853827531,4.00170704661e-14,3.02736289209e-14,0.756517870205
8066,0.8125,-0.748062379909,-0.663372365733,0.0184331263476,7.07585430382e-13,6.59617754234e-13,0.932209350153
8123,0.9375,0.193196100664,-0.981153443386,0.00363142118438,6.81449268679e-13,6.74714145793e-13,0.99011647206
8124,0.75,0.0969021582938,-0.986685245436,0.130622349381,5.15868908748e-13,4.9465335023e-13,0.958874128371
8125,0.75,0.0864856405219,-0.994800377278,0.0537814405831,4.52292606408e-13,4.49628698765e-13,0.994110211828
8126,0.703125,0.180040367707,-0.977292256377,-0.111737691139,4.20689967994e-13,3.74308062394e-13,0.889748011294
8127,0.421875,0.220885666067,-0.97074521365,-0.0941448495764,2.86319900726e-13,2.43611750084e-13,0.850837645119
8128,0.25,0.132651557316,-0.99044627443,0.0376794613778,1.61000350168e-13,1.48090857507e-13,0.919816990166
8129,0.25,0.0559146910068,-0.994079484858,0.0931639689653,1.24956872302e-13,1.12354225663e-13,0.8991440294
8130,0.0625,0.12153125981,-0.992586135115,0.00170800067643,3.53600808931e-14,2.40856435408e-14,0.681153519236
8149,0.03125,-0.597406506854,-0.744945269733,-0.296920882847,2.07739682838e-14,1.03501071935e-14,0.498224848141
8150,0.296875,-0.0195040526038,-0.940323632837,-0.339722029694,1.5730178701e-13,7.19361283122e-14,0.457312848631
8151,0.0625,0.493832153765,-0.815879809255,-0.30078221483,2.88511929004e-14,1.28855210342e-14,0.446620043709
8162,0.03125,-0.0447365174507,-0.991235932403,-0.124297909557,1.85477667891e-14,9.29430421259e-15,0.501100985272
8163,0.125,0.0204864618298,-0.974740273817,-0.222399872935,6.77502179581e-14,2.53255076158e-14,0.37380702792
8164,0.125,-0.0580287761505,-0.965652345636,-0.253274966205,6.25395850472e-14,2.11477787191e-14,0.338150288384
8165,0.203125,-0.157021998387,-0.979685211079,-0.124743654012,9.57472994622e-14,5.62943084011e-14,0.587946696327
8166,0.25,-0.10732870546,-0.993710779745,0.0319285953823,1.2807233941e-13,1.14124005997e-13,0.891090195769
8167,0.25,-0.0248640915024,-0.999278105859,0.0287235809739,1.53290190231e-13,1.43858568923e-13,0.938472114271
8168,0.25,-0.0670233201141,-0.996404759234,-0.0518211379273,1.69350663918e-13,1.53488305666e-13,0.906334242307
8169,0.4375,-0.127768873408,-0.989937278605,-0.0608218662672,2.72740894429e-13,2.53192374807e-13,0.928325674582
8170,0.5,-0.078878030514,-0.99594736844,-0.0432099016496,2.98761050172e-13,2.86648572677e-13,0.959457641857
8171,0.5,-0.0130201118028,-0.996701542999,-0.080103126484,3.27882047436e-13,3.11648432021e-13,0.950489465517
8172,0.515625,-0.0370420157665,-0.989702129792,-0.138266349315,3.65883882206e-13,3.36892912007e-13,0.920764560537
8173,0.671875,-0.090007329743,-0.987356882757,-0.13048013897,4.50052148098e-13,4.22243489364e-13,0.938210141088
8174,0.75,-0.090376840244,-0.993722326342,-0.0659390997512,4.75767857965e-13,4.67123685925e-13,0.981831113859
8175,0.75,-0.0527849394465,-0.99857890741,-0.00734274083993,5.00219181872e-13,4.9862609535e-13,0.996815223048
8176,0.796875,-0.0363413487128,-0.99929801063,-0.00909902881494,5.52665849717e-13,5.5098004861e-13,0.99694969192
8191,0.65625,0.359393689066,-0.844091311696,-0.397927171452,2.68717094054e-13,2.35110247456e-13,0.874935955542
