iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
17,0.003985616082,58590,58590,0.528294741398,-0.00407610399691,0.0483362901927,2.49878133544e-10,5.78998393067e-11,3219,1,0,25003.8292079,16.4032082558,15414,0,0,0.311855913512,0.997022751761,0,0.1,0.481904135034,1,20433.3279399,1,1,0,0,0,171,218,32,-15,8,0,0,1,-2,0,0,0,0,0,0,25.3060517921
18,0.00394198194093,58591,58591,0.528303758205,0.00644384807276,0.0483362901927,2.09292419553e-10,5.33064327938e-11,3217,1,0,25198.5660419,14.1449999809,14605,0,0,0.30551976109,0.997022751761,0,0.1,0.477705119827,1,19463.6046734,1,1,0,0,0,166,202,38,2,9,0,0,2,-7,0,0,0,0,0,0,25.5007232497
19,0.00390122653025,58591,58591,0.528303758205,0.00236289688904,0.0483362901927,1.91437980075e-10,4.97933427472e-11,3200,1,0,24623.4300418,12.9539160728,14051,0,0,0.304778837984,0.997022751761,0,0.1,0.474026678491,1,18462.9474908,1,1,0,0,0,136,177,39,-2,10,0,0,1,-31,0,0,0,0,0,0,24.8549248329
20,0.00387385454994,58590,58590,0.528294741398,0.00270702207187,0.0483362901927,2.12637433379e-10,4.78830760387e-11,3182,1,0,24574.6646662,12.2745418549,13515,0,0,0.315764094514,0.999710042495,0,0.1,0.470232762853,1,17461.5325294,1,1,0,0,0,113,139,40,14,11,0,0,2,-25,0,0,0,0,0,0,39.9120302079
21,0.00389423780996,58590,58590,0.528294741398,-0.00629294563225,0.0483362901927,2.35771411022e-10,5.06548834977e-11,3143,1,0,25427.9181671,12.0989170074,11582,0,0,0.327320839596,0.999710042495,0,0.1,0.440192452092,1,14660.7439471,1,1,0,0,0,64,63,26,27,11,0,0,0,-49,0,0,0,0,0,0,25.5813167919
22,0.00385866359832,58590,58590,0.528294741398,0.00386019944887,0.0483362901927,2.24280766443e-10,4.76053429434e-11,3169,1,0,25526.0994577,12.4098343849,11200,0,0,0.321701135334,0.999710042495,0,0.1,0.434174390444,1,14282.8491367,1,1,0,0,0,47,38,19,28,11,0,0,0,-17,0,0,0,0,0,0,25.6790390001
23,0.00382222777514,58590,58590,0.528294741398,-0.000393993733573,0.0483362901927,1.9392734307e-10,4.47640546447e-11,3145,1,0,26061.0767498,12.0856251717,10654,0,0,0.323163833329,0.999710042495,0,0.1,0.425844805185,1,14001.4339438,1,1,0,0,0,38,12,18,44,11,0,0,0,-9,0,0,0,0,0,0,26.2209833749
24,0.00379874753882,58591,58591,0.528303758205,0.00164030684163,0.0483362901927,1.69091269744e-10,4.32392228433e-11,3137,1,0,23985.237833,12.7288331985,10135,0,0,0.32130476772,0.999710042495,0,0.1,0.417387896892,1,13734.5013596,1,1,0,0,0,35,3,18,50,12,0,0,1,-4,0,0,0,0,0,0,24.2828895841
25,0.00377825479144,58590,58590,0.528294741398,0.000955795352448,0.0483362901927,1.52450585643e-10,4.2120425175e-11,3119,1,0,23256.0039172,12.4444999695,9760,0,0,0.281527245247,0.999782904724,0,0.1,0.410375599425,1,13492.6506905,1,1,0,0,0,25,-4,10,39,13,0,0,1,-11,0,0,0,0,0,0,39.0695428331
26,0.00376508410371,58591,58591,0.528303758205,-1.61658252366e-05,0.0483362901927,1.98282643997e-10,4.13084016504e-11,2943,1,0,22033.4559169,12.3839583397,9184,0,0,0.281655409894,0.999782904724,0,0.1,0.374753130631,1,12685.8581104,1,1,0,0,0,18,-17,6,41,14,0,0,1,-8,0,0,0,0,0,0,22.182922584
27,0.00374802892341,58591,58591,0.528303758205,0.00184429438595,0.0483362901927,1.77882630964e-10,4.02491142469e-11,2923,1,0,23214.6581659,12.259958744,9005,0,0,0.279112180036,0.999782904724,0,0.1,0.369223033951,1,12673.3521565,1,1,0,0,0,11,-17,3,31,14,0,0,0,-7,0,0,0,0,0,0,23.3653465002
28,0.00372995584177,58591,58591,0.528303758205,-0.000498564443094,0.0483362901927,1.98016518143e-10,3.92538821773e-11,2959,1,0,26049.6783333,13.7738747597,8839,0,0,0.280549626849,0.999782904724,0,0.1,0.364142368951,1,12681.3437952,1,1,0,0,0,12,-12,3,27,15,0,0,2,-1,0,0,0,0,0,0,26.215681084
29,0.00371539486324,58591,58591,0.528303758205,-0.000125183846965,0.0483362901927,2.192462473e-10,3.85806330024e-11,2946,1,0,22449.3605833,12.0190830231,8682,0,0,0.281479020502,0.999782904724,0,0.1,0.358526010158,1,12676.1424121,1,1,0,0,0,12,-14,2,28,15,0,0,0,0,0,0,0,0,0,0,22.5971021662
30,0.00370240593612,58590,58590,0.528294741398,-0.000220133130167,0.0483362901927,2.04328928897e-10,3.7953931468e-11,2923,1,0,23377.0789165,12.0472922325,8521,0,0,0.287307046888,0.999591581195,0,0.1,0.352552236167,1,12676.3636549,1,1,0,0,0,12,-11,2,25,15,0,0,0,0,0,0,0,0,0,0,39.378407042
31,0.00369688923356,58591,58591,0.528303758205,0.00383795252557,0.0483362901927,1.71549378518e-10,3.70306015289e-11,2685,1,0,21029.453959,12.5166249275,8672,0,0,0.279594020153,0.999591581195,0,0.1,0.332908923517,1,12422.9634866,1,1,0,0,0,5,-12,0,17,15,0,0,0,-7,0,0,0,0,0,0,21.1809081673
