posture,rung,iter,penalty,beta,cg,carried_mg,hier_built,cycles,compliance,change,achieved_vf
S2 Peetz values 1it-per-val,1,38,4.0000,1.0000,23,1,1,23,453.629892855,0.137649126756,0.0457306595
S2 Peetz values 1it-per-val,1,39,4.0000,1.0000,33,1,1,33,311.304247281,0.198857778765,0.0455425427
S2 Peetz values 1it-per-val,1,40,4.0000,1.0000,23,1,1,23,218.679896998,0.184502145045,0.0453524673
S3 Amir-Sigmund 1to3 1it-per-val,0,1,1.0000,0.0000,45,1,1,45,12.1397664609,0.1998,0.0410043414
S3 Amir-Sigmund 1to3 1it-per-val,0,2,1.2500,0.0000,40,1,1,40,129.425149502,0.1998,0.0371239569
S3 Amir-Sigmund 1to3 1it-per-val,0,3,1.5000,0.0000,111,1,1,111,776.025996159,0.1998,0.0312285304
S3 Amir-Sigmund 1to3 1it-per-val,0,4,1.7500,0.0000,144,1,1,144,87051.4225925,0.1998,0.0285129747
S3 Amir-Sigmund 1to3 1it-per-val,0,5,2.0000,0.0000,68,1,1,68,38541.7566236,0.1998,0.0281888321
S3 Amir-Sigmund 1to3 1it-per-val,0,6,2.2500,0.0000,781,0,1,300,2960655.84165,0.1998,0.0159414482
S3 Amir-Sigmund 1to3 1it-per-val,0,7,2.5000,0.0000,55,1,1,55,1230458.3614,0.1998,0.0324052732
S3 Amir-Sigmund 1to3 1it-per-val,0,8,2.7500,0.0000,172,1,1,172,179426.741416,0.1998,0.0158081601
S3 Amir-Sigmund 1to3 1it-per-val,0,9,3.0000,0.0000,127,1,1,127,21903571.9697,0.1998,0.0316781469
S3 Amir-Sigmund 1to3 1it-per-val,0,10,3.0000,0.0000,284,1,1,284,2026876.35823,0.1998,0.0186024098
S3 Amir-Sigmund 1to3 1it-per-val,0,11,3.0000,0.0000,148,1,1,148,452370.000847,0.1998,0.0298910987
S3 Amir-Sigmund 1to3 1it-per-val,0,12,3.0000,0.0000,130,1,1,130,63742.0268687,0.1998,0.0223739374
S3 Amir-Sigmund 1to3 1it-per-val,0,13,3.0000,0.0000,77,1,1,77,7248.77675985,0.194270264211,0.0332629881
S3 Amir-Sigmund 1to3 1it-per-val,0,14,3.0000,0.0000,37,1,1,37,2423.10229017,0.141490379056,0.0436238717
S3 Amir-Sigmund 1to3 1it-per-val,0,15,3.0000,0.0000,45,1,1,45,1030.0408676,0.101928510861,0.0509181375
S3 Amir-Sigmund 1to3 1it-per-val,0,16,3.0000,0.0000,53,1,1,53,542.33008548,0.146113023749,0.0546894227
S3 Amir-Sigmund 1to3 1it-per-val,0,17,3.0000,0.0000,45,1,1,45,342.137114631,0.158569896522,0.0561660588
S3 Amir-Sigmund 1to3 1it-per-val,0,18,3.0000,0.0000,43,1,1,43,244.241196262,0.124005133561,0.0566452501
S3 Amir-Sigmund 1to3 1it-per-val,0,19,3.0000,0.0000,45,1,1,45,185.289914804,0.116206719653,0.0567891903
S3 Amir-Sigmund 1to3 1it-per-val,0,20,3.0000,0.0000,45,1,1,45,143.712659114,0.1010733709,0.0568636715
S3 Amir-Sigmund 1to3 1it-per-val,0,21,1.0000,1.0000,31,1,1,31,4.88201254622,0.1998,0.0576137562
S3 Amir-Sigmund 1to3 1it-per-val,0,22,1.2500,1.0000,28,1,1,28,6.63368816893,0.1998,0.0582924845
S3 Amir-Sigmund 1to3 1it-per-val,0,23,1.5000,1.0000,41,1,1,41,9.7831632369,0.1998,0.0574845107
S3 Amir-Sigmund 1to3 1it-per-val,0,24,1.7500,1.0000,28,1,1,28,12.1171505874,0.171475663999,0.0580775414
S3 Amir-Sigmund 1to3 1it-per-val,0,25,2.0000,1.0000,30,1,1,30,12.4388652623,0.191392417855,0.0603370711
S3 Amir-Sigmund 1to3 1it-per-val,0,26,2.2500,1.0000,28,1,1,28,13.0561757836,0.1998,0.0604932561
S3 Amir-Sigmund 1to3 1it-per-val,0,27,2.5000,1.0000,30,1,1,30,14.4062079362,0.1998,0.0600990863
S3 Amir-Sigmund 1to3 1it-per-val,0,28,2.7500,1.0000,30,1,1,30,15.3939356664,0.1998,0.0597514085
S3 Amir-Sigmund 1to3 1it-per-val,0,29,3.0000,1.0000,26,1,1,26,15.7319680509,0.1998,0.0593936711
S3 Amir-Sigmund 1to3 1it-per-val,0,30,3.0000,1.0000,26,1,1,26,13.2551370642,0.189472969308,0.059383724
S3 Amir-Sigmund 1to3 1it-per-val,0,31,3.0000,1.0000,26,1,1,26,11.5333227441,0.1998,0.0594276394
S3 Amir-Sigmund 1to3 1it-per-val,0,32,3.0000,1.0000,26,1,1,26,10.416782768,0.185516346383,0.0595098057
S3 Amir-Sigmund 1to3 1it-per-val,0,33,3.0000,1.0000,26,1,1,26,9.70980084801,0.1998,0.0595540342
S3 Amir-Sigmund 1to3 1it-per-val,0,34,3.0000,1.0000,25,1,1,25,9.28520831495,0.1998,0.0595681401
S3 Amir-Sigmund 1to3 1it-per-val,0,35,3.0000,1.0000,25,1,1,25,8.99665731783,0.16648435959,0.0595692626
S3 Amir-Sigmund 1to3 1it-per-val,0,36,3.0000,1.0000,31,1,1,31,8.79144926331,0.1998,0.0595576081
S3 Amir-Sigmund 1to3 1it-per-val,0,37,3.0000,1.0000,25,1,1,25,8.63573432944,0.1998,0.0595420001
S3 Amir-Sigmund 1to3 1it-per-val,0,38,3.0000,1.0000,25,1,1,25,8.50853266888,0.150591578871,0.0595353109
S3 Amir-Sigmund 1to3 1it-per-val,0,39,3.0000,1.0000,33,1,1,33,8.4061174826,0.151975928651,0.0595357521
S3 Amir-Sigmund 1to3 1it-per-val,0,40,3.0000,1.0000,33,1,1,33,8.33116555496,0.166529634738,0.0595357401
S3 Amir-Sigmund 1to3 1it-per-val,1,1,1.0000,0.0000,45,1,1,45,16.0729559042,0.1998,0.030195734
S3 Amir-Sigmund 1to3 1it-per-val,1,2,1.2500,0.0000,58,1,1,58,190.249008252,0.1998,0.0283601219
S3 Amir-Sigmund 1to3 1it-per-val,1,3,1.5000,0.0000,116,1,1,116,825.358861154,0.1998,0.024038339
S3 Amir-Sigmund 1to3 1it-per-val,1,4,1.7500,0.0000,124,1,1,124,75823.1750178,0.1998,0.0215224826
S3 Amir-Sigmund 1to3 1it-per-val,1,5,2.0000,0.0000,67,1,1,67,47984.3682628,0.1998,0.0222662655
S3 Amir-Sigmund 1to3 1it-per-val,1,6,2.2500,0.0000,191,0,1,300,2695281.30483,0.1998,0.0126969237
S3 Amir-Sigmund 1to3 1it-per-val,1,7,2.5000,0.0000,54,1,1,54,1891265.87205,0.1998,0.0261342525
S3 Amir-Sigmund 1to3 1it-per-val,1,8,2.7500,0.0000,113,1,1,113,213997.578049,0.1998,0.0125730786
S3 Amir-Sigmund 1to3 1it-per-val,1,9,3.0000,0.0000,68,1,1,68,41083136.2406,0.1998,0.0265806712
S3 Amir-Sigmund 1to3 1it-per-val,1,10,3.0000,0.0000,180,1,1,180,1987754.94501,0.1998,0.0118713486
S3 Amir-Sigmund 1to3 1it-per-val,1,11,3.0000,0.0000,60,1,1,60,24118955.2695,0.1998,0.0272616409
S3 Amir-Sigmund 1to3 1it-per-val,1,12,3.0000,0.0000,152,1,1,152,416236.509315,0.159036474664,0.0132450262
S3 Amir-Sigmund 1to3 1it-per-val,1,13,3.0000,0.0000,66,1,1,66,89514.1369753,0.1998,0.0282707128
S3 Amir-Sigmund 1to3 1it-per-val,1,14,3.0000,0.0000,89,1,1,89,13757.4641164,0.1998,0.0254643237
S3 Amir-Sigmund 1to3 1it-per-val,1,15,3.0000,0.0000,34,1,1,34,4179.63579184,0.193579065895,0.0333302419
S3 Amir-Sigmund 1to3 1it-per-val,1,16,3.0000,0.0000,34,1,1,34,1713.84178718,0.0938740053581,0.038807175
S3 Amir-Sigmund 1to3 1it-per-val,1,17,3.0000,0.0000,48,1,1,48,928.326896628,0.0795523546286,0.0414672706
S3 Amir-Sigmund 1to3 1it-per-val,1,18,3.0000,0.0000,46,1,1,46,619.140105221,0.0605128226215,0.0424128588
S3 Amir-Sigmund 1to3 1it-per-val,1,19,3.0000,0.0000,49,1,1,49,469.44050515,0.0534271921528,0.0426766042
S3 Amir-Sigmund 1to3 1it-per-val,1,20,3.0000,0.0000,49,1,1,49,375.005134632,0.0543827884531,0.0427190297
S3 Amir-Sigmund 1to3 1it-per-val,1,21,1.0000,1.0000,31,1,1,31,6.63347435056,0.1998,0.0410853729
S3 Amir-Sigmund 1to3 1it-per-val,1,22,1.2500,1.0000,35,1,1,35,16.9569886063,0.1998,0.0348229609
S3 Amir-Sigmund 1to3 1it-per-val,1,23,1.5000,1.0000,76,1,1,76,1156.72676504,0.1998,0.0286086651
S3 Amir-Sigmund 1to3 1it-per-val,1,24,1.7500,1.0000,137,1,1,137,13943.3758422,0.1998,0.0283330552
S3 Amir-Sigmund 1to3 1it-per-val,1,25,2.0000,1.0000,90,1,1,90,43747.765726,0.1998,0.0269739688
S3 Amir-Sigmund 1to3 1it-per-val,1,26,2.2500,1.0000,227,1,1,227,588291.93613,0.1998,0.0210245903
S3 Amir-Sigmund 1to3 1it-per-val,1,27,2.5000,1.0000,96,1,1,96,772195.746259,0.1998,0.0263614603
S3 Amir-Sigmund 1to3 1it-per-val,1,28,2.7500,1.0000,275,1,1,275,1708886.36324,0.1998,0.0247198108
S3 Amir-Sigmund 1to3 1it-per-val,1,29,3.0000,1.0000,176,1,1,176,3503123.27474,0.1998,0.0237038801
S3 Amir-Sigmund 1to3 1it-per-val,1,30,3.0000,1.0000,124,1,1,124,94253.0848611,0.1998,0.0263750804
S3 Amir-Sigmund 1to3 1it-per-val,1,31,3.0000,1.0000,111,1,1,111,15217.8875883,0.1998,0.024997005
S3 Amir-Sigmund 1to3 1it-per-val,1,32,3.0000,1.0000,60,1,1,60,2213.43064057,0.1998,0.0348764993
S3 Amir-Sigmund 1to3 1it-per-val,1,33,3.0000,1.0000,33,1,1,33,790.339005083,0.110485237188,0.0416705352
S3 Amir-Sigmund 1to3 1it-per-val,1,34,3.0000,1.0000,43,1,1,43,386.455879449,0.158340009873,0.04494247
S3 Amir-Sigmund 1to3 1it-per-val,1,35,3.0000,1.0000,37,1,1,37,236.724596746,0.165005453564,0.0461429035
S3 Amir-Sigmund 1to3 1it-per-val,1,36,3.0000,1.0000,33,1,1,33,168.142645485,0.1998,0.0464521729
S3 Amir-Sigmund 1to3 1it-per-val,1,37,3.0000,1.0000,27,1,1,27,129.286528763,0.163336977636,0.0463981064
S3 Amir-Sigmund 1to3 1it-per-val,1,38,3.0000,1.0000,32,1,1,32,102.776353698,0.135698509491,0.0462533926
S3 Amir-Sigmund 1to3 1it-per-val,1,39,3.0000,1.0000,37,1,1,37,82.9178632426,0.1998,0.0460732536
S3 Amir-Sigmund 1to3 1it-per-val,1,40,3.0000,1.0000,27,1,1,27,67.5472968969,0.146715241127,0.0458646422
S4 stagnation-window 1to3,0,1,1.0000,0.0000,45,1,1,45,12.1397664609,0.1998,0.0410043414
S4 stagnation-window 1to3,0,2,1.0000,0.0000,40,1,1,40,27.0045827437,0.1998,0.0372895988
S4 stagnation-window 1to3,0,3,1.5000,0.0000,106,1,1,106,743.671955956,0.1998,0.031214083
S4 stagnation-window 1to3,0,4,1.5000,0.0000,131,1,1,131,15587.0448084,0.1998,0.028515067
S4 stagnation-window 1to3,0,5,2.0000,0.0000,61,1,1,61,36667.1742007,0.1998,0.0280734888
S4 stagnation-window 1to3,0,6,2.0000,0.0000,236,1,1,236,533250.111356,0.1998,0.0160825676
S4 stagnation-window 1to3,0,7,2.5000,0.0000,51,1,1,51,1204126.29414,0.1998,0.0324657176
S4 stagnation-window 1to3,0,8,2.5000,0.0000,164,1,1,164,51805.2790711,0.1998,0.0172193726
S4 stagnation-window 1to3,0,9,3.0000,0.0000,163,1,1,163,21967681.3783,0.1998,0.0312958746
S4 stagnation-window 1to3,0,10,3.0000,0.0000,214,1,1,214,2194239.20627,0.1998,0.0159497913
S4 stagnation-window 1to3,0,11,3.0000,0.0000,108,1,1,108,292482.827035,0.1998,0.0318662531
S4 stagnation-window 1to3,0,12,3.0000,0.0000,149,1,1,149,32334.8374557,0.1998,0.0242800954
S4 stagnation-window 1to3,0,13,3.0000,0.0000,48,1,1,48,5017.00137046,0.148317653249,0.0365524088
S4 stagnation-window 1to3,0,14,3.0000,0.0000,46,1,1,46,2006.0055683,0.111139118364,0.0460245184
S4 stagnation-window 1to3,0,15,3.0000,0.0000,59,1,1,59,963.359623685,0.0955052547698,0.0519847165
S4 stagnation-window 1to3,0,16,3.0000,0.0000,58,1,1,58,544.814683197,0.0839407266563,0.0549194613
S4 stagnation-window 1to3,0,17,3.0000,0.0000,54,1,1,54,355.199839653,0.102481362289,0.0560809789
S4 stagnation-window 1to3,0,18,3.0000,0.0000,54,1,1,54,254.785929458,0.120574402652,0.0564742543
S4 stagnation-window 1to3,0,19,3.0000,0.0000,44,1,1,44,191.553549551,0.106736068354,0.0566576412
S4 stagnation-window 1to3,0,20,3.0000,0.0000,48,1,1,48,147.026905041,0.105914731911,0.0567596723
S4 stagnation-window 1to3,0,21,1.0000,1.0000,32,1,1,32,4.95942467173,0.1998,0.0571572006
S4 stagnation-window 1to3,0,22,1.0000,1.0000,26,1,1,26,4.23075385305,0.1998,0.0584514735
S4 stagnation-window 1to3,0,23,1.5000,1.0000,50,1,1,50,11.4227881856,0.1998,0.0557602299
S4 stagnation-window 1to3,0,24,1.5000,1.0000,30,1,1,30,10.5204602775,0.1998,0.0541389994
S4 stagnation-window 1to3,0,25,2.0000,1.0000,43,1,1,43,20.2857456488,0.1998,0.056452744
S4 stagnation-window 1to3,0,26,2.0000,1.0000,25,1,1,25,11.8938159275,0.1998,0.0602567835
S4 stagnation-window 1to3,0,27,2.5000,1.0000,34,1,1,34,15.8834669853,0.1998,0.0600769055
S4 stagnation-window 1to3,0,28,2.5000,1.0000,38,1,1,38,13.4097403626,0.1998,0.0602022716
S4 stagnation-window 1to3,0,29,3.0000,1.0000,29,1,1,29,17.7643865908,0.1998,0.0596236197
S4 stagnation-window 1to3,0,30,3.0000,1.0000,29,1,1,29,15.0745227671,0.1998,0.0594997044
S4 stagnation-window 1to3,0,31,3.0000,1.0000,29,1,1,29,12.9515698963,0.170534832687,0.0595410229
S4 stagnation-window 1to3,0,32,3.0000,1.0000,31,1,1,31,11.5650204614,0.164144922628,0.0596320827
S4 stagnation-window 1to3,0,33,3.0000,2.0000,30,1,1,30,10.6835756325,0.176979954931,0.0624526646
S4 stagnation-window 1to3,0,34,3.0000,2.0000,29,1,1,29,9.09341111858,0.139499407736,0.0626070949
S4 stagnation-window 1to3,0,35,3.0000,2.0000,35,1,1,35,8.65007320338,0.102957378336,0.0625378415
S4 stagnation-window 1to3,0,36,3.0000,2.0000,41,1,1,41,8.39488443033,0.11383145244,0.0623745832
S4 stagnation-window 1to3,0,37,3.0000,2.0000,40,1,1,40,8.18281493882,0.107368492958,0.0622308838
S4 stagnation-window 1to3,0,38,3.0000,2.0000,41,1,1,41,7.99003069234,0.12742715663,0.0620845888
S4 stagnation-window 1to3,0,39,3.0000,2.0000,35,1,1,35,7.81743664818,0.142562241513,0.0619817138
S4 stagnation-window 1to3,0,40,3.0000,2.0000,33,1,1,33,7.67441687369,0.15467401805,0.0618961269
S4 stagnation-window 1to3,1,1,1.0000,0.0000,45,1,1,45,16.0729559042,0.1998,0.030195734
S4 stagnation-window 1to3,1,2,1.0000,0.0000,41,1,1,41,38.2084742748,0.1998,0.028467889
S4 stagnation-window 1to3,1,3,1.5000,0.0000,113,1,1,113,794.761141415,0.1998,0.0240334361
S4 stagnation-window 1to3,1,4,1.5000,0.0000,118,1,1,118,13654.9679124,0.1998,0.0215183073
S4 stagnation-window 1to3,1,5,2.0000,0.0000,67,1,1,67,47511.2006607,0.1998,0.0221751376
S4 stagnation-window 1to3,1,6,2.0000,0.0000,239,1,1,239,480484.629725,0.1998,0.0127101969
S4 stagnation-window 1to3,1,7,2.5000,0.0000,54,1,1,54,1867283.32998,0.1998,0.0261781866
S4 stagnation-window 1to3,1,8,2.5000,0.0000,104,1,1,104,60693.4885362,0.1998,0.0128214576
S4 stagnation-window 1to3,1,9,3.0000,0.0000,66,1,1,66,37856333.967,0.1998,0.0264565849
S4 stagnation-window 1to3,1,10,3.0000,0.0000,215,1,1,215,2198982.22125,0.1998,0.0115551727
S4 stagnation-window 1to3,1,11,3.0000,0.0000,58,1,1,58,20530501.1206,0.1998,0.0271720666
S4 stagnation-window 1to3,1,12,3.0000,0.0000,172,1,1,172,599554.60967,0.191595825381,0.0132241941
S4 stagnation-window 1to3,1,13,3.0000,0.0000,114,1,1,114,154710.241865,0.1998,0.0270150693
S4 stagnation-window 1to3,1,14,3.0000,0.0000,116,1,1,116,25639.4049978,0.1998,0.021841901
S4 stagnation-window 1to3,1,15,3.0000,0.0000,37,1,1,37,6591.35649236,0.122211022287,0.0304548742
S4 stagnation-window 1to3,1,16,3.0000,0.0000,45,1,1,45,2544.02919911,0.110961556844,0.0368054215
S4 stagnation-window 1to3,1,17,3.0000,0.0000,48,1,1,48,1280.17705855,0.101882372985,0.0404404198
S4 stagnation-window 1to3,1,18,3.0000,0.0000,46,1,1,46,792.34937836,0.0856138078385,0.041962494
S4 stagnation-window 1to3,1,19,3.0000,0.0000,50,1,1,50,569.244300522,0.0713802913165,0.0424879058
S4 stagnation-window 1to3,1,20,3.0000,0.0000,51,1,1,51,442.444447464,0.0672601366295,0.042627436
S4 stagnation-window 1to3,1,21,1.0000,1.0000,32,1,1,32,6.80290044812,0.1998,0.040490426
S4 stagnation-window 1to3,1,22,1.0000,1.0000,34,1,1,34,8.32914710645,0.1998,0.0362144141
S4 stagnation-window 1to3,1,23,1.5000,1.0000,92,1,1,92,1088.46020786,0.1998,0.0278074159
S4 stagnation-window 1to3,1,24,1.5000,1.0000,133,1,1,133,2970.89658981,0.1998,0.0276297717
S4 stagnation-window 1to3,1,25,2.0000,1.0000,97,1,1,97,43016.368515,0.1998,0.0267860296
S4 stagnation-window 1to3,1,26,2.0000,1.0000,205,1,1,205,97084.6606844,0.1998,0.0212437452
S4 stagnation-window 1to3,1,27,2.5000,1.0000,79,1,1,79,738329.844256,0.1998,0.0258419567
S4 stagnation-window 1to3,1,28,2.5000,1.0000,274,1,1,274,397964.735299,0.1998,0.0249724388
S4 stagnation-window 1to3,1,29,3.0000,1.0000,210,1,1,210,1263562.46167,0.1998,0.0221914201
S4 stagnation-window 1to3,1,30,3.0000,1.0000,134,1,1,134,61922.3950528,0.1998,0.0270862045
S4 stagnation-window 1to3,1,31,3.0000,1.0000,114,1,1,114,4676.47471678,0.1998,0.029757418
S4 stagnation-window 1to3,1,32,3.0000,1.0000,31,1,1,31,1017.8913209,0.1998,0.0384326699
S4 stagnation-window 1to3,1,33,3.0000,1.0000,31,1,1,31,380.957341373,0.194027878052,0.0436839857
S4 stagnation-window 1to3,1,34,3.0000,1.0000,31,1,1,31,202.974624341,0.183211449131,0.0456536839
S4 stagnation-window 1to3,1,35,3.0000,1.0000,30,1,1,30,136.820826238,0.167320282919,0.0460302488
S4 stagnation-window 1to3,1,36,3.0000,1.0000,33,1,1,33,103.425881863,0.1998,0.0459689649
S4 stagnation-window 1to3,1,37,3.0000,1.0000,27,1,1,27,81.4761804077,0.193254214136,0.0457858374
S4 stagnation-window 1to3,1,38,3.0000,1.0000,30,1,1,30,65.3450906627,0.141277879715,0.0455710502
S4 stagnation-window 1to3,1,39,3.0000,1.0000,34,1,1,34,52.920660138,0.1998,0.0453689298
S4 stagnation-window 1to3,1,40,3.0000,1.0000,26,1,1,26,43.3074983817,0.1998,0.0452184138
