SIMP penalization-continuation probe — big stagnation fixture, 20-iteration rung budget, margin_stop 1.5, ladder 0.68 0.52 0.38
part 24x6x24 @ 1.00 mm; design box [-4.2 -4.5 -4.2]-[28.2 10.6 28.2] (pad scale 0.35) gives the dilute regime the V-cycle stagnates on.
EXPECTED, stated before the numbers: with p ramped from 1, the early high-contrast solves are softer, so the multigrid V-cycle should carry MORE early iterations -> FEWER stagnating iterations and (if the CG saved exceeds the ramp's cost) less wall. The design WILL differ; the certified compliance is the test of whether it is better.

### S0 OFF (shipped p=3) — schedule: (empty = OFF, constant p = 3)

===== S0 OFF (shipped p=3) =====
 rung iter |    p  | beta |    CG | carried | built | cycles | compliance
    1   12 |  3.00 |  0.0 |   161 |   MG    |   Y   |    161 | 426753
    1   13 |  3.00 |  0.0 |    81 |   MG    |   Y   |     81 | 117851
    1   14 |  3.00 |  0.0 |   102 |   MG    |   Y   |    102 | 18331.2
    1   15 |  3.00 |  0.0 |    36 |   MG    |   Y   |     36 | 5129.03
    1   16 |  3.00 |  0.0 |    44 |   MG    |   Y   |     44 | 2057.87
    1   17 |  3.00 |  0.0 |    46 |   MG    |   Y   |     46 | 1072.05
    1   18 |  3.00 |  0.0 |    44 |   MG    |   Y   |     44 | 683.755
    1   19 |  3.00 |  0.0 |    45 |   MG    |   Y   |     45 | 502.845
    1   20 |  3.00 |  0.0 |    47 |   MG    |   Y   |     47 | 396.417
    1   21 |  3.00 |  1.0 |    28 |   MG    |   Y   |     28 | 501.831
    1   22 |  3.00 |  1.0 |    26 |   MG    |   Y   |     26 | 136.966
    1   23 |  3.00 |  1.0 |    26 |   MG    |   Y   |     26 | 70.5261
    1   24 |  3.00 |  1.0 |    25 |   MG    |   Y   |     25 | 46.4224
    1   25 |  3.00 |  1.0 |    25 |   MG    |   Y   |     25 | 33.3958
    1   26 |  3.00 |  1.0 |    26 |   MG    |   Y   |     26 | 26.0758
    1   27 |  3.00 |  1.0 |    25 |   MG    |   Y   |     25 | 21.6846
    1   28 |  3.00 |  1.0 |    33 |   MG    |   Y   |     33 | 19.1469
    1   29 |  3.00 |  1.0 |    26 |   MG    |   Y   |     26 | 17.587
    1   30 |  3.00 |  1.0 |    34 |   MG    |   Y   |     34 | 16.6324
    1   31 |  3.00 |  1.0 |    30 |   MG    |   Y   |     30 | 15.9805
    1   32 |  3.00 |  1.0 |    25 |   MG    |   Y   |     25 | 15.5525
    1   33 |  3.00 |  1.0 |    30 |   MG    |   Y   |     30 | 15.298
    1   34 |  3.00 |  1.0 |    34 |   MG    |   Y   |     34 | 15.132
    1   35 |  3.00 |  1.0 |    40 |   MG    |   Y   |     40 | 15.0113
    1   36 |  3.00 |  1.0 |    31 |   MG    |   Y   |     31 | 14.9135
    1   37 |  3.00 |  1.0 |    38 |   MG    |   Y   |     38 | 14.8252
    1   38 |  3.00 |  1.0 |    38 |   MG    |   Y   |     38 | 14.7467
    1   39 |  3.00 |  1.0 |    37 |   MG    |   Y   |     37 | 14.6767
    1   40 |  3.00 |  1.0 |    29 |   MG    |   Y   |     29 | 14.6115
    2    1 |  3.00 |  0.0 |    65 |   MG    |   Y   |     65 | 23095
    2    2 |  3.00 |  0.0 |    56 |   MG    |   Y   |     56 | 4.15072e+07
    2    3 |  3.00 |  0.0 |  1769 |   Jc    |   Y   |    300 | 7.97169e+06
    2    4 |  3.00 |  0.0 |   936 |   Jc    |   Y   |    300 | 1.4952e+08
    2    5 |  3.00 |  0.0 |   141 |   MG    |   Y   |    141 | 4.62433e+07
    2    6 |  3.00 |  0.0 |  1037 |   Jc    |   Y   |    300 | 4.26118e+08
    2    7 |  3.00 |  0.0 |    53 |   MG    |   Y   |     53 | 8.06653e+07
    2    8 |  3.00 |  0.0 |   123 |   MG    |   Y   |    123 | 764927
    2    9 |  3.00 |  0.0 |    82 |   MG    |   Y   |     82 | 5.45814e+07
    2   10 |  3.00 |  0.0 |   176 |   MG    |   Y   |    176 | 3.35971e+06
    2   11 |  3.00 |  0.0 |    60 |   MG    |   Y   |     60 | 3.56501e+07
    2   12 |  3.00 |  0.0 |   174 |   MG    |   Y   |    174 | 1.21854e+06
    2   13 |  3.00 |  0.0 |    71 |   MG    |   Y   |     71 | 1.36056e+07
    2   14 |  3.00 |  0.0 |   269 |   MG    |   Y   |    269 | 1.9362e+06
    2   15 |  3.00 |  0.0 |   227 |   MG    |   Y   |    227 | 262254
    2   16 |  3.00 |  0.0 |    98 |   MG    |   Y   |     98 | 65977.6
    2   17 |  3.00 |  0.0 |    61 |   MG    |   Y   |     61 | 18670.2
    2   18 |  3.00 |  0.0 |    55 |   MG    |   Y   |     55 | 6743.51
    2   19 |  3.00 |  0.0 |    52 |   MG    |   Y   |     52 | 3174.66
    2   20 |  3.00 |  0.0 |    48 |   MG    |   Y   |     48 | 1851.47
    2   21 |  3.00 |  1.0 |    34 |   MG    |   Y   |     34 | 1916.89
    2   22 |  3.00 |  1.0 |    32 |   MG    |   Y   |     32 | 527.684
    2   23 |  3.00 |  1.0 |    32 |   MG    |   Y   |     32 | 420.55
    2   24 |  3.00 |  1.0 |    33 |   MG    |   Y   |     33 | 400.031
