rung,region,region_voxels,f,cells_per_member,in_range,mass_g,dmass_g,margin_effective,margin_solid_only,dmargin_pct,strut_margin,out_of_regime,sealed,accepted,load_path,refused
0.68,load-pad-1,29250,0.2,5.115837908,1,,,,,,,,,,1
0.68,load-pad-1,29250,0.3,5.115837908,1,417.8220136,-125.9018636,134.7729224,326.7402244,-79.99974952,134.7729224,1,0,1,1,0
0.68,load-pad-1,29250,0.45,5.115837908,1,444.8009843,-98.9228928,150.9784451,383.9303321,-77.59485612,150.9784451,1,0,1,1,0
0.68,load-pad-1,29250,0.6,5.115837908,1,471.7799551,-71.94392204,213.9345965,453.0969468,-68.25218718,213.9345965,1,0,1,1,0
0.68,anchor-2,10966,0.2,13.64223442,1,,,,,,,,,,1
0.68,anchor-2,10966,0.3,13.64223442,1,496.5225152,-47.20136191,173.1172278,665.6093845,-74.30946918,173.1172278,1,0,1,1,0
