rung,operator,iterations,wall_s,cut_max_mm,cut_rms_mm,cut_moved,cad_moved_bitwise,dihedral_before,dihedral_after,vol_before_mm3,vol_after_mm3,vol_drift_pct,mass_added_g,cad_dev_rms_before,cad_dev_rms_after,cad_removed_pct,active_first,active_last,converged,inward_vertices,worst_inward_mm,max_outward_mm,c1_clamped,min_section_mm2,min_section_fine_mm2,worst_aspect_before,worst_aspect_after
0.52,Close_r1.00_COUPLED,40,3.74972,0.0179064,9.38759e-05,1,0,8.54775,8.54777,403600,403600,2.68952e-06,1.34601e-05,0.345949,0.345949,0,120,120,0,0,0,0.0179064,0,84.3313,141.037,3592.91,3592.91
0.52,Close_r1.71_expl_C1on,40,3.80138,0.738408,0.112307,2558,0,8.54775,12.1239,403600,404084,0.120014,0.600625,0.345949,0.345949,0,1345,2442,0,0,0,0.42632,84473,84.3313,141.037,3592.91,3592.91
0.52,Close_r1.71_expl_C1off,40,4.0227,9.92905,1.56861,7695,0,8.54775,28.7073,403600,435599,7.92853,39.6794,0.345949,0.345949,0,1345,6226,0,1390,-5.80713,9.84543,0,14.5399,18.9019,3592.91,3592.91
0.52,Close_r1.71_expl_dt.025,40,3.76686,0.738408,0.105119,2333,0,8.54775,11.7011,403600,404027,0.10591,0.530041,0.345949,0.345949,0,1345,2245,0,0,0,0.42632,52032,84.3313,141.037,3592.91,3592.91
0.52,Close_r1.71_COUPLED,40,3.90532,0.26339,0.00237025,40,0,8.54775,8.5539,403600,403601,0.000251535,0.00125884,0.345949,0.345949,0,1345,1347,0,0,0,0.26339,0,84.3313,141.037,3592.91,3592.91
0.52,Close_r3.41_expl_C1on,40,3.85351,0.686983,0.158084,6971,0,8.54775,14.8173,403600,404713,0.275878,1.38067,0.345949,0.345949,0,4700,4772,0,0,0,0.42632,145985,84.3313,141.037,3592.91,3592.91
0.52,Close_r3.41_expl_C1off,40,3.7502,12.2434,1.97796,13524,0,8.54775,33.6916,403600,466936,15.6928,78.5366,0.345949,0.345949,0,4700,11222,0,2504,-6.18491,12.1588,0,34.8957,26.1718,3592.91,3592.91
0.52,Close_r3.41_expl_dt.025,40,3.76686,0.537974,0.132466,5992,0,8.54775,13.198,403600,404365,0.189579,0.948773,0.345949,0.345949,0,4700,3744,0,0,0,0.42632,74118,84.3313,141.037,3592.91,3592.91
0.52,Close_r3.41_COUPLED,40,3.75865,0.350895,0.00913777,432,0,8.54775,8.6283,403600,403611,0.00283644,0.0141953,0.345949,0.345949,0,4700,4690,0,0,0,0.349315,0,84.3313,141.037,3592.91,3592.91
0.52,Taubin_pairs_20,20,0.0340405,0.487745,0.131867,35103,0,8.54775,8.45446,403600,403578,-0.00528436,-0.0264463,0.345949,0.345949,0,0,0,1,0,0,0,0,84.3313,141.037,0,0
