posture,recycling,ad,draft,geneo,cg_total,outer_iters,jacobi_solves,solves_total,solves_recycled,rc_frac,max_recycle_dim,setup_mv,geneo_deflated_steps,max_geneo_dim,geneo_builds,geneo_refreshes,geneo_armed_solves,basis_mb,ad_band,ad_latched,ad_latch_iter,ad_escapes,ad_fbar,draft_gap,compliance,margin,wall_s
none,0,0,0,0,13079,12,2,12,0,0.0000,0,0,0,0,0,0,0,0.00,0,0,0,0,1.0000,-1.000000,2284282.795,0.828231,103.53
rec,1,0,0,0,15349,12,2,12,1,0.5000,16,16,0,0,0,0,0,0.00,0,0,0,0,1.0000,-1.000000,2284282.5,0.828231,119.14
rec+AD,1,1,0,0,19329,12,2,12,1,0.5000,15,15,0,0,0,0,0,0.00,4,1,3,1008,0.9427,-1.000000,10234250.34,2.05002,130.61
rec+AD+draft,1,1,1,0,947,12,0,12,0,0.0000,0,0,0,0,0,0,0,0.00,4,1,3,1008,0.9427,0.792399,10234251.13,2.05002,23.50
rec+AD+draft+GE,1,1,1,1,947,12,0,12,0,0.0000,0,0,0,0,0,0,0,0.00,4,1,3,1008,0.9427,0.792399,10234251.13,2.05002,29.23
GenEO alone,0,0,0,1,3100,12,2,12,0,0.0000,0,0,2,878,1,1,2,36.06,0,0,0,0,1.0000,-1.000000,2284261.152,0.828241,118.41
GenEO+rec,1,0,0,1,3014,12,2,12,1,0.5000,10,10,2,878,1,1,2,36.06,0,0,0,0,1.0000,-1.000000,2284263.253,0.828241,99.60
rec+AD+GenEO,1,1,0,1,4639,12,2,12,1,0.5000,8,8,2,864,1,1,2,35.43,4,1,3,1008,0.9427,-1.000000,10234251.15,2.05002,118.50
rec+AD+draft+GE#2,1,1,1,1,947,12,0,12,0,0.0000,0,0,0,0,0,0,0,0.00,4,1,3,1008,0.9427,0.792399,10234251.13,2.05002,23.37
