iter,ng,jacobi_cg,twolevel_cg,ratio,jac_wall_s,tl_wall_s,jac_res,tl_res,Nt,build_s
0,156198,754,249,3.028,20.536,2.476,9.31e-09,3.64e-09,595,19.107
1,156198,118,117,1.009,5.825,1.056,9.20e-09,9.16e-09,588,20.373
2,156198,129,129,1.000,8.690,1.032,8.73e-09,8.39e-09,588,13.977
