iter,cg_iters,geneo_action,geneo_dim,geneo_burn,geneo_threshold,solve_s,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,recycle_setup_matvecs,compliance
1,491,0,0,0,0,4.19967,4194.007,0.403,0.000,0.158,0,2.466881499
2,478,0,0,0,0,5.25105,5245.003,0.395,0.000,0.148,0,4.322980183
3,457,0,0,0,0,3.45065,3440.605,0.394,0.000,0.127,0,4.783532035
4,457,0,0,0,0,2.88632,2880.726,0.395,0.000,0.143,0,4.783532035
