iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,707,0,0,0,0.6857,1.636714518
2,3.0,750,0,0,0,0.7254,0.9998180179
3,3.0,778,0,0,0,0.7363,0.6890077768
4,3.0,849,0,0,0,0.8391,0.5134350909
5,3.0,879,0,0,0,0.9354,0.430169361
6,3.0,866,0,0,0,0.8300,0.388563642
7,3.0,881,0,0,0,0.8487,0.3652796535
8,3.0,897,0,0,0,0.8451,0.3530893668
9,3.0,906,0,0,0,0.8611,0.3457299274
10,3.0,915,0,0,0,0.8828,0.3407520877
