iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,578,0,290,3,4.9391,1.636714518
2,3.0,749,0,290,5,0.9575,0.9998180178
3,3.0,777,0,290,5,0.9417,0.6890077767
4,3.0,850,0,290,5,1.0026,0.5134350909
5,3.0,879,0,290,5,1.0724,0.4301693611
6,3.0,866,0,290,5,1.0415,0.3885636421
7,3.0,881,0,290,5,1.0654,0.3652796536
8,3.0,897,0,290,5,1.1505,0.3530893668
9,3.0,906,0,290,5,1.0945,0.3457299274
10,3.0,914,0,290,5,1.0898,0.3407520877
