iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,578,0,290,3,4.8573,1.636714518
2,3.0,193,0,290,2,1.1750,0.9998180178
3,3.0,210,0,290,2,1.1022,0.6890077768
4,3.0,213,0,290,2,1.1043,0.5134350909
5,3.0,227,0,290,2,1.1450,0.4301693611
6,3.0,241,0,290,2,1.1785,0.3885636421
7,3.0,230,0,290,2,1.1551,0.3652796536
8,3.0,235,0,290,2,1.1742,0.3530893668
9,3.0,245,0,290,2,1.1997,0.3457299274
10,3.0,243,0,290,2,1.2324,0.3407520877
