iter,cg_iters,geneo_action,geneo_dim,geneo_burn,geneo_threshold,solve_s,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,recycle_setup_matvecs,compliance
1,578,3,290,500,0,15.48268,3558.631,11687.291,171.648,59.406,0,0.4091786294
2,172,2,290,0,0,3.19992,799.616,1577.735,334.743,482.601,16,0.5755106541
3,175,3,290,0,0,18.87346,1009.471,16843.289,371.231,643.645,16,0.7193821189
4,175,2,290,0,0,3.55931,908.807,1725.456,360.259,559.094,16,0.5372217867
5,183,2,290,0,0,3.71567,861.394,1876.659,433.893,538.641,16,0.4425677061
6,178,2,290,0,0,3.42964,759.032,1812.097,376.982,476.190,16,0.394078895
