iter,cg_iters,geneo_action,geneo_dim,geneo_burn,geneo_threshold,solve_s,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,recycle_setup_matvecs,compliance
1,491,0,0,0,0,3.92306,3914.791,0.430,0.000,0.185,0,2.466881499
2,478,0,0,0,0,4.23331,4226.522,0.393,0.000,0.481,0,4.322980183
3,457,0,0,0,0,3.27679,3269.731,0.396,0.000,0.167,0,4.783532035
4,457,0,0,0,0,3.04850,3042.484,0.395,0.000,0.492,0,4.783532035
