rung,vf,off_verdict,on_verdict,off_margin,on_margin,margin_rel_delta,off_compliance,on_compliance,mean_abs_drho,max_abs_drho,flip
0,0.6800,ACCEPT,ACCEPT,26.58632812,26.58632812,0.000000e+00,0.3765880463,0.3765880463,0.000000e+00,0.000000e+00,0
1,0.5200,ACCEPT,ACCEPT,12.68121196,12.68121196,0.000000e+00,0.6427862524,0.6427862524,0.000000e+00,0.000000e+00,0
2,0.3800,ACCEPT,ACCEPT,7.207600582,7.080855454,1.758493e-02,1.365190702,1.365388004,3.090625e-04,1.038669e-01,0
3,0.2600,REJECT,REJECT,2.417088539,2.407735878,3.869391e-03,7.615213788,7.615735741,5.412597e-05,1.195546e-02,0
