iter,cg_iters,geneo_action,geneo_dim,geneo_burn,geneo_threshold,solve_s,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,recycle_setup_matvecs,compliance
1,578,3,290,500,0,17.18483,2897.429,13924.680,258.565,98.856,0,0.4091786294
2,520,5,290,520,0,3.90179,2754.334,0.448,0.000,1138.740,16,0.5755106541
3,522,5,290,522,0,4.08700,2866.014,0.419,0.000,1214.416,16,0.719382119
4,520,5,290,520,0,3.62503,2548.750,0.417,0.000,1068.949,16,0.5372217869
5,499,5,290,499,0,4.14028,2952.479,0.416,0.000,1182.441,16,0.4425677061
6,471,5,290,471,0,3.91491,2737.107,0.416,0.000,1170.883,16,0.3940788949
