strategy,phase,iter,compliance,vol_frac,cg_iters,n_void,n_lower_gap,n_band,n_upper_gap,n_solid,change
simp,0,68,2.05764987e+02,0.35000,458,2608,596,2544,508,656,0.02850
simp,0,69,2.05753648e+02,0.35000,457,2608,596,2544,508,656,0.02916
simp,0,70,2.05742504e+02,0.35000,457,2608,596,2544,508,656,0.02971
simp,0,71,2.05731519e+02,0.35000,456,2608,596,2544,508,656,0.03013
simp,0,72,2.05720672e+02,0.35000,453,2608,600,2540,508,656,0.03041
simp,0,73,2.05709933e+02,0.35000,452,2608,600,2540,508,656,0.03125
simp,0,74,2.05699473e+02,0.35000,456,2608,592,2544,512,656,0.03110
simp,0,75,2.05689081e+02,0.35000,457,2608,592,2544,512,656,0.03088
simp,0,76,2.05678741e+02,0.35000,457,2612,588,2544,512,656,0.03052
simp,0,77,2.05668430e+02,0.35000,457,2612,588,2544,512,656,0.03002
simp,0,78,2.05658115e+02,0.35000,457,2612,588,2544,512,656,0.02939
simp,0,79,2.05647778e+02,0.35000,457,2612,588,2544,512,656,0.02864
simp,0,80,2.05637408e+02,0.35000,457,2616,580,2544,516,656,0.02851
simp,0,81,2.05626986e+02,0.35000,457,2612,584,2544,516,656,0.03033
simp,0,82,2.05616497e+02,0.35000,456,2612,584,2544,512,660,0.03220
simp,0,83,2.05605925e+02,0.35000,456,2612,584,2544,512,660,0.03494
simp,0,84,2.05595734e+02,0.35000,455,2612,580,2548,512,660,0.03715
simp,0,85,2.05585475e+02,0.35000,455,2612,580,2548,512,660,0.03938
simp,0,86,2.05575088e+02,0.35000,454,2612,580,2548,512,660,0.04217
simp,0,87,2.05564783e+02,0.35000,454,2616,576,2544,516,660,0.04474
simp,0,88,2.05554463e+02,0.35000,454,2616,576,2548,512,660,0.04703
simp,0,89,2.05544049e+02,0.35000,455,2616,576,2548,512,660,0.04923
simp,0,90,2.05533549e+02,0.35000,454,2616,576,2552,504,664,0.05130
simp,0,91,2.05522995e+02,0.35000,454,2616,572,2556,504,664,0.05318
simp,0,92,2.05512410e+02,0.35000,454,2616,572,2556,504,664,0.05482
simp,0,93,2.05501823e+02,0.35000,454,2616,572,2552,508,664,0.03565
simp,0,94,2.05492281e+02,0.35000,454,2616,572,2552,508,664,0.03767
simp,0,95,2.05484501e+02,0.35000,454,2616,568,2560,504,664,0.03828
simp,0,96,2.05476746e+02,0.35000,453,2616,568,2560,504,664,0.03924
simp,0,97,2.05469093e+02,0.35000,453,2616,568,2556,516,656,0.03935
simp,0,98,2.05461444e+02,0.35000,453,2616,564,2560,516,656,0.03919
simp,0,99,2.05453782e+02,0.35000,453,2616,564,2560,516,656,0.03879
simp,0,100,2.05446092e+02,0.35000,453,2616,568,2552,520,656,0.03817
simp,0,101,2.05438354e+02,0.35000,453,2616,568,2552,520,656,0.03735
simp,0,102,2.05430559e+02,0.35000,452,2624,560,2552,520,656,0.03635
simp,0,103,2.05422688e+02,0.35000,452,2628,556,2552,520,656,0.02841
simp,0,104,2.05414937e+02,0.35000,452,2628,552,2556,520,656,0.02519
simp,0,105,2.05407900e+02,0.35000,452,2632,548,2560,516,656,0.02698
simp,0,106,2.05400714e+02,0.35000,452,2636,544,2560,516,656,0.02878
simp,0,107,2.05393383e+02,0.35000,452,2636,548,2556,516,656,0.03055
simp,0,108,2.05385912e+02,0.35000,452,2636,548,2556,516,656,0.03227
simp,0,109,2.05378326e+02,0.35000,452,2636,548,2556,516,656,0.03388
simp,0,110,2.05370645e+02,0.35000,452,2636,548,2556,516,656,0.03533
simp,0,111,2.05362889e+02,0.35000,452,2636,548,2552,520,656,0.03656
simp,0,112,2.05355108e+02,0.35000,452,2636,552,2548,520,656,0.03752
simp,0,113,2.05347338e+02,0.35000,451,2636,552,2548,520,656,0.03818
simp,0,114,2.05339622e+02,0.35000,451,2636,552,2548,520,656,0.03850
simp,0,115,2.05332010e+02,0.35000,452,2636,556,2548,516,656,0.03846
simp,0,116,2.05324536e+02,0.35000,452,2636,556,2552,512,656,0.03807
simp,0,117,2.05317249e+02,0.35000,452,2636,556,2552,512,656,0.03735
simp,0,118,2.05310179e+02,0.35000,452,2636,556,2552,512,656,0.03638
simp,0,119,2.05303342e+02,0.35000,452,2636,556,2552,512,656,0.03514
s0_plain,0,0,6.59056214e+02,0.35000,207,0,0,6912,0,0,0.20000
s0_plain,0,1,4.04171367e+02,0.35000,213,0,0,6912,0,0,0.20000
s0_plain,0,2,3.17766427e+02,0.35000,220,0,120,6792,0,0,0.20000
s0_plain,0,3,2.70560235e+02,0.35000,238,0,240,6152,520,0,0.20000
s0_plain,0,4,2.54951824e+02,0.35000,249,12,328,5904,448,220,0.20000
s0_plain,0,5,2.48799399e+02,0.35000,262,36,288,5876,408,304,0.20000
s0_plain,0,6,2.44216833e+02,0.35000,270,72,304,5804,372,360,0.18422
s0_plain,0,7,2.40101250e+02,0.35000,276,120,308,5752,348,384,0.16958
s0_plain,0,8,2.36199311e+02,0.35000,281,180,316,5700,308,408,0.17133
s0_plain,0,9,2.32646461e+02,0.35000,284,252,304,5640,292,424,0.15615
s0_plain,0,10,2.29861185e+02,0.35000,290,332,296,5556,292,436,0.14463
s0_plain,0,11,2.27867894e+02,0.35000,291,368,308,5484,292,460,0.13412
s0_plain,0,12,2.26484043e+02,0.35000,292,416,276,5464,292,464,0.11611
s0_plain,0,13,2.25421046e+02,0.35000,290,456,272,5436,284,464,0.13866
s0_plain,0,14,2.24517889e+02,0.35000,291,480,272,5412,284,464,0.11332
s0_plain,0,15,2.23702245e+02,0.35000,292,508,268,5396,272,468,0.12277
s0_plain,0,16,2.22848793e+02,0.35000,293,512,304,5356,272,468,0.12925
s0_plain,0,17,2.21844307e+02,0.35000,296,524,324,5312,284,468,0.17405
s0_plain,0,18,2.20489854e+02,0.35000,297,528,388,5240,288,468,0.18812
s0_plain,0,19,2.18630223e+02,0.35000,300,536,448,5160,292,476,0.20000
s0_plain,0,20,2.16069073e+02,0.35000,301,548,540,5056,292,476,0.20000
s0_plain,0,21,2.12778924e+02,0.35000,305,552,672,4904,312,472,0.20000
s0_plain,0,22,2.09802602e+02,0.35000,307,552,740,4800,352,468,0.18711
s0_plain,0,23,2.07475107e+02,0.35000,315,556,808,4724,344,480,0.18766
s0_plain,0,24,2.05488505e+02,0.35000,319,560,872,4636,360,484,0.17594
s0_plain,0,25,2.03782949e+02,0.35000,323,560,944,4536,384,488,0.19698
s0_plain,0,26,2.02301550e+02,0.35000,331,568,972,4492,376,504,0.13130
s0_plain,0,27,2.00991452e+02,0.35000,334,572,1076,4376,376,512,0.16590
s0_plain,0,28,1.99721355e+02,0.35000,337,576,1156,4284,376,520,0.13678
s0_plain,0,29,1.98481033e+02,0.35000,343,580,1208,4216,396,512,0.11918
s0_plain,0,30,1.97233892e+02,0.35000,337,588,1252,4156,396,520,0.13696
s0_plain,0,31,1.96011960e+02,0.35000,344,588,1296,4104,400,524,0.12699
s0_plain,0,32,1.94865520e+02,0.35000,343,608,1360,4020,392,532,0.12771
s0_plain,0,33,1.93852497e+02,0.35000,344,644,1428,3912,396,532,0.11075
s0_plain,0,34,1.92974456e+02,0.35000,344,860,1248,3860,412,532,0.09670
s0_plain,0,35,1.92212444e+02,0.35000,352,1168,972,3820,420,532,0.09825
s0_plain,0,36,1.91537423e+02,0.35000,355,1236,924,3804,412,536,0.09801
s0_plain,0,37,1.90931369e+02,0.35000,358,1260,928,3784,408,532,0.10916
s0_plain,0,38,1.90412138e+02,0.35000,358,1300,916,3752,416,528,0.11826
s0_plain,0,39,1.89971987e+02,0.35000,359,1336,904,3724,420,528,0.08196
s0_plain,0,40,1.89601258e+02,0.35000,359,1412,848,3700,428,524,0.08796
s0_plain,0,41,1.89274680e+02,0.35000,362,1452,832,3672,424,532,0.09693
s0_plain,0,42,1.88993658e+02,0.35000,362,1504,804,3656,416,532,0.10546
s0_plain,0,43,1.88743731e+02,0.35000,364,1560,776,3628,416,532,0.07795
s0_plain,0,44,1.88528725e+02,0.35000,364,1612,732,3612,424,532,0.08273
s0_plain,0,45,1.88339291e+02,0.35000,361,1644,720,3592,424,532,0.08620
s0_plain,0,46,1.88166553e+02,0.35000,361,1672,716,3564,428,532,0.07605
s0_plain,0,47,1.88014506e+02,0.35000,361,1688,724,3548,420,532,0.08074
s0_plain,0,48,1.87874933e+02,0.35000,361,1704,716,3536,424,532,0.08480
s0_plain,0,49,1.87743887e+02,0.35000,361,1720,736,3504,424,528,0.05140
s0_plain,0,50,1.87625649e+02,0.35000,362,1736,732,3492,424,528,0.05399
s0_plain,0,51,1.87517864e+02,0.35000,361,1760,728,3472,428,524,0.05604
s0_plain,0,52,1.87416394e+02,0.35000,361,1772,720,3472,424,524,0.05794
s0_plain,0,53,1.87320145e+02,0.35000,361,1784,708,3480,416,524,0.05962
s0_plain,0,54,1.87228211e+02,0.35000,349,1812,676,3484,416,524,0.06112
s0_plain,0,55,1.87140036e+02,0.35000,350,1824,664,3480,420,524,0.06253
s0_plain,0,56,1.87055274e+02,0.35000,361,1840,648,3476,424,524,0.05658
s0_plain,0,57,1.86975944e+02,0.35000,364,1860,632,3472,424,524,0.05563
s0_plain,0,58,1.86900558e+02,0.35000,365,1868,628,3460,432,524,0.05367
s0_plain,0,59,1.86827741e+02,0.35000,366,1872,632,3452,436,520,0.05077
s0_plain,0,60,1.86756839e+02,0.35000,366,1888,620,3448,436,520,0.05024
s0_plain,0,61,1.86689085e+02,0.35000,368,1904,612,3436,448,512,0.05508
s0_plain,0,62,1.86622789e+02,0.35000,367,1912,604,3428,456,512,0.06010
s0_plain,0,63,1.86558140e+02,0.35000,368,1924,592,3428,456,512,0.06549
s0_plain,0,64,1.86496213e+02,0.35000,367,1936,580,3432,452,512,0.06984
s0_plain,0,65,1.86434429e+02,0.35000,368,1948,568,3428,456,512,0.07440
s0_plain,0,66,1.86373220e+02,0.35000,368,1952,564,3432,452,512,0.07870
s0_plain,0,67,1.86311936e+02,0.35000,367,1956,564,3424,456,512,0.06027
s0_plain,0,68,1.86252830e+02,0.35000,368,1964,556,3420,460,512,0.06535
s0_plain,0,69,1.86196492e+02,0.35000,368,1976,548,3416,464,508,0.06980
s0_plain,0,70,1.86140678e+02,0.35000,368,1984,540,3420,460,508,0.07365
s0_plain,0,71,1.86084919e+02,0.35000,367,1988,536,3420,460,508,0.07767
s0_plain,0,72,1.86030402e+02,0.35000,367,1992,536,3420,456,508,0.08126
s0_plain,0,73,1.85978567e+02,0.35000,368,2000,528,3420,456,508,0.08097
s0_plain,0,74,1.85935153e+02,0.35000,367,2008,524,3416,456,508,0.07270
s0_plain,0,75,1.85899782e+02,0.35000,366,2012,524,3416,452,508,0.07369
s0_plain,0,76,1.85865947e+02,0.35000,367,2012,524,3416,452,508,0.07382
s0_plain,0,77,1.85833290e+02,0.35000,366,2020,520,3412,452,508,0.03734
s0_plain,0,78,1.85803941e+02,0.35000,366,2028,516,3408,452,508,0.03860
s0_plain,0,79,1.85777337e+02,0.35000,365,2036,512,3408,448,508,0.04103
s0_plain,0,80,1.85751686e+02,0.35000,366,2044,508,3400,456,504,0.04378
s0_plain,0,81,1.85727252e+02,0.35000,365,2048,520,3388,448,508,0.04653
s0_plain,0,82,1.85703757e+02,0.35000,365,2052,520,3384,452,504,0.03564
s0_plain,0,83,1.85684056e+02,0.35000,366,2052,532,3368,452,508,0.03668
s0_plain,0,84,1.85666025e+02,0.35000,365,2060,532,3360,448,512,0.03201
s0_plain,0,85,1.85648855e+02,0.35000,365,2064,528,3356,452,512,0.03113
s0_plain,0,86,1.85633340e+02,0.35000,365,2068,532,3348,452,512,0.03241
s0_plain,0,87,1.85618656e+02,0.35000,364,2072,528,3348,452,512,0.03354
s0_plain,0,88,1.85604633e+02,0.35000,365,2076,524,3348,452,512,0.03455
s0_plain,0,89,1.85591208e+02,0.35000,366,2084,524,3344,448,512,0.03546
s0_plain,0,90,1.85578305e+02,0.35000,364,2084,528,3340,448,512,0.03625
s0_plain,0,91,1.85565859e+02,0.35000,364,2092,520,3340,452,508,0.03696
s0_plain,0,92,1.85553846e+02,0.35000,365,2092,520,3340,452,508,0.03776
s0_plain,0,93,1.85542553e+02,0.35000,364,2092,524,3336,452,508,0.03816
s0_plain,0,94,1.85531647e+02,0.35000,364,2096,520,3336,456,504,0.03839
s0_plain,0,95,1.85521078e+02,0.35000,365,2100,516,3336,456,504,0.03847
s0_plain,0,96,1.85510802e+02,0.35000,363,2100,516,3336,456,504,0.03585
s0_plain,0,97,1.85501636e+02,0.35000,365,2100,516,3336,456,504,0.03544
s0_plain,0,98,1.85493092e+02,0.35000,365,2100,516,3336,456,504,0.03460
s0_plain,0,99,1.85484798e+02,0.35000,365,2100,516,3340,452,504,0.03372
s0_plain,0,100,1.85476791e+02,0.35000,363,2100,520,3340,444,508,0.02373
s0_plain,0,101,1.85469191e+02,0.35000,364,2104,516,3340,432,520,0.01802
s0_plain,0,102,1.85462408e+02,0.35000,363,2108,512,3340,432,520,0.01786
s0_plain,0,103,1.85455777e+02,0.35000,363,2108,512,3340,432,520,0.01760
s0_plain,0,104,1.85449307e+02,0.35000,363,2112,512,3336,432,520,0.01716
s0_plain,0,105,1.85442907e+02,0.35000,363,2112,516,3332,432,520,0.01671
s0_plain,0,106,1.85436543e+02,0.35000,363,2112,516,3332,432,520,0.01626
s0_plain,0,107,1.85430224e+02,0.35000,364,2112,516,3332,432,520,0.01582
s0_plain,0,108,1.85423900e+02,0.35000,362,2112,520,3332,428,520,0.01645
s0_plain,0,109,1.85417588e+02,0.35000,363,2116,516,3328,432,520,0.01737
s0_plain,0,110,1.85411277e+02,0.35000,363,2116,520,3324,432,520,0.01833
s0_plain,0,111,1.85404928e+02,0.35000,363,2116,520,3324,432,520,0.01930
s0_plain,0,112,1.85398552e+02,0.35000,363,2116,520,3324,432,520,0.02030
s0_plain,0,113,1.85392139e+02,0.35000,362,2116,520,3332,416,528,0.02131
s0_plain,0,114,1.85385681e+02,0.35000,362,2116,524,3328,416,528,0.02233
s0_plain,0,115,1.85379154e+02,0.35000,362,2112,532,3324,412,532,0.02341
s0_plain,0,116,1.85372648e+02,0.35000,363,2112,532,3324,412,532,0.02450
s0_plain,0,117,1.85366141e+02,0.35000,363,2112,532,3324,412,532,0.02554
s0_plain,0,118,1.85359579e+02,0.35000,363,2112,532,3324,412,532,0.02654
s0_plain,0,119,1.85352975e+02,0.35000,363,2120,524,3324,412,532,0.02750
s2_gappen,0,0,6.59056214e+02,0.35000,207,0,0,6912,0,0,0.20000
s2_gappen,0,1,4.04171367e+02,0.35000,213,0,0,6912,0,0,0.20000
s2_gappen,0,2,3.17798137e+02,0.35000,219,0,120,6792,0,0,0.20000
s2_gappen,0,3,2.76575230e+02,0.35000,237,0,240,6152,520,0,0.20000
s2_gappen,0,4,2.62441736e+02,0.35000,249,12,192,6240,384,84,0.20000
s2_gappen,0,5,2.54292560e+02,0.35000,256,36,264,6024,432,156,0.20000
s2_gappen,0,6,2.47764568e+02,0.35000,269,72,276,5872,472,220,0.20000
