strategy,bin_lo,bin_hi,count
s0_plain,0.92,0.93,28
s0_plain,0.93,0.94,12
s0_plain,0.94,0.95,24
s0_plain,0.95,0.96,40
s0_plain,0.96,0.97,80
s0_plain,0.97,0.98,48
s0_plain,0.98,0.99,104
s0_plain,0.99,1.00,584
s2_gappen,0.00,0.01,2168
s2_gappen,0.01,0.02,108
s2_gappen,0.02,0.03,20
s2_gappen,0.03,0.04,62
s2_gappen,0.04,0.05,77
s2_gappen,0.05,0.06,272
s2_gappen,0.06,0.07,80
s2_gappen,0.07,0.08,47
s2_gappen,0.08,0.09,49
s2_gappen,0.09,0.10,22
s2_gappen,0.10,0.11,31
s2_gappen,0.11,0.12,31
s2_gappen,0.12,0.13,65
s2_gappen,0.13,0.14,86
s2_gappen,0.14,0.15,114
s2_gappen,0.15,0.16,452
s2_gappen,0.16,0.17,67
s2_gappen,0.17,0.18,51
s2_gappen,0.18,0.19,52
s2_gappen,0.19,0.20,22
s2_gappen,0.20,0.21,24
s2_gappen,0.21,0.22,24
s2_gappen,0.22,0.23,17
s2_gappen,0.23,0.24,17
s2_gappen,0.24,0.25,22
s2_gappen,0.25,0.26,40
s2_gappen,0.26,0.27,39
s2_gappen,0.27,0.28,73
s2_gappen,0.28,0.29,36
s2_gappen,0.29,0.30,26
s2_gappen,0.30,0.31,34
s2_gappen,0.31,0.32,24
s2_gappen,0.32,0.33,30
s2_gappen,0.33,0.34,24
s2_gappen,0.34,0.35,6
s2_gappen,0.35,0.36,24
s2_gappen,0.36,0.37,25
s2_gappen,0.37,0.38,19
s2_gappen,0.38,0.39,14
s2_gappen,0.39,0.40,2
s2_gappen,0.40,0.41,16
s2_gappen,0.41,0.42,16
s2_gappen,0.42,0.43,20
s2_gappen,0.43,0.44,20
s2_gappen,0.44,0.45,30
s2_gappen,0.45,0.46,6
s2_gappen,0.46,0.47,16
s2_gappen,0.47,0.48,18
s2_gappen,0.48,0.49,20
s2_gappen,0.49,0.50,10
s2_gappen,0.50,0.51,19
s2_gappen,0.51,0.52,13
s2_gappen,0.52,0.53,4
s2_gappen,0.53,0.54,4
s2_gappen,0.54,0.55,4
s2_gappen,0.55,0.56,8
s2_gappen,0.56,0.57,5
s2_gappen,0.57,0.58,7
s2_gappen,0.58,0.59,13
s2_gappen,0.59,0.60,11
s2_gappen,0.60,0.61,0
s2_gappen,0.61,0.62,22
s2_gappen,0.62,0.63,20
s2_gappen,0.63,0.64,16
s2_gappen,0.64,0.65,16
s2_gappen,0.65,0.66,40
s2_gappen,0.66,0.67,12
