iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.72151509651e-10,3.21882058996e-11,1172,1,0,104936.272542,15.2084159851,57176,0,0,0.411893631312,0.999666124678,0,0.1,0,0,78635.5391012,1,1,0,128215.518843,105.172117459
2,0.00453695683497,75415,75415,0.680002524706,-0.0049312210267,0.0483362901927,2.43312214013e-10,3.19988284323e-11,2270,1,0,22944.2029171,12.3531250954,58187,0,0,0.411092549561,0.999775137994,0,0.1,0,0,78565.4935186,1,1,0,120976.449253,23.105748083
3,0.00451180666946,75414,75414,0.679993507899,-0.00946541143469,0.0483362901927,2.56642648965e-10,3.13130657573e-11,2265,1,0,22988.9629998,11.8599581718,58270,0,0,0.405755056777,0.999405909031,0,0.1,0,0,78493.731899,1,1,0,114131.074753,23.1795609584
4,0.00449526001684,75415,75415,0.680002524706,-0.00984693224708,0.0483362901927,2.76302425453e-10,3.08497051717e-11,2259,1,0,16331.3318329,12.0580420494,58818,0,0,0.399824531014,0.999792128373,0,0.1,0,0,78131.7410416,1,1,0,107601.742825,16.4819430001
5,0.00448179110767,75414,75414,0.679993507899,-0.00986107655977,0.0483362901927,2.81998553843e-10,3.05095749919e-11,2252,1,0,16184.4617081,12.5502500534,59997,0,0,0.354793396092,0.999880693718,0,0.1,0,0,77525.0512452,1,1,0,101489.089841,32.696320625
6,0.0047999441533,75414,75414,0.679993507899,0.000240561507245,0.0483362901927,4.97130885229e-10,3.44988669934e-11,2369,1,0,17064.3360829,11.7152090073,57164,0,0,0.353871654945,0.999880693718,0,0.1,0,0,77014.1424128,1,1,0,125023.271438,17.2203707923
7,0.00479468713427,75415,75415,0.680002524706,-0.00533814638653,0.0483362901927,4.76368397015e-10,3.43510448579e-11,2368,1,0,16954.8543329,11.8027076721,57642,0,0,0.353513932106,0.999880693718,0,0.1,0,0,76682.9931604,1,1,0,118734.08704,17.1105905827
8,0.00473647473074,75414,75414,0.679993507899,-0.010276461322,0.0483362901927,4.33063160166e-10,3.35813528516e-11,2358,1,0,17188.8471251,12.7256669998,58537,0,0,0.353675238781,0.999880693718,0,0.1,0,0,76347.4568948,1,1,0,112936.760804,17.4374335422
9,0.00472449523854,75414,75414,0.679993507899,-0.00582776318962,0.0483362901927,4.13757547229e-10,3.34684304929e-11,2359,1,0,16992.2645421,11.9024996758,59253,0,0,0.354380098419,0.999880693718,0,0.1,0,0,76145.9577977,1,1,0,107428.861874,17.150647792
10,0.00472037598734,75414,75414,0.679993507899,-0.00430705572882,0.0483362901927,4.02518279176e-10,3.3521905691e-11,2360,1,0,16856.0177503,11.7977910042,59914,0,0,0.343314996074,0.999875702195,0,0.1,0,0,75854.1885494,1,1,0,102148.342341,33.3958541658
11,0.00499904344265,75415,75415,0.680002524706,0.00668050786628,0.0483362901927,6.01329537544e-10,3.81054083483e-11,2616,1,0,18868.646666,12.8154997826,56162,0,0,0.343756019941,0.999875702195,0,0.1,0,0,74522.8951984,1,1,0,119945.580838,19.0820919583
12,0.00494573897635,75415,75415,0.680002524706,-0.0053980162167,0.0483362901927,5.57015133502e-10,3.76087750244e-11,2316,1,0,16978.5031252,11.8167500496,57197,0,0,0.344317268262,0.999875702195,0,0.1,0,0,74713.9361024,1,1,0,114186.203006,17.139412791
13,0.0048920154133,75415,75415,0.680002524706,-0.0049316030603,0.0483362901927,4.82665319205e-10,3.72666281721e-11,2328,1,0,17332.8146672,11.8407077789,57957,0,0,0.345166485334,0.999875702195,0,0.1,0,0,74946.4359329,1,1,0,108775.898979,17.4946561251
14,0.00480927295757,75415,75415,0.680002524706,-0.00564024689681,0.0483362901927,4.25354831234e-10,3.64406086939e-11,2335,1,0,17282.8823342,13.0004577637,58551,0,0,0.346526273701,0.999875702195,0,0.1,0,0,75166.4336073,1,1,0,103633.352947,17.5208816668
15,0.00473161433717,75414,75414,0.679993507899,-0.00456623101766,0.0483362901927,4.87074629573e-10,3.57240677657e-11,2345,1,0,17355.3553329,12.400416851,58987,0,0,0.33904262691,0.999742088241,0,0.1,0,0,75355.4318777,1,1,0,98752.4618629,33.7533900836
16,0.00484112058881,75414,75414,0.679993507899,0.000927031653525,0.0483362901927,4.88499574629e-10,3.82749199295e-11,2496,1,0,18478.3635001,11.9837498665,55984,0,0,0.340179229713,0.999742088241,0,0.1,0,0,74169.9138049,1,1,0,116743.901248,18.653895916
17,0.00471751813816,75415,75415,0.680002524706,-0.00818099902578,0.0483362901927,4.64138925592e-10,3.62088549058e-11,2476,1,0,18176.2573752,11.9879159927,56823,0,0,0.341376983751,0.999742088241,0,0.1,0,0,74740.7398726,1,1,0,111433.830459,18.3568155831
18,0.00460667307596,75415,75415,0.680002524706,-0.00703621542165,0.0483362901927,5.40711496504e-10,3.46212421152e-11,2455,1,0,18047.4961247,11.9178752899,57466,0,0,0.343077554737,0.999742088241,0,0.1,0,0,75272.9803771,1,1,0,106491.428015,18.2107577501
19,0.00444569210973,75414,75414,0.679993507899,-0.0120520494362,0.0483362901927,5.88749176211e-10,3.22375901016e-11,2414,1,0,17880.9405828,11.8735842705,58329,0,0,0.343720469364,0.999742088241,0,0.1,0,0,75545.6771846,1,1,0,101860.659921,18.0471139578
20,0.00432576385021,75415,75415,0.680002524706,-0.00885646083448,0.0483362901927,6.54016033261e-10,3.06160869844e-11,2377,1,0,17817.7651668,12.4777083397,59014,0,0,0.335957762398,0.999720735882,0,0.1,0,0,75584.8165057,1,1,0,97507.6398314,34.3221768341
21,0.00435156632817,75414,75414,0.679993507899,-0.00247055332088,0.0483362901927,6.59845367739e-10,3.19199812989e-11,2487,1,0,18478.0644169,11.7696251869,55527,0,0,0.337838009195,0.999720735881,0,0.1,0,0,74726.306597,1,1,0,115304.978602,18.6431925418
22,0.00420456960012,75415,75415,0.680002524706,-0.013290007682,0.0483362901927,6.04786339824e-10,2.95380189529e-11,2440,1,0,18156.8261666,12.681499958,56279,0,0,0.340257480493,0.999720735881,0,0.1,0,0,74829.624245,1,1,0,110305.233639,18.3805207503
23,0.00403671058658,75414,75414,0.679993507899,-0.0172235927218,0.0483362901927,5.46559154367e-10,2.68222705392e-11,2387,1,0,17552.9265828,11.892416954,56812,0,0,0.347116681946,0.999720735881,0,0.1,0,0,74650.621555,1,1,0,105621.15806,17.7180810831
24,0.00388001011383,75414,75414,0.679993507899,-0.0181680604973,0.0483362901927,5.43249843389e-10,2.43870753803e-11,2348,1,0,17258.4240003,11.912791729,57472,0,0,0.350235103815,0.999720735881,0,0.1,0,0,74223.9118343,1,1,0,101219.353341,17.424870166
25,0.00374492671791,75415,75415,0.680002524706,-0.0163776197064,0.0483362901927,5.78921814407e-10,2.24296004656e-11,2317,1,0,16997.5370827,12.4590420723,57769,0,0,0.356398690937,0.999604825206,0,0.1,0,0,73425.3225777,1,1,0,97085.8989885,33.5003193752
26,0.00369339955563,75414,75414,0.679993507899,-0.00878593376758,0.0483362901927,4.63544523322e-10,2.22837930457e-11,2374,1,0,17609.087625,12.4757089615,52074,0,0,0.354450153526,0.999604825207,0,0.1,0,0,71171.5105989,1,1,0,116060.837252,17.8263204168
27,0.00360967678589,75414,75414,0.679993507899,-0.0148102629279,0.0483362901927,4.12064970606e-10,2.12517229955e-11,2245,1,0,16636.1098752,12.8430409431,52483,0,0,0.328184065394,0.999604825207,0,0.1,0,0,70315.1021522,1,1,0,111112.905676,16.8156566671
