rung,freed_mass_return,mass_g,net_dmass_g,margin_effective,dmargin_pct,iterations,accepted
0.68,CONTROL,543.7238771,0,673.8561728,0,27,1
0.68,0,372.8836223,-170.8402548,146.8774586,-78.20344096,94,1
0.68,0.5,458.0111143,-85.71276279,146.6426573,-78.23828537,16,1
0.68,1,511.8952672,-31.8286099,146.6155347,-78.24231036,31,1
