schedule,cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf,mnd,mfv,mnd_proj,mfv_proj,draft,traj_tol
start4,1e-08,0,30,18.436977,0.167161,0.0604623,0.00219484,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67997,0.399235,216,0.399235,216,0,1.00e-08
start4,1e-08,0,31,18.432569,0.132343,0.0564809,0.00149159,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67998,0.398248,216,0.398248,216,0,1.00e-08
start4,1e-08,0,32,18.429869,0.11307,0.0482557,0.00135713,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.397242,216,0.397242,216,0,1.00e-08
start4,1e-08,0,33,18.427842,0.0622924,0.0271836,0.000906052,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.396685,216,0.396685,216,0,1.00e-08
start4,1e-08,0,34,18.42672,0.0634783,0.0278686,0.000908891,0.00297619,2,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.396028,214,0.396028,214,0,1.00e-08
start4,1e-08,0,35,18.425834,0.0641879,0.0283751,0.000948942,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.395253,214,0.395253,214,0,1.00e-08
start4,1e-08,0,36,18.42496,0.0672563,0.0295956,0.00102763,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.394322,214,0.394322,214,0,1.00e-08
start4,1e-08,0,37,18.424035,0.0844552,0.0324049,0.00119364,0.00595238,4,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.393124,210,0.393124,210,0,1.00e-08
start4,1e-08,0,38,18.422927,0.112417,0.0422289,0.00150349,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67999,0.391452,210,0.391452,210,0,1.00e-08
start4,1e-08,0,39,18.421314,0.167781,0.0630098,0.00211435,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67998,0.388788,210,0.388788,210,0,1.00e-08
start4,1e-08,0,40,18.418179,0.1998,0.088287,0.00291745,0.00297619,2,672,31,1,1,2,31,1.0000,0,0,0,0.67996,0.384635,208,0.384635,208,0,1.00e-08
start4,1e-08,0,41,18.411164,0.188925,0.0707539,0.00252873,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67997,0.380634,208,0.380634,208,0,1.00e-08
start4,1e-08,0,42,18.401717,0.149876,0.0542104,0.00158259,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67997,0.378455,208,0.378455,208,0,1.00e-08
start4,1e-08,0,43,18.397721,0.189161,0.0684198,0.00194461,0.00297619,2,672,31,1,1,2,31,1.0000,0,0,0,0.67996,0.375544,202,0.375544,202,0,1.00e-08
start4,1e-08,0,44,18.392559,0.1998,0.0722678,0.00185558,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67996,0.372564,202,0.372564,202,0,1.00e-08
start4,1e-08,0,45,18.385868,0.1998,0.0722678,0.00133914,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.67997,0.370357,202,0.370357,202,0,1.00e-08
start4,1e-08,0,46,18.379176,0.0586227,0.0212039,0.000572193,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.68000,0.369617,202,0.369617,202,0,1.00e-08
start4,1e-08,0,47,18.37618,0.0296873,0.0103376,0.000262526,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.68000,0.369603,202,0.369603,202,0,1.00e-08
start4,1e-08,0,48,18.37591,0.0331092,0.010693,0.000293813,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.68000,0.369582,202,0.369582,202,0,1.00e-08
start4,1e-08,0,49,18.37568,0.0373011,0.0111986,0.000331785,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.68000,0.369547,202,0.369547,202,0,1.00e-08
start4,1e-08,0,50,18.375416,0.0422814,0.0139493,0.000377596,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.68000,0.369488,202,0.369488,202,0,1.00e-08
start4,1e-08,0,51,18.375106,0.0481954,0.017117,0.000434496,0,0,672,31,1,1,2,31,1.0000,0,0,0,0.68000,0.369395,202,0.369395,202,0,1.00e-08
start4,1e-08,0,52,18.374736,0.0551889,0.0207544,0.00050661,0,0,672,30,1,1,2,30,1.0000,0,0,0,0.68000,0.36925,202,0.36925,202,0,1.00e-08
start4,1e-08,0,53,18.374286,0.0640339,0.0248597,0.000591651,0,0,672,30,1,1,2,30,1.0000,0,0,0,0.68000,0.369057,202,0.369057,202,0,1.00e-08
start4,1e-08,0,54,18.373732,0.0742507,0.0297868,0.000701938,0,0,672,30,1,1,2,30,1.0000,0,0,0,0.67999,0.368778,202,0.368778,202,0,1.00e-08
start4,1e-08,0,55,18.373038,0.086019,0.0361393,0.000824852,0,0,672,30,1,1,2,30,1.0000,0,1,0,0.67999,0.368388,202,0.368388,202,0,1.00e-08
start4,1e-08,0,56,18.061327,0.180949,0.269764,0.0914663,0.0297619,20,672,30,1,1,2,30,1.0000,4,0,0,0.63152,0.569067,178,0.358129,178,0,1.00e-08
start4,1e-08,0,57,18.683734,0.121864,0.0897135,0.0272864,0.0119048,8,672,32,1,1,2,32,1.0000,4,0,0,0.63846,0.534885,182,0.31906,182,0,1.00e-08
