iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
1,0.00355591319275,88424,88424,0.797302171247,0.586188644269,0.0483362901927,3.36944843822e-10,1.86127739214e-11,1088,1,0,139190.400292,14.7185001373,30648,0,0,0.159152490526,0.343110057805,0,0.1,0,0,48778.5778099,1,1,0,0,0,236,228,3,11,0,0,0,0,0,0,0,139.495711916
2,0.00343398779134,88423,88423,0.79729315444,-0.0108283014721,0.0483362901927,2.79248331313e-10,1.67395657109e-11,2107,1,0,55134.5709171,14.6750831604,28923,0,0,0.169031026686,0.999073919151,0,0.1,0,0,48514.1246358,1,1,0,0,0,238,226,3,15,0,0,0,0,2,0,0,55.5009203749
3,0.00332185530914,88423,88423,0.79729315444,-0.0118458415349,0.0483362901927,3.71865450489e-10,1.52248252097e-11,2084,1,0,44145.3148332,14.1029996872,28009,0,0,0.177820126206,0.998252463804,0,0.1,0,0,47909.1899523,1,1,0,0,0,241,224,3,20,1,0,0,3,0,0,0,44.399686709
4,0.00328383081739,88424,88424,0.797302171247,0.0240467818083,0.0483362901927,3.87965073892e-10,1.45006720526e-11,2075,1,0,29076.4810829,19.5714173317,32105,0,0,0.183300675684,0.998252463804,0,0.1,0,0,48594.1234129,1,1,0,0,0,236,225,3,14,1,0,0,0,-5,0,0,29.6303877919
5,0.00323360869214,88424,88424,0.797302171247,0.0166017750876,0.0483362901927,3.94301258916e-10,1.38454710788e-11,2076,1,0,27985.0751672,13.669916153,32597,0,0,0.197599705764,0.996842056112,0,0.1,0,0,48874.7881877,1,1,0,0,0,237,227,3,13,2,0,0,2,-1,0,0,44.7431031661
6,0.00312075618456,88424,88424,0.797302171247,-0.0200678850109,0.0483362901927,3.45647062287e-10,1.30581954423e-11,2048,1,0,31810.7414579,16.1050000191,31606,0,0,0.204924594216,0.997273524125,0,0.1,0,0,47117.8629864,1,1,0,0,0,239,230,2,11,3,0,0,3,-1,0,0,32.1769629577
7,0.00301291155337,88423,88423,0.79729315444,-0.0212675271982,0.0483362901927,2.79881369581e-10,1.18497007468e-11,1992,1,0,27004.65025,13.7903747559,31309,0,0,0.207211105875,0.998757262502,0,0.1,0,0,45871.0212514,1,1,0,0,0,235,229,2,8,3,0,0,0,-4,0,0,27.3019575002
8,0.00298303268774,88423,88423,0.79729315444,0.0254536615821,0.0483362901927,2.52927102117e-10,1.12680371511e-11,1973,1,0,42610.6656251,13.3219590187,31837,0,0,0.209928119121,0.996842056112,0,0.1,0,0,46478.6299272,1,1,0,0,0,238,228,1,11,4,0,0,4,-1,0,0,42.8917073752
9,0.00291915178372,88423,88423,0.79729315444,0.0012054106886,0.0483362901927,1.96028985754e-10,1.03599287384e-11,1994,1,0,36451.7483339,19.6698331833,30970,0,0,0.212961886889,0.996454576582,0,0.1,0,0,46216.262433,1,1,0,0,0,241,-38,2,281,5,0,0,3,0,0,0,36.8889670419
10,0.00282696632717,88423,88423,0.79729315444,-0.0249400667833,0.0483362901927,2.37105803172e-10,9.05744393819e-12,2004,1,0,33807.4864593,16.7723326683,30250,0,0,0.191743794352,0.994365995525,0,0.1,0,0,44903.2392884,1,1,0,0,0,241,-50,2,293,6,0,0,1,-1,0,0,55.6096407501
