iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,iteration_wall_s
50,0.00253420666368,75414.72,75225,0.678289331314,-0.013336407669,7.18836625207e+12,2.37227659643e-14,5.89854384386e-12,2675,1,0,21169.2679577,11.656042099,25124,302,9.89951129829e-13,0.177325684561,0.982307721427,6,22.1166908331
51,0.00253376996185,75414.72,75205,0.678108995167,-0.019783586379,6.27102767738e+12,2.71929800084e-14,5.8610438815e-12,2675,1,0,20758.9781661,11.6857089996,25270,301,9.48026355552e-13,0.175959108291,0.985846138558,6,21.6772310841
52,0.0025337460054,75414.72,75255,0.678559835533,0.00074203817257,3.16184978009e+12,5.39329639686e-14,5.89047308538e-12,2675,1,0,19860.875834,11.7195000648,25180,305,9.30430222826e-13,0.17761954464,0.986436613121,6,20.8547076662
53,0.00253317679794,75414.72,75204,0.67809997836,-0.0132912994923,7.18634180717e+12,2.37294488405e-14,5.84467513048e-12,2676,1,0,19935.6523752,11.7346668243,25338,300,9.61898896363e-13,0.177590306401,0.991432516284,6,20.8605392091
54,0.00253268883293,75414.72,75174,0.67782947414,-0.00683720719574,6.58618946809e+12,2.58917437905e-14,5.83166050138e-12,2674,1,0,20007.8109584,11.882958889,25367,302,9.69991200399e-13,0.179522491328,0.970495936019,6,20.9473805418
55,0.00253238901532,75414.72,75176,0.677847507754,-0.0158058420352,6.09866104871e+12,2.79615359669e-14,5.82389072819e-12,2685,1,0,20186.409708,11.7023749352,25531,301,9.56369543866e-13,0.177421754477,0.990777730957,6,21.1110634999
56,0.00253246793155,75414.72,75169,0.677784390103,0.00334523455348,3.00018880778e+12,5.68390662019e-14,5.82532263014e-12,2670,1,0,21700.5325408,11.91183424,25442,303,9.53953774707e-13,0.179005835075,0.972532121676,6,22.6442277501
57,0.00253178174623,75414.72,75117,0.677315516122,-0.00876942643216,7.09278583294e+12,2.40424473937e-14,5.78516617361e-12,2675,1,0,21412.3651671,12.530207634,25541,287,9.32977258663e-13,0.179888956848,0.987327905821,6,22.3204884171
58,0.00253127955447,75414.72,75155,0.677658154801,-0.00970767235015,7.04577432099e+12,2.4202865788e-14,5.79305936537e-12,2675,1,0,21514.7189579,12.0811252594,25583,303,9.97063517509e-13,0.180810702257,0.991555953809,6,22.4516285001
59,0.00253084440312,75414.72,75156,0.677667171608,-0.0146488441799,6.97513860387e+12,2.4447962965e-14,5.74136454276e-12,2675,1,0,20518.4897499,11.8858747482,25720,285,9.38104785886e-13,0.180576147152,0.973563778318,6,21.4061967079
60,0.00253078709154,75414.72,75203,0.678090961552,-0.00400640743536,2.94330939848e+12,5.79374802906e-14,5.80361150408e-12,2675,1,0,19791.7023339,11.742041111,25671,308,9.29547235629e-13,0.181308363884,0.986232108986,6,20.729366167
61,0.00253034663359,75414.72,75147,0.677586020342,-0.00860653833167,6.83984686789e+12,2.49315421174e-14,5.74295365563e-12,2674,1,0,19798.8462501,11.7352499962,25725,299,9.88756370428e-13,0.181819090664,0.977409048371,6,20.7156343749
62,0.00252990768831,75414.72,75141,0.677531919498,-0.00632233485459,8.23215062907e+12,2.07148700197e-14,5.73431483491e-12,2674,1,0,19793.216125,11.5506248474,25781,301,9.5587267978e-13,0.183569260329,0.977408210084,6,20.7180694593
63,0.00252948201872,75414.72,75136,0.677486835461,-0.0144454526007,6.58236027113e+12,2.5906805954e-14,5.71340115709e-12,2678,1,0,19765.8896251,12.0077905655,25887,301,9.18204706401e-13,0.182412100379,0.989597659697,6,20.6894287909
64,0.0025295106075,75414.72,75150,0.677613070764,-0.00248181556863,3.04928020298e+12,5.59239948158e-14,5.73867419292e-12,2673,1,0,19649.3737082,11.732916832,25812,305,9.18412087603e-13,0.183738957542,0.985510810611,6,20.5765429167
65,0.00252903891453,75414.72,75082,0.676999927866,-0.00784809709525,8.71206834035e+12,1.95737594795e-14,5.70044441677e-12,2676,1,0,19807.2408748,11.7384161949,25887,295,9.82111557356e-13,0.184071963458,0.973619030116,6,20.7161813751
66,0.00252861017251,75414.72,75125,0.677387650581,-0.00795410929351,5.84824199719e+12,2.91588361674e-14,5.70510987748e-12,2673,1,0,19811.0499997,11.7339172363,25930,303,9.67287142615e-13,0.185657640055,0.977661191012,6,20.7370468332
67,0.00252842582103,75414.72,75100,0.677162230397,-0.0117621072477,5.79260703887e+12,2.94388915249e-14,5.68192185875e-12,2681,1,0,19783.171083,11.7051672935,26039,299,9.54608181707e-13,0.184325234274,0.978897744404,6,20.6996483752
68,0.00252840206642,75414.72,75124,0.677378633773,-0.000365976504305,3.42586430815e+12,4.97766154537e-14,5.70678848122e-12,2672,1,0,20081.572,11.7491250038,25961,304,9.81125377342e-13,0.185968300847,0.982542600282,6,21.0162761672
