arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
MIN-it0050,0.68,0.680000,0.677234,50,0.000000,0.002532,0.000000,0.000000,0.000000,-1,165030,330068,101114,60234,3682,27945,2.183826,13.194172,8.900480,0.466924,4.913193,9.252812,9.891024,7.660856,10.286612,8.893024,37795,115773,371865.150693,3.410559,4610,external,1.705279,60417,48040,25306,34913,0.146044,0.249045,0.649672
MIN-it0055,0.68,0.680000,0.677108,55,0.000000,0.002530,0.000000,0.000000,0.000000,-1,167088,334212,101165,62237,3686,28075,2.211262,13.168504,9.155356,0.466609,4.957404,9.623316,10.776986,7.673962,10.475981,8.917597,38037,116006,371830.535496,3.410559,4807,external,1.705279,60824,48065,25639,35442,0.146320,0.249517,0.640963
MIN-it0060,0.68,0.680000,0.676558,60,0.000000,0.002527,0.000000,0.000000,0.000000,-1,169484,339044,101269,64529,3686,28259,2.288542,13.251394,9.565465,0.466767,5.093385,10.012345,11.656239,7.681922,10.716504,8.921371,38382,116271,371641.740712,3.410559,5018,external,1.705279,61311,48091,25881,36044,0.148472,0.253186,0.631339
MIN-it0065,0.68,0.680000,0.675792,65,0.000000,0.002525,0.000000,0.000000,0.000000,-1,171040,342172,101255,66101,3684,28367,2.335453,13.438059,9.742545,0.465755,5.171204,10.265508,12.162780,7.681394,10.856427,8.957005,38630,116403,371438.817619,3.410559,5162,external,1.705279,61752,47999,26257,36467,0.149356,0.254694,0.624510
MIN-it0070,0.68,0.680000,0.675846,70,0.000000,0.002524,0.000000,0.000000,0.000000,-1,172726,345576,101398,67642,3686,28434,2.368010,13.697133,10.041195,0.467047,5.238347,10.486977,12.606707,7.685970,10.972168,8.981754,38777,116800,371275.866199,3.410559,5199,external,1.705279,62062,48011,26461,36851,0.148870,0.253864,0.615886
MIN-it0075,0.68,0.680000,0.675566,75,0.000000,0.002522,0.000000,0.000000,0.000000,-1,174022,348188,101416,68919,3687,28557,2.428575,13.704223,10.219902,0.465739,5.334750,10.648416,12.903252,7.700653,10.945343,9.016498,38987,116937,371184.984410,3.410559,5181,external,1.705279,62434,48090,26708,37252,0.152043,0.259276,0.610061
MAX-it0001,0.68,0.680000,0.683384,1,0.000000,0.002871,0.000000,0.000000,0.000000,-1,157430,314864,96901,57039,3490,25389,2.383032,11.541788,7.287738,0.409293,4.069561,9.167481,9.723880,7.496715,9.726720,9.231755,36310,114175,374298.486759,3.410559,5287,external,1.705279,57197,45967,28019,32563,0.144704,0.246760,0.694438
MAX-it0005,0.68,0.680000,0.680138,5,0.000000,0.002591,0.000000,0.000000,0.000000,-1,159276,318572,101560,54024,3692,26894,2.475151,12.338344,8.818571,0.468184,5.169361,8.677550,8.172972,7.641097,9.799294,8.971989,36337,114426,372552.926264,3.410559,5162,external,1.705279,57594,47153,25036,33028,0.147388,0.251337,0.675639
MAX-it0010,0.68,0.680000,0.678226,10,0.000000,0.002546,0.000000,0.000000,0.000000,-1,160954,321920,101717,55571,3666,27665,2.167608,12.651609,8.578636,0.465782,4.874519,8.517963,7.844770,7.633144,9.816592,8.805025,37224,115418,371669.030878,3.410559,4701,external,1.705279,58913,47956,24211,33584,0.148003,0.252386,0.668949
MAX-it0015,0.68,0.680000,0.678425,15,0.000000,0.002555,0.000000,0.000000,0.000000,-1,161354,322728,102063,55619,3672,27753,2.117434,13.006201,8.609066,0.470368,4.842577,8.642368,8.217144,7.652201,9.772563,8.804761,36868,116832,371727.164274,3.410559,4724,external,1.705279,59123,48128,23927,33736,0.141824,0.241850,0.670649
MAX-it0020,0.68,0.680000,0.677685,20,0.000000,0.002540,0.000000,0.000000,0.000000,-1,161872,323752,101251,56942,3679,27760,2.195150,13.214996,8.934219,0.463995,4.913482,8.689434,8.345145,7.650689,9.863177,8.864615,37398,115007,371805.519235,3.410559,4731,external,1.705279,59398,48028,24655,33944,0.144341,0.246142,0.666038
MAX-it0025,0.68,0.680000,0.677541,25,0.000000,0.002537,0.000000,0.000000,0.000000,-1,162642,325292,100992,57962,3688,27784,2.192473,13.196826,8.923396,0.458915,4.896755,8.807968,8.685539,7.660250,9.884724,8.869810,37465,115151,371834.013535,3.410559,4628,external,1.705279,59654,47966,25052,34222,0.146209,0.249327,0.660335
MAX-it0030,0.68,0.680000,0.677848,30,0.000000,0.002535,0.000000,0.000000,0.000000,-1,163752,327512,101343,58719,3690,27884,2.201676,13.204369,9.045132,0.463822,4.929125,8.884771,8.933162,7.647712,9.892813,8.854629,37502,115282,371872.021893,3.410559,4785,external,1.705279,59856,47967,25284,34482,0.145910,0.248817,0.656342
MAX-it0035,0.68,0.680000,0.677893,35,0.000000,0.002533,0.000000,0.000000,0.000000,-1,164772,329564,101303,59777,3692,28030,2.245969,13.236012,9.390537,0.462168,5.005347,9.009978,9.254928,7.664089,9.852278,8.860741,37534,115641,371861.058689,3.410559,4825,external,1.705279,60140,47995,25509,34773,0.147682,0.251839,0.652834
MAX-it0040,0.68,0.680000,0.678334,40,0.000000,0.002532,0.000000,0.000000,0.000000,-1,166398,332832,101711,60998,3689,28149,2.305156,13.505898,9.533194,0.462517,5.098123,9.194986,9.776258,7.650601,9.908849,8.848099,37786,116159,371784.342364,3.410559,4939,external,1.705279,60465,48007,25832,35152,0.146511,0.249842,0.645881
