iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00408398433287,75414,75414,0.679993507899,0.500052049756,0.0483362901927,2.37586663402e-10,6.01582943515e-11,1103,1,0,95910.0580831,13.7495002747,56706,0,0,0.404463401985,0.999936538532,0,0.1,0,0,79250.6026848,1,1,0,103.280282333
2,0.00340920119706,75415,75415,0.680002524706,7.71135091782e-05,0.0483362901927,1.04423517761e-10,3.58316439541e-11,2042,1,0,20688.0663748,11.8622078896,57691,0,0,0.406769647612,0.999534181179,0,0.1,0,0,78990.3340218,1,1,0,27.708451916
3,0.00305663224331,75415,75415,0.680002524706,-0.000281259417534,0.0483362901927,8.985156138e-11,2.30294218507e-11,2031,1,0,20930.7903752,13.4004998207,55322,0,0,0.404333771379,0.999867301625,0,0.1,0,0,77186.1990562,1,1,0,28.0134877502
4,0.00286176332018,75415,75415,0.680002524706,-0.00213719904423,0.0483362901927,8.30206677749e-11,1.59104500812e-11,1980,1,0,13801.769084,11.8757500648,56625,0,0,0.398713082596,0.999317808466,0,0.1,0,0,74480.4601823,1,1,0,20.7774485
5,0.00276992245697,75415,75415,0.680002524706,0.00483579933643,0.0483362901927,7.62503160187e-11,1.27724684515e-11,2083,1,0,14492.929708,11.6670422554,55756,0,0,0.355814998505,0.999927191667,0,0.1,0,0,71608.4476942,1,1,0,37.6781637077
6,0.00268799023904,75414,75414,0.679993507899,0.00186897814274,0.0483362901927,7.00398579059e-11,1.01104024746e-11,2231,1,0,15526.0280418,13.0429997444,49764,0,0,0.352954694698,0.999927191667,0,0.1,0,0,63059.9688716,1,1,0,22.6150045828
7,0.00270408089139,75414,75414,0.679993507899,0.0291589647532,0.0483362901927,6.71087140244e-11,1.1531214836e-11,2415,1,0,16693.1115003,11.8306670189,46576,0,0,0.353755459654,0.999927191667,0,0.1,0,0,62022.3087771,1,1,0,23.6701677088
8,0.0026707380193,75414,75414,0.679993507899,0.00126548111439,0.0483362901927,6.01611814381e-11,1.01864258453e-11,2390,1,0,16539.5932498,12.3830423355,43463,0,0,0.351605021869,0.999927191667,0,0.1,0,0,59955.0274573,1,1,0,23.5008225832
9,0.00268255702603,75414,75414,0.679993507899,0.020270422101,0.0483362901927,5.41221491111e-11,1.16062350946e-11,2601,1,0,17976.124042,11.9047503471,41641,0,0,0.35262003443,0.999927191667,0,0.1,0,0,58353.0309782,1,1,0,24.956123
10,0.00264732852826,75414,75414,0.679993507899,-0.00486113131046,0.0483362901927,4.37840838172e-11,9.91317443379e-12,2564,1,0,17657.2544174,12.969332695,40120,0,0,0.34230910648,0.99996875449,0,0.1,0,0,55832.0819698,1,1,0,40.8082123329
11,0.00265163672046,75415,75415,0.680002524706,0.0259842723608,0.0483362901927,3.58908588323e-11,1.1188614173e-11,2718,1,0,18682.0586252,11.8952498436,37931,0,0,0.344349137778,0.99996875449,0,0.1,0,0,49515.6279078,1,1,0,25.6933544171
12,0.0026337984811,75415,75415,0.680002524706,-0.00444762408733,0.0483362901927,3.54375355698e-11,1.03188241644e-11,2729,1,0,18980.0374589,11.6174578667,36462,0,0,0.344465709373,0.99996875449,0,0.1,0,0,48187.5302625,1,1,0,26.1529358751
13,0.00265347188306,75415,75415,0.680002524706,0.0165361911058,0.0483362901927,3.52213897714e-11,1.21319859461e-11,2720,1,0,18986.8817501,12.9800000191,36059,0,0,0.345829469519,0.99996875449,0,0.1,0,0,47717.8882329,1,1,0,25.9920235001
