fixture,rho_target,rho_lib,rho_meas,N,vpc,population,n_vox,wall_vox,K_dev_max,K_vol,K_il_dev,K_il_vol,samp_min,samp_med,samp_p95,samp_max,n_samp,cg_iters_max,cg_resid_max,dropped_floaters
sandwich,0.15700,0.15524,0.14005,3,24,free_surface,15488,3.0,32.2148,20.5053,14.8416,10.8008,17.790,25.061,29.320,31.225,64,1170,1.00e-07,0
cut,0.20000,0.20414,0.21854,4,16,interior,10848,2.0,24.2856,15.3281,11.9319,7.4811,12.528,17.718,21.733,23.704,64,1117,1.00e-07,0
cut,0.20000,0.20414,0.21854,4,16,grip,28928,2.0,37.2099,25.0079,22.6369,16.0116,25.334,30.264,35.378,36.014,64,1117,1.00e-07,0
cut,0.20000,0.20414,0.21854,4,16,free_surface,18080,2.0,26.5861,15.1470,11.7427,7.2794,15.659,20.845,24.887,26.234,64,1117,1.00e-07,0
cut,0.20000,0.20414,0.21854,4,16,cut_layer,8384,2.0,34.7623,21.4607,22.7306,17.6157,21.253,27.421,31.464,33.470,64,1117,1.00e-07,0
cut,0.31300,0.31619,0.28252,4,16,interior,14016,4.0,12.8328,9.0480,6.4640,4.0553,6.796,10.116,12.297,12.451,64,1049,1.00e-07,0
cut,0.31300,0.31619,0.28252,4,16,grip,37376,4.0,21.1904,15.2134,12.4564,9.1073,13.195,16.606,19.610,20.797,64,1049,1.00e-07,0
cut,0.31300,0.31619,0.28252,4,16,free_surface,23360,4.0,13.3586,8.6198,6.2464,3.9086,8.517,11.479,12.751,13.155,64,1049,1.00e-07,0
cut,0.31300,0.31619,0.28252,4,16,cut_layer,10880,4.0,20.6863,13.3207,12.7513,9.7436,11.853,15.030,18.218,19.910,64,1049,1.00e-07,0
cut,0.60000,0.60004,0.59291,4,16,interior,29376,6.0,5.2492,4.3258,3.3644,1.1669,2.391,4.297,5.029,5.139,64,785,9.97e-08,0
cut,0.60000,0.60004,0.59291,4,16,grip,78336,6.0,9.9568,7.2772,5.1538,4.0975,5.004,6.999,8.472,8.779,64,785,9.97e-08,0
cut,0.60000,0.60004,0.59291,4,16,free_surface,48960,6.0,5.9190,4.0943,3.3864,1.1356,2.799,4.873,5.504,5.864,64,785,9.97e-08,0
cut,0.60000,0.60004,0.59291,4,16,cut_layer,23040,6.0,9.3845,6.4616,5.4943,4.4171,4.804,7.018,8.624,9.230,64,785,9.97e-08,0
