rho_lib,vpc,wall_vox,Kd_bulk,Kv_bulk,Kild_bulk,Kilv_bulk,Kd_bnd,Kv_bnd,Kild_bnd,Kilv_bnd,Kd_cert,Kv_cert,Kild_cert,Kilv_cert
0.04762,48,2.0,124.0930,60.6036,90.9946,66.0605,0.0000,0.0000,0.0000,0.0000,124.0930,60.6036,90.9946,66.0605
0.09505,48,3.0,65.3739,37.8932,67.1207,43.5009,61.9262,36.4841,27.4545,20.1991,65.3739,37.8932,67.1207,43.5009
0.15524,32,3.0,38.7510,18.8821,30.6208,20.8223,32.2148,20.5053,14.8416,10.8008,38.7510,20.5053,30.6208,20.8223
0.20414,48,5.0,32.2906,18.4218,34.0004,21.6227,34.7623,21.4607,22.7306,17.6157,34.7623,21.4607,34.0004,21.6227
0.31619,32,4.0,16.8335,10.2442,17.5533,11.8537,20.6863,13.3207,12.7513,9.7436,20.6863,13.3207,17.5533,11.8537
0.44394,40,6.0,11.6092,8.0827,12.8386,9.5626,9.2146,6.3587,3.6248,2.1157,11.6092,8.0827,12.8386,9.5626
0.60004,32,6.0,6.7494,5.3556,6.9696,6.3297,9.3845,6.4616,5.4943,4.4171,9.3845,6.4616,6.9696,6.3297
0.75210,32,7.0,4.6847,3.5686,4.2797,4.3419,3.5201,2.1896,2.4018,0.6541,4.6847,3.5686,4.2797,4.3419
0.89598,48,13.0,3.6882,2.8571,3.2186,2.8771,2.4646,0.9310,1.2571,0.3485,3.6882,2.8571,3.2186,2.8771
