fixture,rho_target,rho_lib,N,vpc,state,ci,cj,ck,class,n_solid,cellavg_vm,cell_peak_vm,K_cell,K_far
sandwich,0.10000,0.09505,4,16,uni_z,2,2,2,interior,488,22.1173,1366.4637,61.783,33.727
sandwich,0.10000,0.09505,4,16,uni_z,3,2,2,grip,488,90.7784,3564.7181,39.268,87.984
sandwich,0.10000,0.09505,4,16,uni_z,0,3,2,grip,488,91.0274,3598.2506,39.529,88.812
sandwich,0.10000,0.09505,4,16,uni_z,1,3,2,free_surface,488,22.3990,1358.2368,60.638,33.524
sandwich,0.10000,0.09505,4,16,uni_z,2,3,2,free_surface,488,22.3990,1358.2368,60.638,33.524
sandwich,0.10000,0.09505,4,16,uni_z,3,3,2,grip,488,91.0274,3598.2506,39.529,88.812
sandwich,0.10000,0.09505,4,16,uni_z,0,0,3,grip,488,96.3940,3606.3881,37.413,89.013
sandwich,0.10000,0.09505,4,16,uni_z,1,0,3,free_surface,488,11.4370,869.8767,76.058,21.470
sandwich,0.10000,0.09505,4,16,uni_z,2,0,3,free_surface,488,11.4370,869.8767,76.058,21.470
sandwich,0.10000,0.09505,4,16,uni_z,3,0,3,grip,488,96.3940,3606.3881,37.413,89.013
sandwich,0.10000,0.09505,4,16,uni_z,0,1,3,grip,488,95.1035,3604.1597,37.897,88.958
sandwich,0.10000,0.09505,4,16,uni_z,1,1,3,free_surface,488,11.2644,655.2299,58.168,16.172
sandwich,0.10000,0.09505,4,16,uni_z,2,1,3,free_surface,488,11.2644,655.2299,58.168,16.172
sandwich,0.10000,0.09505,4,16,uni_z,3,1,3,grip,488,95.1035,3604.1597,37.897,88.958
sandwich,0.10000,0.09505,4,16,uni_z,0,2,3,grip,488,95.1035,3604.1597,37.897,88.958
sandwich,0.10000,0.09505,4,16,uni_z,1,2,3,free_surface,488,11.2644,655.2299,58.168,16.172
sandwich,0.10000,0.09505,4,16,uni_z,2,2,3,free_surface,488,11.2644,655.2299,58.168,16.172
sandwich,0.10000,0.09505,4,16,uni_z,3,2,3,grip,488,95.1035,3604.1597,37.897,88.958
sandwich,0.10000,0.09505,4,16,uni_z,0,3,3,grip,488,96.3940,3606.3881,37.413,89.013
sandwich,0.10000,0.09505,4,16,uni_z,1,3,3,free_surface,488,11.4370,869.8767,76.058,21.470
sandwich,0.10000,0.09505,4,16,uni_z,2,3,3,free_surface,488,11.4370,869.8767,76.058,21.470
sandwich,0.10000,0.09505,4,16,uni_z,3,3,3,grip,488,96.3940,3606.3881,37.413,89.013
sandwich,0.10000,0.09505,4,16,biax_xy,0,0,0,grip,488,121.7226,6129.7502,50.358,151.295
sandwich,0.10000,0.09505,4,16,biax_xy,1,0,0,free_surface,488,78.3068,3410.5302,43.553,84.179
sandwich,0.10000,0.09505,4,16,biax_xy,2,0,0,free_surface,488,78.3065,3410.6180,43.555,84.181
sandwich,0.10000,0.09505,4,16,biax_xy,3,0,0,grip,488,121.7234,6129.7102,50.358,151.294
sandwich,0.10000,0.09505,4,16,biax_xy,0,1,0,grip,488,92.6108,4387.1659,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,1,1,0,free_surface,488,97.2198,4236.7875,43.579,104.572
sandwich,0.10000,0.09505,4,16,biax_xy,2,1,0,free_surface,488,97.2204,4236.8206,43.580,104.573
sandwich,0.10000,0.09505,4,16,biax_xy,3,1,0,grip,488,92.6107,4387.1804,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,0,2,0,grip,488,92.6107,4387.1564,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,1,2,0,free_surface,488,97.2198,4236.7972,43.580,104.573
sandwich,0.10000,0.09505,4,16,biax_xy,2,2,0,free_surface,488,97.2204,4236.8302,43.580,104.573
sandwich,0.10000,0.09505,4,16,biax_xy,3,2,0,grip,488,92.6107,4387.1707,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,0,3,0,grip,488,121.7226,6129.7626,50.358,151.295
sandwich,0.10000,0.09505,4,16,biax_xy,1,3,0,free_surface,488,78.3066,3410.5624,43.554,84.180
sandwich,0.10000,0.09505,4,16,biax_xy,2,3,0,free_surface,488,78.3063,3410.6502,43.555,84.182
sandwich,0.10000,0.09505,4,16,biax_xy,3,3,0,grip,488,121.7234,6129.7220,50.358,151.294
sandwich,0.10000,0.09505,4,16,biax_xy,0,0,1,grip,488,113.1214,5344.5340,47.246,131.914
sandwich,0.10000,0.09505,4,16,biax_xy,1,0,1,free_surface,488,84.2116,3529.1333,41.908,87.106
sandwich,0.10000,0.09505,4,16,biax_xy,2,0,1,free_surface,488,84.2123,3529.1685,41.908,87.107
sandwich,0.10000,0.09505,4,16,biax_xy,3,0,1,grip,488,113.1223,5344.5919,47.246,131.915
sandwich,0.10000,0.09505,4,16,biax_xy,0,1,1,grip,488,80.3829,4165.3171,51.818,102.808
