fixture,rho_target,rho_lib,rho_meas,N,vpc,population,n_vox,wall_vox,K_dev_max,K_vol,K_il_dev,K_il_vol,samp_min,samp_med,samp_p95,samp_max,n_samp,cg_iters_max,cg_resid_max,dropped_floaters
kubc,0.20000,0.20414,0.22070,2,16,grip,7232,2.0,27.4268,15.4084,22.2031,22.4852,21.008,23.655,26.514,27.154,64,225,9.66e-08,0
kubc,0.20000,0.20414,0.22070,3,16,interior,904,2.0,24.6161,13.5384,21.0073,14.4513,16.485,20.969,23.635,24.167,64,370,9.59e-08,0
kubc,0.20000,0.20414,0.22070,3,16,grip,23504,2.0,27.5758,15.4084,22.2061,22.4852,21.008,23.778,26.667,27.302,64,370,9.59e-08,0
kubc,0.20000,0.20414,0.22070,4,16,interior,7232,2.0,24.7675,13.5385,21.0306,14.4502,16.601,21.113,23.780,24.335,64,429,9.79e-08,0
kubc,0.20000,0.20414,0.22070,4,16,grip,50624,2.0,27.6006,15.4085,22.2060,22.4852,21.008,23.778,26.673,27.323,64,429,9.79e-08,0
kubc,0.45000,0.44394,0.42188,2,16,grip,13824,3.0,8.9088,6.1971,8.7872,7.1413,7.294,8.274,8.705,8.866,64,179,9.07e-08,0
kubc,0.45000,0.44394,0.42188,3,16,interior,1728,4.0,8.0644,5.9417,8.6167,6.6554,6.927,7.556,7.886,8.003,64,268,9.55e-08,0
kubc,0.45000,0.44394,0.42188,3,16,grip,44928,4.0,8.9623,6.1748,8.8460,7.1413,7.353,8.304,8.757,8.917,64,268,9.55e-08,0
kubc,0.45000,0.44394,0.42188,4,16,interior,13824,4.0,8.0948,5.9337,8.6240,6.6462,6.958,7.598,7.919,8.035,64,346,9.85e-08,0
kubc,0.45000,0.44394,0.42188,4,16,grip,96768,4.0,8.9652,6.1641,8.8527,7.1413,7.356,8.304,8.760,8.921,64,346,9.85e-08,0
kubc,0.20000,0.20414,0.19907,3,24,interior,2752,4.0,25.7113,14.8107,26.0849,16.5410,17.737,22.479,24.892,25.373,64,529,9.56e-08,0
kubc,0.20000,0.20414,0.19907,3,24,grip,71552,4.0,28.3837,16.3113,26.3978,23.0935,21.508,25.557,27.390,28.092,64,529,9.56e-08,0
