fixture,rho_target,r_unit,rho_lib,rho_meas,N,vpc,population,state,n_vox,macro_vm,macro_p,macro_il_z,peak_vm,p99_vm,p999_vm,K_peak,K_p99,peak_il_z,K_il
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,uni_z,3904,79.12924,94.53830,147.29113,1366.4637,1340.6847,1366.4363,17.269,16.943,1057.5479,7.180
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,biax_xy,3904,79.12924,189.07661,136.32378,4337.8130,4171.3098,4337.7874,54.819,52.715,1922.7910,14.105
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,shear_xy,3904,104.37560,0.00000,0.00000,2685.4107,2661.0008,2685.4012,25.728,25.494,294.5626,-1.000
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,shear_diag,3904,137.05587,0.00000,0.00000,2581.8831,2399.6243,2581.8758,18.838,17.508,1326.4496,-1.000
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,uni_111,3904,120.52256,94.53830,94.53830,3212.6035,2875.8463,3200.8381,26.656,23.861,1511.0060,15.983
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,hydro,3904,0.00000,283.61491,283.61491,4919.6084,4852.6300,4919.5981,-1.000,-1.000,2579.1594,9.094
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,uni_x,15616,79.12924,94.53830,68.16189,3531.1018,2970.1623,3285.1758,44.624,37.536,1620.1079,23.769
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,uni_z,15616,79.12924,94.53830,147.29113,3606.3881,3478.5390,3604.1597,45.576,43.960,4061.9454,27.578
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,biax_xy,15616,79.12924,189.07661,136.32378,6129.7626,5314.9149,5747.9121,77.465,67.168,2703.4450,19.831
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,shear_xy,15616,104.37560,0.00000,0.00000,2661.8951,2306.9790,2657.6142,25.503,22.103,1265.9369,-1.000
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,shear_diag,15616,137.05587,0.00000,0.00000,4176.0925,3772.5965,4040.3275,30.470,27.526,1766.1428,-1.000
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,uni_111,15616,120.52256,94.53830,94.53830,6817.1362,4505.8731,5889.5037,56.563,37.386,3219.8247,34.058
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,grip,hydro,15616,0.00000,283.61491,283.61491,7591.7732,5839.6871,6979.0379,-1.000,-1.000,5514.0360,19.442
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,uni_x,11712,79.12924,94.53830,68.16189,2989.7478,2812.0982,2989.7150,37.783,35.538,1612.2322,23.653
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,uni_z,11712,79.12924,94.53830,147.29113,1358.2368,1183.6844,1353.6799,17.165,14.959,1052.8566,7.148
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,biax_xy,11712,79.12924,189.07661,136.32378,4236.8302,3535.3113,4229.9775,53.543,44.678,1895.1539,13.902
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,shear_xy,11712,104.37560,0.00000,0.00000,2718.5277,1889.3169,2714.5270,26.046,18.101,444.2186,-1.000
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,shear_diag,11712,137.05587,0.00000,0.00000,3186.3847,2785.0897,3144.0590,23.249,20.321,1715.4971,-1.000
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,uni_111,11712,120.52256,94.53830,94.53830,3419.4760,2604.4570,3048.2100,28.372,21.610,1594.5943,16.867
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,free_surface,hydro,11712,0.00000,283.61491,283.61491,4775.4619,4062.6581,4775.4131,-1.000,-1.000,2545.4274,8.975
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,uni_x,7232,119.23974,134.28166,94.53508,4125.0335,4055.0533,4125.0331,34.594,34.008,1955.5202,20.686
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,uni_z,7232,119.23974,134.28166,213.77482,1411.6223,1316.5672,1400.9548,11.839,11.041,1363.8261,6.380
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,biax_xy,7232,119.23974,268.56331,189.07015,5414.1991,5069.4029,5411.7166,45.406,42.514,2297.4644,12.151
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,shear_xy,7232,144.38398,0.00000,0.00000,2652.4479,2618.3218,2651.1779,18.371,18.134,387.9769,-1.000
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,shear_diag,7232,206.52929,0.00000,0.00000,3647.9529,3343.8110,3607.5071,17.663,16.190,1646.9119,-1.000
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,uni_111,7232,166.72026,134.28166,134.28166,3665.0099,3130.2779,3511.3391,21.983,18.776,1623.6738,12.092
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,interior,hydro,7232,0.00000,402.84497,402.84497,6107.2165,5919.4828,6107.2086,-1.000,-1.000,2928.0218,7.268
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,uni_x,28928,119.23974,134.28166,94.53508,4610.1700,3852.1132,4247.1530,38.663,32.306,1948.3773,20.610
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,uni_z,28928,119.23974,134.28166,213.77482,4734.1984,3860.9763,4463.0622,39.703,32.380,4392.3188,20.546
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,biax_xy,28928,119.23974,268.56331,189.07015,7130.6634,5878.6088,6469.5828,59.801,49.301,3496.6210,18.494
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,shear_xy,28928,144.38398,0.00000,0.00000,3094.1788,2457.6360,3068.7097,21.430,17.022,1344.3677,-1.000
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,shear_diag,28928,206.52929,0.00000,0.00000,5633.9705,4539.7213,5161.7968,27.279,21.981,2101.8064,-1.000
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,uni_111,28928,166.72026,134.28166,134.28166,8323.0713,4708.1310,6392.6161,49.922,28.240,3907.2165,29.097
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,grip,hydro,28928,0.00000,402.84497,402.84497,9953.2822,6589.7185,7889.3538,-1.000,-1.000,6248.5177,15.511
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,uni_x,21696,119.23974,134.28166,94.53508,4095.6039,3838.6033,4067.9108,34.348,32.192,1940.9696,20.532
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,uni_z,21696,119.23974,134.28166,213.77482,1402.7079,1126.8239,1358.2864,11.764,9.450,1351.1461,6.320
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,biax_xy,21696,119.23974,268.56331,189.07015,5396.2937,4459.3095,5257.5793,45.256,37.398,2237.4250,11.834
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,shear_xy,21696,144.38398,0.00000,0.00000,2831.2998,2210.6888,2816.7091,19.610,15.311,531.1129,-1.000
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,shear_diag,21696,206.52929,0.00000,0.00000,4429.5253,3673.1775,4325.3462,21.447,17.785,2050.4010,-1.000
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,uni_111,21696,166.72026,134.28166,134.28166,4025.4063,2792.1451,3360.5963,24.145,16.747,1640.7467,12.219
sandwich,0.20000,0.094900,0.20414,0.22070,4,16,free_surface,hydro,21696,0.00000,402.84497,402.84497,5985.4771,5010.1674,5845.1346,-1.000,-1.000,2858.1071,7.095
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,uni_x,9344,252.82391,250.20627,165.93164,4503.3284,4416.9580,4503.2844,17.812,17.470,1913.7256,11.533
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,uni_z,9344,252.82391,250.20627,418.75555,1463.2230,1351.4559,1449.6324,5.788,5.345,1480.0606,3.534
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,biax_xy,9344,252.82391,500.41255,331.86327,5854.7058,5272.5595,5804.5888,23.157,20.855,2254.8149,6.794
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,shear_xy,9344,256.34745,0.00000,0.00000,3072.8653,2832.1938,3065.1846,11.987,11.048,352.6757,-1.000
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,shear_diag,9344,437.90386,0.00000,0.00000,3679.8140,3495.4080,3670.8978,8.403,7.982,1603.5230,-1.000
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,uni_111,9344,296.00454,250.20627,250.20627,4140.9986,3354.8422,3955.2641,13.990,11.334,1614.1585,6.451
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,interior,hydro,9344,0.00000,750.61882,750.61882,6730.9686,6328.1141,6730.9242,-1.000,-1.000,2926.2379,3.898
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,uni_x,37376,252.82391,250.20627,165.93164,4739.6298,3846.8677,4389.9289,18.747,15.216,2041.1964,12.301
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,uni_z,37376,252.82391,250.20627,418.75555,5106.5688,3984.4299,4646.1112,20.198,15.760,4628.4242,11.053
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,biax_xy,37376,252.82391,500.41255,331.86327,7871.7834,6084.7786,6782.9770,31.135,24.067,3935.8167,11.860
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,shear_xy,37376,256.34745,0.00000,0.00000,3407.9752,2562.9243,3228.6445,13.294,9.998,1438.5756,-1.000
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,shear_diag,37376,437.90386,0.00000,0.00000,5708.9614,4635.3753,5246.2611,13.037,10.585,2047.6220,-1.000
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,uni_111,37376,296.00454,250.20627,250.20627,9434.3299,4816.8028,6753.5605,31.872,16.273,4309.8233,17.225
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,grip,hydro,37376,0.00000,750.61882,750.61882,11265.6462,6765.7634,8602.8561,-1.000,-1.000,6631.2212,8.834
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,uni_x,28032,252.82391,250.20627,165.93164,4433.9164,3920.3454,4408.3913,17.538,15.506,1892.5764,11.406
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,uni_z,28032,252.82391,250.20627,418.75555,1453.1033,1155.9351,1373.0166,5.747,4.572,1468.1769,3.506
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,biax_xy,28032,252.82391,500.41255,331.86327,5759.2916,4580.0531,5274.9826,22.780,18.116,2172.7132,6.547
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,shear_xy,28032,256.34745,0.00000,0.00000,3132.5874,2252.0876,3096.8598,12.220,8.785,561.0132,-1.000
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,shear_diag,28032,437.90386,0.00000,0.00000,4564.4281,3702.6301,4490.1254,10.423,8.455,2172.0252,-1.000
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,uni_111,28032,296.00454,250.20627,250.20627,4380.6416,2838.7946,3604.2344,14.799,9.590,1755.1747,7.015
sandwich,0.31300,0.126295,0.31619,0.28516,4,16,free_surface,hydro,28032,0.00000,750.61882,750.61882,6425.1640,5122.8783,6287.0281,-1.000,-1.000,2830.1271,3.770
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,uni_x,13824,495.87116,435.11434,269.82396,6301.4413,4842.2686,6301.4289,12.708,9.765,1940.3472,7.191
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,uni_z,13824,495.87116,435.11434,765.69511,1708.8856,1343.6630,1698.4461,3.446,2.710,1955.6983,2.554
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,biax_xy,13824,495.87116,870.22868,539.64791,7645.3836,6067.4771,7568.8019,15.418,12.236,2247.0023,4.164
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,shear_xy,13824,421.95111,0.00000,0.00000,3075.3478,2926.5780,3072.5104,7.288,6.936,399.3327,-1.000
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,shear_diag,13824,858.87403,0.00000,0.00000,5322.8962,4491.3331,5284.7032,6.198,5.229,1677.7404,-1.000
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,uni_111,13824,487.22718,435.11434,435.11434,4608.2934,3594.8821,4357.5938,9.458,7.378,1948.5360,4.478
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,interior,hydro,13824,0.00000,1305.34302,1305.34302,8753.4675,6804.4596,8753.4510,-1.000,-1.000,2872.6205,2.201
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,uni_x,55296,495.87116,435.11434,269.82396,6119.3375,4976.2942,5982.8277,12.341,10.035,2160.8921,8.009
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,uni_z,55296,495.87116,435.11434,765.69511,6041.5669,4317.8561,5513.2941,12.184,8.708,6209.9538,8.110
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,biax_xy,55296,495.87116,870.22868,539.64791,9219.0614,6556.7970,7982.1662,18.592,13.223,4762.8880,8.826
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,shear_xy,55296,421.95111,0.00000,0.00000,4100.4351,2635.0248,3610.6326,9.718,6.245,1680.1033,-1.000
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,shear_diag,55296,858.87403,0.00000,0.00000,6872.2985,5686.3555,6483.6870,8.002,6.621,2086.2487,-1.000
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,uni_111,55296,487.22718,435.11434,435.11434,10892.8940,5120.9554,7052.8536,22.357,10.510,4830.4180,11.101
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,grip,hydro,55296,0.00000,1305.34302,1305.34302,13478.6875,7673.1218,9078.8003,-1.000,-1.000,7509.2701,5.753
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,uni_x,41472,495.87116,435.11434,269.82396,6205.2898,4784.8603,6165.2785,12.514,9.649,1917.6294,7.107
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,uni_z,41472,495.87116,435.11434,765.69511,1688.8200,1065.4309,1485.4638,3.406,2.149,1931.1052,2.522
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,biax_xy,41472,495.87116,870.22868,539.64791,7511.6183,5271.9360,7069.9305,15.148,10.632,2150.1577,3.984
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,shear_xy,41472,421.95111,0.00000,0.00000,3362.4433,2631.1425,3080.8600,7.969,6.236,540.7949,-1.000
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,shear_diag,41472,858.87403,0.00000,0.00000,6396.1677,4889.6216,6291.9954,7.447,5.693,2240.9711,-1.000
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,uni_111,41472,487.22718,435.11434,435.11434,4849.8010,3018.6051,3931.5637,9.954,6.195,1812.2677,4.165
sandwich,0.45000,0.156943,0.44394,0.42188,4,16,free_surface,hydro,41472,0.00000,1305.34302,1305.34302,8300.2891,5605.8837,8094.3408,-1.000,-1.000,2761.7388,2.116
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,uni_x,19584,930.18108,769.60342,459.54306,7262.1759,5438.5994,7238.5286,7.807,5.847,1560.5872,3.396
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,uni_z,19584,930.18108,769.60342,1389.72414,1976.3416,1300.0867,1769.3334,2.125,1.398,2227.8193,1.603
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,biax_xy,19584,930.18108,1539.20684,919.08612,8583.8986,6404.7090,8515.8929,9.228,6.885,1773.4796,1.930
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,shear_xy,19584,699.90559,0.00000,0.00000,3430.7747,3171.4077,3410.6372,4.902,4.531,591.3721,-1.000
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,shear_diag,19584,1611.12088,0.00000,0.00000,6203.4522,4729.4307,6131.1439,3.850,2.935,1369.9182,-1.000
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,uni_111,19584,808.18137,769.60342,769.60342,5666.1441,3797.6237,4930.5545,7.011,4.699,2608.7296,3.390
sandwich,0.60000,0.191791,0.60004,0.59766,4,16,interior,hydro,19584,0.00000,2308.81026,2308.81026,9862.4047,7376.2803,9751.5100,-1.000,-1.000,2358.8922,1.022
