iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,iteration_wall_s
25,0.00253706422944,75414.72,75142,0.677540936305,-0.0355447290347,2.89301956e+12,3.31563471258e-14,5.99519472328e-12,2707,1,0,21070.6349587,12.4105410576,25053,338,9.93050765012e-13,0.169768128168,0.990239827336,24,0.05625,22.0887477081
26,0.00253975823644,75414.72,75215,0.67819916324,0.0189415287875,790445644861,1.21351748089e-13,6.17731077392e-12,2616,1,0,20143.1195412,11.7758336067,24777,350,9.29176209028e-13,0.172313038088,0.988282410643,24,0.05625,21.2101747091
27,0.00253617565697,75414.72,75196,0.678027843901,-0.0175990152229,2.57113468881e+12,3.73072485042e-14,5.91716899333e-12,2665,1,0,20471.0297909,11.9083342552,25018,347,9.91154851056e-13,0.175396806403,0.992850327289,24,0.05625,21.5073870001
28,0.00253572704435,75414.72,75160,0.677703238837,-0.028511419082,2.75998684759e+12,3.47544992314e-14,6.00612086392e-12,2714,1,0,20828.0872502,12.2137079239,25139,353,9.89802887361e-13,0.171330926739,0.979049240268,24,0.05625,21.8781818752
29,0.00253692350907,75414.72,75243,0.678451633845,0.0105186384323,1.7186079052e+12,5.58137551228e-14,5.94144251186e-12,2635,1,0,20208.373333,11.6116251945,25064,344,9.79579020711e-13,0.175016746237,0.982423091207,24,0.05625,21.2573522083
30,0.00253507530174,75414.72,75176,0.677847507754,-0.0101012127038,3.41697230408e+12,2.8072209031e-14,5.91423845913e-12,2678,1,0,20531.187583,11.8356246948,25285,340,9.82403648192e-13,0.173908863044,0.99220879235,24,0.05625,21.564859
31,0.00253588952792,75414.72,75197,0.678036860708,-0.0159236757744,1.59122890295e+12,6.0281685806e-14,5.9792205089e-12,2684,1,0,20611.6564999,11.7456250191,25143,350,9.44421310661e-13,0.177038056573,0.975623141939,24,0.05625,21.6565753333
32,0.00253403813857,75414.72,75174,0.67782947414,-0.0216565741792,3.97730187984e+12,2.41173447908e-14,5.85010350912e-12,2693,1,0,20856.0846672,11.7859168053,25478,336,9.98137015488e-13,0.172607156432,0.98305810589,24,0.05625,21.8674781253
33,0.00253752595799,75414.72,75229,0.678325398543,0.0191997449632,1.01340226992e+12,9.46533904854e-14,6.16225922275e-12,2629,1,0,20223.6309581,11.6884579659,25093,350,9.67182949493e-13,0.175695986712,0.983703008007,24,0.05625,21.2660379163
34,0.00253333257177,75414.72,75175,0.677838490947,-0.0208767883626,1.89365401822e+12,3.79908208616e-14,5.78381594258e-12,2667,1,0,20726.96275,12.0313749313,25489,352,9.72056779894e-13,0.177454095283,0.976892666425,24,0.0421875,21.7697417503
35,0.00253282670683,75414.72,75181,0.677892591791,-0.00678745264266,4.17056020682e+12,1.72498338382e-14,5.86160048551e-12,2677,1,0,20507.2002921,11.9602909088,25509,345,9.94383210765e-13,0.177768356026,0.983190958287,24,0.0421875,21.546443833
36,0.00253239647216,75414.72,75257,0.678577869148,-0.0304757474187,2.12577964751e+12,3.38423931493e-14,5.71551530425e-12,2682,1,0,20690.8000832,11.7976670265,25754,354,9.99787176195e-13,0.180453014024,0.978857018857,24,0.0421875,21.748915541
37,0.00253240066331,75414.72,75114,0.6772884657,0.00755187348081,1.52349070347e+12,4.722147002e-14,5.93283243285e-12,2714,1,0,21357.2458329,13.1731672287,25632,358,9.67885854376e-13,0.177946091874,0.981008666163,24,0.0421875,22.419369333
38,0.00253164955844,75414.72,75279,0.678776238909,-0.00536847413871,2.11334092093e+12,3.40415831007e-14,5.73150534194e-12,2677,1,0,20572.787333,11.7558336258,25686,350,9.91238610146e-13,0.181218384838,0.989753239487,24,0.0421875,21.611997542
39,0.00253146357235,75414.72,75158,0.677685205223,-0.0124989646596,2.58837644972e+12,2.77940523635e-14,5.84683756814e-12,2702,1,0,21161.1975417,12.6192908287,25766,355,9.76515109996e-13,0.177205612144,0.975073617207,24,0.0421875,22.2226527091
40,0.00253215111465,75414.72,75230,0.67833441535,0.00106726813633,1.48644823274e+12,4.83982347956e-14,5.75023878681e-12,2652,1,0,20420.9161253,11.7493748665,25833,349,9.49703154107e-13,0.180129507929,0.973956506185,24,0.0421875,21.4645799999
41,0.00253081207917,75414.72,75161,0.677712255645,-0.000839579360499,3.28204554337e+12,2.1919705144e-14,5.75356782766e-12,2680,1,0,20656.2019172,11.7102909088,25858,342,9.90356357671e-13,0.179732811847,0.98480260444,24,0.0421875,21.6958565833
42,0.00253103672538,75414.72,75226,0.678298348121,-0.013430227013,2.34368401118e+12,3.06958916973e-14,5.79390835768e-12,2702,1,0,21166.5011249,12.7878751755,25915,348,9.43990588367e-13,0.182185391635,0.974682379618,24,0.0421875,22.2096996251
43,0.00253161955096,75414.72,75215,0.67819916324,-0.0186103239796,1.18151219064e+12,6.08893172239e-14,5.79941860284e-12,2708,1,0,21112.1160827,11.8207502365,26019,349,9.38298887767e-13,0.180083681015,0.976180792221,24,0.0421875,22.149076208
