lattice,L_mm,vpc,spacing_mm,voxels,vf,wall_voxels,E_ratio,cg_iters,converged
gyroid,5.000,8,0.62500,512,0.37500,2.00,0.122505,342,1
gyroid,5.000,12,0.41667,1728,0.27778,2.00,0.070467,555,1
gyroid,5.000,16,0.31250,4096,0.25781,2.00,0.067125,775,1
gyroid,5.000,24,0.20833,13824,0.29398,3.00,0.075748,794,1
gyroid,5.000,32,0.15625,32768,0.29102,4.00,0.074795,1060,1
gyroid,5.000,48,0.10417,110592,0.29977,7.00,0.078967,1548,1
gyroid,5.000,64,0.07812,262144,0.29797,9.00,0.077951,2043,1
