lattice,K_cells,vpc,voxels,vf,E_ratio,cg_iters
gyroid,1,16,4096,0.25781,0.067125,775
gyroid,2,16,32768,0.25781,0.082361,1267
gyroid,3,16,110592,0.25781,0.087292,1784
gyroid,4,16,262144,0.25781,0.089827,2324
gyroid,5,16,512000,0.25781,0.091374,2885
