lattice,L_mm,vpc,spacing_mm,voxels,vf,wall_voxels,E_ratio,cg_iters,converged
octet,5.000,8,0.62500,512,0.39062,1.00,0.185192,249,1
octet,5.000,12,0.41667,1728,0.19907,1.00,0.049119,545,1
octet,5.000,16,0.31250,4096,0.28516,2.00,0.078316,637,1
octet,5.000,24,0.20833,13824,0.32292,3.00,0.097122,977,1
octet,5.000,32,0.15625,32768,0.31299,4.00,0.090231,1343,1
octet,5.000,48,0.10417,110592,0.30360,6.00,0.083899,2103,1
octet,5.000,64,0.07812,262144,0.30264,8.00,0.081479,2892,1
