lattice,L_mm,vpc,spacing_mm,voxels,vf,wall_voxels,E_ratio,cg_iters,converged
schwarzD,5.000,8,0.62500,512,0.37500,1.00,0.200524,253,1
schwarzD,5.000,12,0.41667,1728,0.36111,2.00,0.172375,424,1
schwarzD,5.000,16,0.31250,4096,0.28125,2.00,0.120702,625,1
schwarzD,5.000,24,0.20833,13824,0.29167,3.00,0.130360,951,1
schwarzD,5.000,32,0.15625,32768,0.30078,4.00,0.126474,817,1
schwarzD,5.000,48,0.10417,110592,0.30093,5.00,0.129378,1203,1
schwarzD,5.000,64,0.07812,262144,0.30054,7.00,0.129954,1588,1
