lattice,K_cells,vpc,voxels,vf,E_ratio,cg_iters
schwarzD,1,16,4096,0.28125,0.120702,625
schwarzD,2,16,32768,0.28125,0.122539,1114
schwarzD,3,16,110592,0.28125,0.122945,1633
schwarzD,4,16,262144,0.28125,0.123108,2178
schwarzD,5,16,512000,0.28125,0.123192,2726
