rung,region,region_voxels,f,cells_per_member,in_range,mass_g,dmass_g,margin_effective,margin_solid_only,dmargin_pct,strut_margin,out_of_regime,sealed,accepted,load_path,refused
0.68,load-31,265,0.3,6.821117211,1,542.5832278,-1.140649362,673.8571155,673.8571155,0.0001398920448,904.91848,1,0,1,1,0
0.68,load-31,265,0.45,6.821117211,1,542.8276526,-0.8962244989,673.8570076,673.8570076,0.000123881954,798.0569451,1,0,1,1,0
0.68,load-31,265,0.6,6.821117211,1,543.0720775,-0.6517996355,673.856833,673.856833,9.796528548e-05,932.403227,1,0,1,1,0
0.68,load-31,265,0.75,6.821117211,1,543.3165023,-0.4073747722,673.856603,673.856603,6.383269137e-05,1086.666486,1,0,1,1,0
0.68,load-76,161,0.2,10.23167582,1,,,,,,,,,,1
0.68,load-76,161,0.3,10.23167582,1,543.0308788,-0.6929982918,674.0008482,674.0008482,0.02146976403,705.5577283,1,0,1,1,0
0.68,load-76,161,0.45,10.23167582,1,543.1793785,-0.5444986578,639.6897126,673.9713839,-5.070289717,639.6897126,1,0,1,1,0
0.68,load-76,161,0.6,10.23167582,1,543.3278781,-0.3959990239,673.9425015,673.9425015,0.01281114017,754.3673379,1,0,1,1,0
0.68,load-76,161,0.75,10.23167582,1,543.4763777,-0.2474993899,673.9108079,673.9108079,0.00810781508,829.6532386,1,0,1,1,0
0.68,load-49,130,0.2,5.115837908,1,,,,,,,,,,1
0.68,load-49,130,0.3,5.115837908,1,543.1643133,-0.5595638381,671.5075523,671.5075523,-0.3485343964,1254.508508,1,0,1,1,0
0.68,load-49,130,0.45,5.115837908,1,543.2842198,-0.4396573013,671.6788127,671.6788127,-0.3231194184,1439.25413,1,0,1,1,0
0.68,load-49,130,0.6,5.115837908,1,543.4041264,-0.3197507646,671.9927644,671.9927644,-0.2765291105,2130.590264,1,0,1,1,0
0.68,load-49,130,0.75,5.115837908,1,543.5240329,-0.1998442279,672.528024,672.528024,-0.1970967855,2968.922574,1,0,1,1,0
