iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00599909064231,58590,58590,0.528294741398,0.615920240039,0.0483362901927,4.97605111688e-10,6.07079534048e-11,1245,1,0,84968.2420421,16.0827918053,52270,0,0,0.440134466656,0.999728351407,0,0.1,0,0,70150.0572513,1,1,0,0,0,52,1475,0,-1423,0,0,0,0,0,0,0,0,0,0,0,85.2197674578
2,0.00553820191359,58591,58591,0.528303758205,0.0186880570087,0.0483362901927,4.09778329213e-10,5.38451546309e-11,2568,1,0,21927.5724587,11.7267913818,52975,0,0,0.43895306186,0.999870727539,0,0.1,0,0,68247.1354009,1,1,0,0,0,30,413,0,-383,0,0,0,0,-22,0,0,0,0,0,0,22.0776587087
3,0.00487119260934,58590,58590,0.528294741398,-0.00691223329833,0.0483362901927,3.33987389715e-10,4.24637762391e-11,2425,1,0,21799.447958,12.3295841217,54200,0,0,0.441301412265,0.999867301625,0,0.1,0,0,67857.3269397,1,1,0,0,0,26,-279,0,305,0,0,0,0,-4,0,0,0,0,0,0,22.061751958
4,0.00482572218829,58591,58591,0.528303758205,0.0295720322261,0.0483362901927,3.13619654955e-10,4.66169584616e-11,2512,1,0,16192.51825,12.7593340874,50195,0,0,0.442424240197,0.999532750976,0,0.1,0,0,61777.8922,1,1,0,0,0,106,-1008,0,1114,0,0,0,0,80,0,0,0,0,0,0,16.409653584
5,0.00451658258062,58591,58591,0.528303758205,0.00139218056649,0.0483362901927,2.36167127714e-10,4.23959548033e-11,2521,1,0,15982.9063749,12.196416378,49760,0,0,0.375729590839,0.999834008775,0,0.1,0,0,59230.4615607,1,1,0,0,0,262,-1419,30,1711,0,0,0,0,156,0,0,0,0,0,0,26.6095802924
6,0.00451961529209,58590,58590,0.528294741398,-0.057266515247,0.0483362901927,1.3560089419e-09,5.77735292485e-11,3404,1,0,22156.0931253,13.1984167099,40092,0,0,0.416711361839,0.999944458029,0,0.1,0,0,50932.8296721,1,1,0,0,0,255,-1297,31,1583,0,0,0,0,-7,0,0,0,0,0,0,22.450279084
7,0.0045146175434,58590,58590,0.528294741398,0.0308184981771,0.0483362901927,1.30013291433e-09,5.89716395683e-11,3357,1,0,21051.4037919,12.0726251602,38829,0,0,0.383500559884,0.999834008775,0,0.1,0,0,48937.3053707,1,1,0,0,0,236,-793,29,1058,1,0,0,1,-20,0,0,0,0,0,0,21.2132702502
8,0.00424437643513,58591,58591,0.528303758205,0.000294264305129,0.0483362901927,7.59366680591e-10,4.84270035124e-11,3305,1,0,20967.591959,11.9616250992,37848,0,0,0.381826217906,0.999834008775,0,0.1,0,0,48454.1387217,1,1,0,0,0,227,-606,28,861,2,0,0,2,-11,0,0,0,0,0,0,21.158068791
9,0.00397088471463,58590,58590,0.528294741398,-0.0148343275808,0.0483362901927,2.56925533075e-10,3.79020325723e-11,3273,1,0,20548.433042,12.6707081795,37284,0,0,0.413514691662,0.999944458029,0,0.1,0,0,48330.8988479,1,1,0,0,0,219,-483,28,730,3,0,0,1,-9,0,0,0,0,0,0,20.7720287079
10,0.00389022889259,58590,58590,0.528294741398,0.00261100840323,0.0483362901927,1.63793595197e-10,3.62331959981e-11,3319,1,0,21479.1624999,15.2601661682,36682,0,0,0.373549089346,0.999826241879,0,0.1,0,0,46527.3312895,1,1,0,0,0,207,-340,29,576,4,0,0,1,-13,0,0,0,0,0,0,32.9379524593
11,0.00401559146437,58591,58591,0.528303758205,-0.00554106960173,0.0483362901927,5.95397661277e-10,5.06646057392e-11,3533,1,0,22385.6063752,12.5360827446,29706,0,0,0.37350882913,0.999826241879,0,0.1,0,0,38533.7699572,1,1,0,0,0,172,10,25,187,5,0,0,1,-36,0,0,0,0,0,0,22.6058647912
12,0.00383118876037,58591,58591,0.528303758205,-0.00634573349741,0.0483362901927,1.5416807581e-10,4.00285006584e-11,3380,1,0,21854.7112918,12.7616662979,29623,0,0,0.374056185887,0.999826241879,0,0.1,0,0,38798.7321713,1,1,0,0,0,164,18,22,168,5,0,0,0,-8,0,0,0,0,0,0,22.0792004578
13,0.00372041898713,58590,58590,0.528294741398,-0.00765915918379,0.0483362901927,1.49046161808e-10,3.51939069579e-11,3373,1,0,22378.5044999,12.6599998474,29293,0,0,0.375142265399,0.999826241879,0,0.1,0,0,38427.7970704,1,1,0,0,0,156,46,19,129,5,0,0,0,-8,0,0,0,0,0,0,22.6037612502
14,0.00367988238967,58590,58590,0.528294741398,-0.000169619698979,0.0483362901927,1.43365947691e-10,3.53711579696e-11,3383,1,0,21145.1841669,11.805958271,28037,0,0,0.375635656562,0.999826241879,0,0.1,0,0,36649.9076435,1,1,0,0,0,154,87,22,89,6,0,0,2,-4,0,0,0,0,0,0,21.3030606252
15,0.00365133296281,58591,58591,0.528303758205,0.00283524790745,0.0483362901927,1.66157309922e-10,3.5047517317e-11,3395,1,0,21343.3413329,12.5093331337,27003,0,0,0.300372225613,0.999760691061,0,0.1,0,0,35131.0384165,1,1,0,0,0,151,90,20,81,6,0,0,0,-3,0,0,0,0,0,0,32.8825608753
16,0.00368733899068,58591,58591,0.528303758205,-0.0125021104021,0.0483362901927,1.910692201e-10,4.08934805738e-11,3420,1,0,21777.4742918,12.9647083282,23509,0,0,0.297520148899,0.996739301629,0,0.1,0,0,29850.6764556,1,1,0,0,0,153,107,21,67,6,0,0,0,2,0,0,0,0,0,0,21.99792775
17,0.00362460485619,58591,58591,0.528303758205,-0.000201051045214,0.0483362901927,1.93188259567e-10,3.6719360982e-11,3358,1,0,21587.021708,12.990375042,23080,0,0,0.297789995946,0.996739301629,0,0.1,0,0,29673.519504,1,1,0,0,0,143,101,20,62,7,0,0,1,-11,0,0,0,0,0,0,21.8095798329
18,0.00359283206735,58590,58590,0.528294741398,0.0015412563759,0.0483362901927,1.81225939493e-10,3.46417160231e-11,3363,1,0,21332.0834579,12.554292202,22359,0,0,0.298641020608,0.996739301629,0,0.1,0,0,29117.9556516,1,1,0,0,0,141,95,19,65,8,0,0,2,-4,0,0,0,0,0,0,21.551304
19,0.00356623639049,58591,58591,0.528303758205,-0.000366744638156,0.0483362901927,1.58230800602e-10,3.38623492033e-11,3363,1,0,21336.8259997,12.273250103,21411,0,0,0.29840693924,0.996739301629,0,0.1,0,0,28127.2222837,1,1,0,0,0,122,74,20,68,8,0,0,0,-19,0,0,0,0,0,0,21.501002958
20,0.00354531069725,58591,58591,0.528303758205,0.000728306738605,0.0483362901927,1.30056927946e-10,3.31371681043e-11,3373,1,0,21346.6114578,12.2526669502,20667,0,0,0.302828717549,0.999056951285,0,0.1,0,0,27178.3815233,1,1,0,0,0,99,32,22,89,9,0,0,1,-24,0,0,0,0,0,0,32.4545324589
21,0.0035426157054,58590,58590,0.528294741398,-0.00673622967521,0.0483362901927,1.97643483594e-10,3.4305035619e-11,3315,1,0,20828.0901251,13.7751250267,18606,0,0,0.318441046941,0.999422652778,0,0.1,0,0,24507.2885453,1,1,0,0,0,98,45,25,78,10,0,0,2,-3,0,0,0,0,0,0,21.136227625
22,0.00352406903032,58590,58590,0.528294741398,0.00232494007873,0.0483362901927,1.38759414967e-10,3.29757127615e-11,3332,1,0,21282.887167,12.5002918243,18320,0,0,0.313169230659,0.999422652778,0,0.1,0,0,24270.6088126,1,1,0,0,0,91,9,25,107,11,0,0,1,-8,0,0,0,0,0,0,21.5066863331
23,0.00350525127522,58590,58590,0.528294741398,-0.000626634644544,0.0483362901927,8.87009319344e-11,3.2287723193e-11,3341,1,0,21039.9069161,12.5582089424,17762,0,0,0.315036759326,0.999422652778,0,0.1,0,0,23825.6353104,1,1,0,0,0,84,2,26,108,12,0,0,4,-11,0,0,0,0,0,0,21.2604174167
24,0.00349445398985,58590,58590,0.528294741398,0.00180024582592,0.0483362901927,6.43545037622e-11,3.19101908982e-11,3340,1,0,21354.901875,12.5280833244,17329,0,0,0.313286514367,0.999387739796,0,0.1,0,0,23417.3577083,1,1,0,0,0,82,-5,26,113,13,0,0,1,-3,0,0,0,0,0,0,21.5687086247
25,0.00347818628602,58591,58591,0.528303758205,-0.00151822981095,0.0483362901927,5.50952548798e-11,3.13675231362e-11,3330,1,0,21187.6912079,12.6848340034,16940,0,0,0.280512796547,0.999817311435,0,0.1,0,0,23079.4590434,1,1,0,0,0,78,-11,26,115,13,0,0,0,-4,0,0,0,0,0,0,32.219946167
26,0.00347211532654,58591,58591,0.528303758205,-0.004674932555,0.0483362901927,5.91204339667e-11,3.15727973884e-11,3141,1,0,19796.86975,12.1447501183,16164,0,0,0.289703429642,0.999817311435,0,0.1,0,0,21732.172995,1,1,0,0,0,62,-23,15,100,14,0,0,3,-19,0,0,0,0,0,0,19.9507571254
27,0.00346223420527,58590,58590,0.528294741398,0.00148148531032,0.0483362901927,5.1033545523e-11,3.09269842377e-11,3131,1,0,19804.4842911,11.7869997025,16031,0,0,0.2869761753,0.999817311435,0,0.1,0,0,21716.5966919,1,1,0,0,0,57,-34,13,104,15,0,0,1,-6,0,0,0,0,0,0,19.9900855422
