iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00413803058637,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.25551394861e-10,2.60168577616e-11,1124,1,0,117700.366333,14.5255417824,70109,0,0,0.393729183164,0.999915581963,0,0.1,0,0,59668.7271255,1,1,0,117.883378209
2,0.00376804229287,75414,75414,0.679993507899,-0.0293233882918,0.0483362901927,1.24759959033e-10,2.10617257379e-11,2016,1,0,26163.254292,13.8696250916,70084,0,0,0.393622220077,0.999870727539,0,0.1,0,0,60650.193635,1,1,0,26.3433672921
3,0.00341352193458,75414,75414,0.679993507899,-0.0466113150101,0.0483362901927,1.17272795751e-10,1.65965224303e-11,1990,1,0,26898.3174996,14.0172920227,70331,0,0,0.393080242996,0.999867301625,0,0.1,0,0,60949.0808945,1,1,0,27.0858943332
