iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00334167374102,88423,88423,0.79729315444,0.33208378033,0.0483362901927,1.18208465539e-10,2.2069755169e-11,1067,1,0,96738.0673747,13.8695831299,70508,0,0,0.400672612056,0.999915581963,0,0.1,0.505724774719,1,61468.5996408,1,1,0,0,0,882,356,46,572,0,0,0,0,0,0,0,0,0,0,0,97.0198294581
2,0.00310447393894,88423,88423,0.79729315444,-0.0379553954969,0.0483362901927,1.01351659994e-10,1.85875289947e-11,1798,1,0,32428.9377079,13.5127501488,70508,0,0,0.399776933953,0.999870727539,0,0.1,0.505474830376,1,60270.2459984,1,1,0,0,0,887,-302,56,1245,1,0,0,4,1,0,0,0,0,0,0,32.624117875
3,0.00295689857539,88424,88424,0.797302171247,-0.0197056263432,0.0483362901927,8.62692182529e-11,1.6154642599e-11,1778,1,0,29973.0207911,12.7454590797,70508,0,0,0.398028740972,0.999837029216,0,0.1,0.505176588127,1,58798.2614069,1,1,0,0,0,868,-798,66,1732,2,0,0,4,-23,0,0,0,0,0,0,30.1598741659
4,0.00295614872393,88424,88424,0.797302171247,0.0412527826353,0.0483362901927,8.45414638314e-11,1.55837226809e-11,1786,1,0,18617.5167089,12.3523330688,70499,0,0,0.39690574345,0.999929181483,0,0.1,0.504865566209,1,58649.6381106,1,1,0,0,0,864,-962,68,1894,3,0,0,3,-7,0,0,0,0,0,0,18.7911276249
5,0.0028818835306,88423,88423,0.79729315444,0.00406213920498,0.0483362901927,7.49479960508e-11,1.42913461791e-11,1784,1,0,19390.2455831,13.1227087975,70177,0,0,0.401366883514,0.999898809181,0,0.1,0.504139389785,1,56843.0861228,1,1,0,0,0,659,-742,71,1472,4,0,0,1,-206,0,0,0,0,0,0,36.2624116661
6,0.0027638523958,88424,88424,0.797302171247,-0.0139457210665,0.0483362901927,7.67949836721e-11,1.13413561677e-11,1791,1,0,18338.1698327,12.5929579735,69763,0,0,0.399831881623,0.999898809181,0,0.1,0.494930190758,1,55651.0569562,1,1,0,0,0,462,-174,70,706,4,0,0,0,-197,0,0,0,0,0,0,18.5137821659
7,0.00265562477672,88423,88423,0.79729315444,-0.0450031285563,0.0483362901927,6.70056124095e-11,9.42990480966e-12,1769,1,0,15149.650125,12.1845002174,67270,0,0,0.397674439457,0.999898809181,0,0.1,0.491572575986,1,51783.139531,1,1,0,0,0,465,-90,71,626,4,0,0,0,3,0,0,0,0,0,0,15.33002675
8,0.00261093852493,88423,88423,0.79729315444,-0.00549598292462,0.0483362901927,6.07374663933e-11,8.44581413253e-12,1751,1,0,10312.0475841,12.006000042,66596,0,0,0.396576279933,0.999898809181,0,0.1,0.490391237941,1,49011.3009498,1,1,0,0,0,462,120,78,420,5,0,0,7,-10,0,0,0,0,0,0,10.479787583
9,0.0025502986775,88423,88423,0.79729315444,-0.0338330627807,0.0483362901927,5.11071090939e-11,6.99495694074e-12,1740,1,0,10243.2996254,11.8652496338,64016,0,0,0.383400855091,0.999898809181,0,0.1,0.48794156719,1,45337.4579476,1,1,0,0,0,463,212,79,330,6,0,0,1,0,0,0,0,0,0,0,10.4064501673
10,0.00250495578136,88424,88424,0.797302171247,-0.030424514998,0.0483362901927,4.20162481398e-11,5.74331518878e-12,1718,1,0,10868.5369158,12.3741250038,54398,0,0,0.406458302803,0.999933083935,0,0.1,0.500755379714,1,41988.7956948,1,1,0,0,0,460,134,80,406,7,0,0,1,-4,0,0,0,0,0,0,21.5958503331
