iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
19,0.00256166077876,75415,75415,0.680002524706,-0.00039117901344,0.0483362901927,2.73059552608e-11,6.73599783474e-12,3330,1,0,35108.5305424,13.2454166412,23557,0,0,0.359433065066,0.999806883023,0,0.1,0,0,29924.6512164,1,1,0,114769.483794,0.3,35.3996742079
20,0.00255531842906,75415,75415,0.680002524706,0.000545361750385,0.0483362901927,1.77705142554e-11,6.6614461413e-12,3343,1,0,35771.6333752,16.2006669044,22918,0,0,0.371012509707,0.999899974344,0,0.1,0,0,28675.6225625,1,1,0,112940.170744,0.3,53.8325068327
21,0.0025491513471,75414,75414,0.679993507899,-0.00377199279277,0.0483362901927,1.59112831431e-11,6.86645794398e-12,3268,1,0,34150.4282503,21.4779157639,19298,0,0,0.371130156196,0.999899974344,0,0.1,0,0,25303.2032613,1,1,0,129950.408352,0.3,34.4880753327
22,0.00254582062136,75415,75415,0.680002524706,0.00144915316955,0.0483362901927,1.38721043415e-11,6.66936671704e-12,3283,1,0,35605.3630829,14.5449581146,19320,0,0,0.371549058263,0.999899974344,0,0.1,0,0,25262.2716436,1,1,0,124184.787852,0.3,36.0417529582
23,0.00254468739008,75415,75415,0.680002524706,0.00389892705847,0.0483362901927,1.33506429486e-11,6.54654576062e-12,3274,1,0,36943.2281251,13.513792038,19318,0,0,0.371987059693,0.999899974344,0,0.1,0,0,25233.1941543,1,1,0,119102.675208,0.3,37.1259492082
24,0.00254185304907,75414,75414,0.679993507899,-0.000990689506051,0.0483362901927,1.25741127631e-11,6.47812636556e-12,3272,1,0,35066.217083,13.5090837479,19225,0,0,0.372348361589,0.999899974344,0,0.1,0,0,25053.3588856,1,1,0,114449.355997,0.3,35.2926712907
25,0.00254057595958,75414,75414,0.679993507899,0.00158279004908,0.0483362901927,1.12244232034e-11,6.38653881263e-12,3265,1,0,34730.7562909,12.4192090034,19226,0,0,0.370055343829,0.999881478278,0,0.1,0,0,24995.0687714,1,1,0,109978.638679,0.3,51.0875678333
26,0.00253980930067,75415,75415,0.680002524706,-0.00702623698934,0.0483362901927,1.09444627349e-11,6.65696995455e-12,3099,1,0,22727.1218753,11.8491668701,17766,0,0,0.368776257547,0.999881478278,0,0.1,0,0,23855.2176485,1,1,0,129659.090317,0.3,22.8836414577
27,0.00253814658078,75414,75414,0.679993507899,0.00339930167504,0.0483362901927,1.02147694015e-11,6.42503657973e-12,3115,1,0,23481.7176251,12.853415966,18065,0,0,0.369863519515,0.999881478278,0,0.1,0,0,24109.6785513,1,1,0,124469.099154,0.3,23.727805417
28,0.0025369674197,75414,75414,0.679993507899,0.00198333770977,0.0483362901927,9.92035160764e-12,6.32479615353e-12,3077,1,0,25729.4724159,11.7221670151,18119,0,0,0.37046894487,0.999881478278,0,0.1,0,0,24167.7220097,1,1,0,119665.745273,0.3,25.889119416
