arm,resolution,nx,ny,nz,spacing_mm,h_over_h0,dofs,samples,mollified,peak_vm_mpa,max_interlayer_mpa,margin_in_plane,margin_interlayer,margin_worst_case,margin_effective,accepted,mass_g,compliance,max_disp_mm,printed_voxels,vol_active_mm3,vol_frozen_mm3,vol_total_mm3,n_active,n_frozen_solid,n_frozen_void,n_cut,n_full,n_empty_active,peak_vm_boundary,peak_vm_interior,boundary_cells,interior_cells,peak_i,peak_j,peak_k,peak_tag,peak_mask,peak_dist_to_bc_mm,load_path_ok,load_voxels,load_unprinted,fixture_voxels,fixture_unprinted,load_resultant_z,bc_dofs,nodal_loads,wall_s,matvecs,phi_wall_s,occ_wall_s
smooth,64,64,16,59,3.4105586052687227,2,198900,4,1,0.045244606068778045,0.0027547621868885428,1215.6145180354185,10980.984182219687,1215.6145180354185,251.7085365967103,1,558.08806531423375,0.0076829436036459885,0.0030274995281460645,11345,106018.31842903985,344267.63465476292,450285.95308380277,4609,8678,0,640,2337,1632,0.045244606068778045,0.033267178850330044,6486,4859,13,2,28,Load,FrozenSolid,93.821361600006739,1,663,0,868,0,-30.966554641723327,5670,1522,3.2577287503518164,3720,0.018415124621242285,0.034676499664783478
smooth,80,80,20,74,2.7284468842149781,1.5999999999999999,382725,4,1,0.035996010416020824,0.0015499188390826195,1527.9471075917077,19517.150987018558,1527.9471075917077,316.38099475040923,1,542.81991711150374,0.0070980556046117207,0.0013329927790278703,21552,147928.36884586836,289705.93544809817,437634.3042939665,11346,14263,0,1282,6593,3471,0.035996010416020824,0.028048272271995342,10664,10888,16,2,38,Surface,FrozenSolid,102.33494618738641,1,2076,0,1326,0,-30.966554641722706,8532,3273,6.9646854996681213,4601,0.030879958067089319,0.10617570811882615
smooth,96,96,24,88,2.2737057368458151,1.3333333333333333,647475,4,1,0.031851797147376369,0.0065753123489672768,1726.7471516761918,4600.5419050170431,1726.7471516761918,357.54508700947275,1,532.25475425179616,0.0035746184494082007,0.0030298356584253982,36517,192913.155761984,235629.95413824191,428543.10990022589,25433,20046,0,2460,15057,7916,0.031851797147376369,0.025724271475382282,15606,20911,20,2,43,Surface,FrozenSolid,96.645867630116214,1,1932,0,1974,0,-30.966554641721526,12540,3250,12.871555165853351,5467,0.054924666881561279,0.23847233317792416
smooth,112,112,27,103,1.9488906315821273,1.1428571428571428,987168,4,1,0.072997409730715515,0.010291833001910802,753.45139235615034,2939.2237509473512,753.45139235615034,156.01174924532671,1,538.60972932140533,0.011326694388304991,0.0062227773908127516,58680,220310.12041518523,213502.43561045465,433812.55602563987,43726,28843,0,3756,27710,12260,0.072997409730715515,0.058756219988930589,24032,34648,23,4,53,Load,FrozenSolid,102.32603816879755,1,1930,0,2484,0,-30.966554641725168,15696,3667,19.232239167205989,5670,0.089605499990284443,0.44688841560855508
smooth,128,128,31,118,1.7052793026343613,1,1473696,4,1,0.022897571857904628,0.0068014858176781426,2402.0014148798523,4447.5576088647349,2402.0014148798523,497.36512033415784,1,539.41339085016,0.0046794745953579776,0.0012531625878784468,87723,234479.50128734251,200087.21466185545,434566.715949198,70555,40349,0,5240,44451,20864,0.022897571857904628,0.018050787496449238,31379,56344,126,6,16,Surface,FrozenSolid,26.459319400229226,1,5165,0,3348,0,-30.966554641721721,21000,7382,32.546574666164815,6433,0.12371099973097444,0.69393549999222159
smooth,144,144,35,132,1.5158038245638767,0.88888888888888884,2082780,4,1,0.035978351298476548,0.0095907324102070726,1528.6970640683276,3154.0865396062986,1528.6970640683276,316.53628283264294,1,543.69546832495575,0.0056035324787738258,0.0025553687023003604,125894,252631.51931575339,185501.0899716921,438132.60928744549,104768,53262,0,7055,68787,28926,0.035978351298476548,0.029757212047256128,40451,85443,30,2,68,Surface,FrozenSolid,102.32237209228764,1,2877,0,4340,0,-30.96655464172208,27072,5752,48.915132083930075,6781,0.15529170772060752,1.1127995420247316
smooth,160,160,39,147,1.364223442107489,0.79999999999999993,2859360,4,1,0.049708812113452135,0.019057160309370359,1106.4436598177322,1587.3298806814441,1106.4436598177322,229.10331384452519,1,558.39463250886024,0.0052468789319491905,0.0035477214453224683,177363,256150.07706472836,193938.75656601641,450088.83363074478,142798,76385,0,8729,96268,37801,0.049708812113452135,0.040117780282396737,50605,126758,33,1,79,Surface,FrozenSolid,107.09588477795455,1,6350,0,5304,0,-30.966554641724045,32970,9891,70.837908540852368,6987,0.22893308289349079,1.5442376248538494
staircase,64,64,16,59,3.4105586052687227,2,198900,1,0,0.045042318121511479,0.0029072212337936131,1221.0739210096935,10405.124882954637,1221.0739210096935,252.83897582144687,1,557.69452591163224,0.0076465010590788807,0.0029802267036595923,11337,105486.01527392094,344267.63465476292,449753.64992868388,4609,8678,0,0,0,0,0.045042318121511479,0.033151567956473484,6532,4805,13,2,28,Load,FrozenSolid,93.821361600006739,1,663,0,868,0,-30.966554641723327,5670,1522,2.9830469158478081,3694,0.026641582604497671,0.00031333370134234428
staircase,80,80,20,74,2.7284468842149781,1.5999999999999999,382725,1,0,0.03587939595789847,0.0020918501473702745,1532.9132091448248,14460.88288782452,1532.9132091448248,317.40928960538179,1,542.59323841560524,0.0070738006999282567,0.0013090856832112911,21543,147869.25682265352,289705.93544809817,437575.19227075169,11346,14263,0,0,0,0,0.03587939595789847,0.027978605008686756,10711,10832,16,2,38,Surface,FrozenSolid,102.33494618738641,1,2076,0,1326,0,-30.966554641722706,8532,3273,6.6516371252946556,4503,0.037272291723638773,0.0002109576016664505
staircase,96,96,24,88,2.2737057368458151,1.3333333333333333,647475,1,0,0.031687727502446437,0.0071571278909817676,1735.6877357568083,4226.5557442554664,1735.6877357568083,359.39634931496806,1,531.74461058175723,0.0035337425637595992,0.0029905772669186672,36482,193196.34471795728,235629.95413824191,428826.2988561992,25433,20046,0,0,0,0,0.031687727502446437,0.025570494451764247,15690,20792,20,2,43,Surface,FrozenSolid,96.645867630116214,1,1932,0,1974,0,-30.966554641721526,12540,3250,14.55071433307603,5494,0.063064500223845243,0.00031004101037979126
