arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
A6_step24-voxel,0.68,0.680000,0.663403,30,775.759960,0.002985,0.000000,0.000000,0.000000,-1,165736,331520,103930,58117,3689,29259,2.222579,12.653202,8.414622,0.488863,4.771538,9.885772,11.222487,7.770116,10.267595,9.232345,37029,118435,364340.548180,3.410559,4969,external,1.705279,60681,49229,29710,34522,0.148961,0.254020,0.663722
A6_step24-analytic-f2,0.68,0.680000,0.663403,30,775.759960,0.002985,0.000000,0.000000,0.000000,-1,165430,330916,103833,57501,4096,29491,2.280136,12.781644,8.578461,0.554618,4.747080,14.047011,13.824244,12.671972,14.076959,14.150993,36362,113491,364350.577609,3.410559,4576,external,0.852640,262862,207218,239668,140675,0.157222,0.134053,0.641009
A7_max_step24-voxel,0.68,0.680000,0.681680,30,883.390492,0.002689,0.000000,0.000000,0.000000,-1,169286,338700,102600,63044,3642,28645,2.351463,12.628902,8.798395,0.464426,4.961090,10.249996,12.169500,7.703032,10.107490,9.031625,37698,116958,373379.962952,3.410559,4518,external,1.705279,60882,49696,23338,35635,0.150614,0.256838,0.669454
A7_max_step24-analytic-f2,0.68,0.680000,0.681680,30,883.390492,0.002689,0.000000,0.000000,0.000000,-1,171930,344032,102266,65585,4079,28871,2.425626,12.742831,8.916549,0.536419,4.958740,14.570493,15.385404,12.610506,14.080888,13.995998,37632,112142,375326.267507,3.410559,3993,external,0.852640,264116,212165,180965,145081,0.154457,0.131696,0.658101
A1_mma_w2-analytic-f3,0.68,0.680000,0.681409,40,1021.044941,0.002925,0.000000,0.000000,0.000000,-1,383818,767740,226545,149256,8017,62688,2.486834,12.220661,7.950438,0.710752,4.237428,12.096000,12.862227,10.901497,11.768702,11.467105,82672,252064,374312.979601,3.410559,1616,external,0.568426,605917,455816,757982,323257,0.172879,0.098269,0.602211
A6_step24-analytic-f3,0.68,0.680000,0.663403,30,775.759960,0.002985,0.000000,0.000000,0.000000,-1,373568,747192,235091,130275,8202,66059,2.286744,12.934413,8.652782,0.566912,4.743123,11.571434,11.258128,10.922394,11.703017,11.701895,82480,256230,363930.424574,3.410559,3026,external,0.568426,607007,475410,823383,318155,0.160502,0.091233,0.634483
A1_mma_w2-it0001,0.68,0.680000,0.683907,1,0.000000,0.002867,0.000000,0.000000,0.000000,-1,157206,314420,96910,56825,3471,25373,2.385368,11.493650,7.228248,0.409069,4.075718,9.245852,9.890778,7.474946,9.742715,9.171941,36588,114597,374146.339413,3.410559,5680,external,1.705279,57021,45942,28224,32510,0.147032,0.250730,0.686743
A1_mma_w2-it0010,0.68,0.680000,0.684222,10,0.000000,0.002803,0.000000,0.000000,0.000000,-1,157996,315996,97414,57183,3399,25480,2.389437,11.706551,7.596695,0.408759,4.065717,9.250212,9.368813,7.746401,9.791629,9.196024,36542,115983,374319.465329,3.410559,5282,external,1.705279,57291,45797,28118,32574,0.144635,0.246644,0.684380
A1_mma_w2-it0020,0.68,0.680000,0.682076,20,0.000000,0.002741,0.000000,0.000000,0.000000,-1,159584,319188,97249,58897,3438,25946,2.377165,11.772492,7.856184,0.409177,3.975807,9.326025,9.845658,7.738398,9.894142,8.988736,36646,115838,373968.703823,3.410559,5573,external,1.705279,58039,45901,28188,33396,0.168418,0.287199,0.664121
A1_mma_w2-it0030,0.68,0.680000,0.683176,30,0.000000,0.002687,0.000000,0.000000,0.000000,-1,161100,322216,97441,60220,3439,26289,2.344200,11.921678,7.968558,0.413226,3.876697,9.458700,10.398665,7.579847,9.960229,8.838984,36762,115933,373573.495597,3.410559,4946,external,1.705279,58716,46093,27810,33495,0.155726,0.265557,0.660934
A1_mma_w2-it0040,0.68,0.680000,0.681409,40,0.000000,0.002642,0.000000,0.000000,0.000000,-1,163164,326376,99917,59645,3602,26899,2.331865,12.075441,8.044112,0.632903,4.142300,9.990297,11.913321,7.507017,9.980473,8.798677,36824,116115,373072.474768,3.410559,4897,external,1.705279,59313,46297,27838,34002,0.149753,0.255370,0.651462
A2_max-it0001,0.68,0.680000,0.684466,1,0.000000,0.002867,0.000000,0.000000,0.000000,-1,157336,314676,96983,56952,3401,25346,2.378597,11.474096,7.162188,0.409295,4.068587,9.164595,9.670130,7.479001,9.736981,9.172245,36499,114624,374308.650754,3.410559,5681,external,1.705279,57075,45914,28196,32486,0.145052,0.247355,0.688512
A2_max-it0010,0.68,0.680000,0.684799,10,0.000000,0.002810,0.000000,0.000000,0.000000,-1,157858,315728,97363,57075,3420,25454,2.372214,11.626707,7.491056,0.409346,4.040669,9.249443,9.289613,7.795414,9.787587,9.244074,36273,115893,374301.086419,3.410559,5312,external,1.705279,57199,46210,26747,32608,0.143099,0.244023,0.700258
A2_max-it0020,0.68,0.680000,0.683438,20,0.000000,0.002759,0.000000,0.000000,0.000000,-1,159608,319244,97093,59048,3467,25854,2.382554,11.901111,7.942142,0.409484,3.999075,9.406647,9.986944,7.781776,9.885022,9.097018,36401,116059,374046.708348,3.410559,5519,external,1.705279,57893,46531,26885,33262,0.154188,0.262933,0.690307
A2_max-it0030,0.68,0.680000,0.684105,30,0.000000,0.002717,0.000000,0.000000,0.000000,-1,160868,321760,97287,60119,3462,26255,2.368806,12.080534,8.024448,0.441205,3.950430,9.444082,10.235377,7.683575,9.954048,8.983607,36608,116261,373989.986927,3.410559,4936,external,1.705279,58397,46810,25549,33550,0.148771,0.253697,0.685127
A2_max-it0040,0.68,0.680000,0.683799,40,0.000000,0.002683,0.000000,0.000000,0.000000,-1,162266,324576,98361,60297,3608,26614,2.357406,12.316142,8.145686,0.548731,4.043348,9.584868,10.724904,7.595107,10.007428,8.934794,36838,116554,374117.195035,3.410559,5393,external,1.705279,58768,47047,25306,33851,0.151990,0.259185,0.678769
A6_step24-it0001,0.68,0.680000,0.683907,1,0.000000,0.002867,0.000000,0.000000,0.000000,-1,157206,314420,96910,56825,3471,25373,2.385368,11.493650,7.228248,0.409069,4.075718,9.245852,9.890778,7.474946,9.742715,9.171941,36588,114597,374146.339413,3.410559,5680,external,1.705279,57021,45942,28224,32510,0.147032,0.250730,0.686743
A6_step24-it0010,0.68,0.680000,0.681995,10,0.000000,0.002655,0.000000,0.000000,0.000000,-1,162220,324472,98979,59675,3566,26702,2.328896,12.025363,7.982331,0.571180,4.002044,9.770893,11.349211,7.520185,9.939743,8.792311,36848,115976,373346.699923,3.410559,5045,external,1.705279,59142,46258,27675,33791,0.149620,0.255144,0.656773
A6_step24-it0020,0.68,0.680000,0.670463,20,0.000000,0.002540,0.000000,0.000000,0.000000,-1,169206,338476,103330,62220,3656,28731,2.328639,12.328275,8.022407,0.493068,4.850589,10.267025,12.229606,7.629703,10.253351,9.084214,36974,117685,367318.905834,3.410559,4830,external,1.705279,61330,48430,29371,35256,0.155951,0.265940,0.618306
A6_step24-it0030,0.68,0.680000,0.663403,30,0.000000,0.002508,0.000000,0.000000,0.000000,-1,165736,331520,103930,58117,3689,29259,2.222579,12.653202,8.414622,0.488863,4.771538,9.885772,11.222487,7.770116,10.267595,9.232345,37029,118435,364340.548180,3.410559,4969,external,1.705279,60681,49229,29710,34522,0.148961,0.254020,0.663722
A7_max_step24-it0001,0.68,0.680000,0.684466,1,0.000000,0.002867,0.000000,0.000000,0.000000,-1,157336,314676,96983,56952,3401,25346,2.378597,11.474096,7.162188,0.409295,4.068587,9.164595,9.670130,7.479001,9.736981,9.172245,36499,114624,374308.650754,3.410559,5681,external,1.705279,57075,45914,28196,32486,0.145052,0.247355,0.688512
A7_max_step24-it0010,0.68,0.680000,0.684628,10,0.000000,0.002661,0.000000,0.000000,0.000000,-1,161556,323120,98752,59190,3614,26662,2.327331,12.076849,8.069830,0.549236,3.965214,9.375685,10.382977,7.514344,9.892922,8.785238,36857,116081,374393.377145,3.410559,5058,external,1.705279,58818,46577,25508,33628,0.145860,0.248732,0.676103
A7_max_step24-it0020,0.68,0.680000,0.684763,20,0.000000,0.002559,0.000000,0.000000,0.000000,-1,168792,337696,103007,62126,3659,28475,2.382907,12.394248,8.582584,0.483317,4.936663,10.339774,12.584262,7.539471,9.964513,8.931991,37280,117069,374073.457449,3.410559,4486,external,1.705279,60756,48626,24052,35271,0.153998,0.262610,0.645063
A7_max_step24-it0030,0.68,0.680000,0.681680,30,0.000000,0.002533,0.000000,0.000000,0.000000,-1,169286,338700,102600,63044,3642,28645,2.351463,12.628902,8.798395,0.464426,4.961090,10.249996,12.169500,7.703032,10.107490,9.031625,37698,116958,373379.962952,3.410559,4518,external,1.705279,60882,49696,23338,35635,0.150614,0.256838,0.669454
