frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
23,60.52,c3,665.39,427.73,663.51,455.92,0,0
24,61.20,c0,662.06,408.62,664.55,408.17,0,0
24,61.20,c1,602.96,322.68,600.92,322.89,0,0
24,61.20,c2,572.94,529.99,574.51,530.62,0,0
24,61.20,c3,666.40,427.99,664.52,456.17,0,0
25,61.88,c0,660.69,408.85,663.20,408.40,0,0
25,61.88,c1,604.07,322.58,602.02,322.78,0,0
25,61.88,c2,572.11,529.64,573.67,530.28,0,0
25,61.88,c3,667.39,428.25,665.52,456.40,0,0
26,62.55,c0,659.32,409.06,661.84,408.63,0,0
26,62.55,c1,605.17,322.49,603.12,322.68,0,0
26,62.55,c2,571.30,529.28,572.84,529.93,0,0
26,62.55,c3,668.39,428.52,666.53,456.63,0,0
27,63.23,c0,657.95,409.27,660.48,408.86,0,0
27,63.23,c1,606.28,322.41,604.23,322.58,0,0
27,63.23,c2,570.49,528.91,572.02,529.57,0,0
27,63.23,c3,669.38,428.80,667.52,456.86,0,0
28,63.90,c0,656.56,409.47,659.11,409.07,0,0
28,63.90,c1,607.40,322.33,605.34,322.49,0,0
28,63.90,c2,569.69,528.54,571.20,529.21,0,0
28,63.90,c3,670.36,429.08,668.52,457.07,0,0
29,64.58,c0,655.17,409.66,657.73,409.28,0,0
29,64.58,c1,608.51,322.25,606.45,322.41,0,0
29,64.58,c2,568.90,528.16,570.40,528.85,0,0
29,64.58,c3,671.34,429.37,669.50,457.28,0,0
30,65.25,c0,653.78,409.84,656.35,409.47,0,0
30,65.25,c1,609.62,322.18,607.56,322.33,0,0
30,65.25,c2,568.12,527.78,569.60,528.47,0,0
30,65.25,c3,672.31,429.66,670.49,457.47,0,0
31,65.93,c0,652.38,410.02,654.96,409.66,0,0
31,65.93,c1,610.74,322.12,608.67,322.26,0,0
31,65.93,c2,567.35,527.39,568.81,528.10,0,0
31,65.93,c3,673.28,429.96,671.46,457.66,0,0
32,66.60,c0,650.97,410.18,653.56,409.84,0,0
32,66.60,c1,611.86,322.06,609.79,322.19,0,0
