frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
23,60.52,c3,665.39,427.73,665.39,456.39,0,0
24,61.20,c0,662.06,408.62,662.06,408.62,0,0
24,61.20,c1,602.96,322.68,602.96,322.68,0,0
24,61.20,c2,572.94,529.99,572.94,529.99,0,0
24,61.20,c3,666.40,427.99,666.40,456.62,0,0
25,61.88,c0,660.69,408.85,660.69,408.85,0,0
25,61.88,c1,604.07,322.58,604.07,322.58,0,0
25,61.88,c2,572.11,529.64,572.11,529.64,0,0
25,61.88,c3,667.39,428.25,667.39,456.85,0,0
26,62.55,c0,659.32,409.06,659.32,409.06,0,0
26,62.55,c1,605.17,322.49,605.17,322.49,0,0
26,62.55,c2,571.30,529.28,571.30,529.28,0,0
26,62.55,c3,668.39,428.52,668.39,457.06,0,0
27,63.23,c0,657.95,409.27,657.95,409.27,0,0
27,63.23,c1,606.28,322.41,606.28,322.41,0,0
27,63.23,c2,570.49,528.91,570.49,528.91,0,0
27,63.23,c3,669.38,428.80,669.38,457.27,0,0
28,63.90,c0,656.56,409.47,656.56,409.47,0,0
28,63.90,c1,607.40,322.33,607.40,322.33,0,0
28,63.90,c2,569.69,528.54,569.69,528.54,0,0
28,63.90,c3,670.36,429.08,670.36,457.47,0,0
29,64.58,c0,655.17,409.66,655.17,409.66,0,0
29,64.58,c1,608.51,322.25,608.51,322.25,0,0
29,64.58,c2,568.90,528.16,568.90,528.16,0,0
29,64.58,c3,671.34,429.37,671.34,457.66,0,0
30,65.25,c0,653.78,409.84,653.78,409.84,0,0
30,65.25,c1,609.62,322.18,609.62,322.18,0,0
30,65.25,c2,568.12,527.78,568.12,527.78,0,0
30,65.25,c3,672.31,429.66,672.31,457.84,0,0
31,65.93,c0,652.38,410.02,652.38,410.02,0,0
31,65.93,c1,610.74,322.12,610.74,322.12,0,0
31,65.93,c2,567.35,527.39,567.35,527.39,0,0
31,65.93,c3,673.28,429.96,673.28,458.02,0,0
32,66.60,c0,650.97,410.18,650.97,410.18,0,0
32,66.60,c1,611.86,322.06,611.86,322.06,0,0
32,66.60,c2,566.58,527.00,566.58,527.00,0,0
32,66.60,c3,674.24,430.27,674.24,458.18,0,0
33,67.28,c0,649.56,410.34,649.56,410.34,0,0
33,67.28,c1,612.98,322.01,612.98,322.01,0,0
33,67.28,c2,565.83,526.60,565.83,526.60,0,0
33,67.28,c3,675.20,430.58,675.20,458.34,0,0
34,67.95,c0,648.14,410.49,648.14,410.49,0,0
34,67.95,c1,614.10,321.97,614.10,321.97,0,0
34,67.95,c2,565.08,526.20,565.08,526.20,0,0
34,67.95,c3,676.15,430.90,676.15,458.49,0,0
35,68.62,c0,646.72,410.63,646.72,410.63,0,0
35,68.62,c1,615.22,321.92,615.22,321.92,0,0
35,68.62,c2,564.35,525.79,564.35,525.79,0,0
35,68.62,c3,677.09,431.22,677.09,458.63,0,0
36,69.30,c0,645.30,410.77,645.30,410.77,0,0
36,69.30,c1,616.34,321.89,616.34,321.89,0,0
36,69.30,c2,563.62,525.38,563.62,525.38,0,0
36,69.30,c3,678.03,431.55,678.03,458.77,0,0
37,69.97,c0,643.87,410.89,643.87,410.89,0,0
37,69.97,c1,617.46,321.86,617.46,321.86,0,0
37,69.97,c2,562.91,524.96,562.91,524.96,0,0
37,69.97,c3,678.96,431.89,678.96,458.89,0,0
38,70.65,c0,642.44,411.01,642.44,411.01,0,0
38,70.65,c1,618.59,321.83,618.59,321.83,0,0
38,70.65,c2,562.20,524.54,562.20,524.54,0,0
38,70.65,c3,679.89,432.23,679.89,459.01,0,0
39,71.32,c0,641.00,411.12,641.00,411.12,0,0
39,71.32,c1,619.71,321.82,619.71,321.82,0,0
39,71.32,c2,561.50,524.12,561.50,524.12,0,0
39,71.32,c3,680.81,432.57,680.81,459.12,0,0
40,72.00,c0,639.56,411.22,639.56,411.22,0,0
40,72.00,c1,620.83,321.80,620.83,321.80,0,0
40,72.00,c2,560.82,523.68,560.82,523.68,0,0
40,72.00,c3,681.73,432.93,681.73,459.22,0,0
41,72.67,c0,638.12,411.31,638.12,411.31,0,0
41,72.67,c1,621.96,321.79,621.96,321.79,0,0
41,72.67,c2,560.14,523.25,560.14,523.25,0,0
41,72.67,c3,682.63,433.28,682.63,459.31,0,0
42,73.35,c0,636.67,411.40,636.67,411.40,0,0
42,73.35,c1,623.08,321.79,623.08,321.79,0,0
42,73.35,c2,559.47,522.81,559.47,522.81,0,0
42,73.35,c3,683.53,433.65,683.53,459.40,0,0
43,74.03,c0,635.23,411.47,635.23,411.47,0,0
43,74.03,c1,624.21,321.79,624.21,321.79,0,0
43,74.03,c2,558.81,522.36,558.81,522.36,0,0
43,74.03,c3,684.43,434.02,684.43,459.47,0,0
44,74.70,c0,633.78,411.54,633.78,411.54,0,0
44,74.70,c1,625.33,321.80,625.33,321.80,0,0
44,74.70,c2,558.17,521.91,558.17,521.91,0,0
44,74.70,c3,685.31,434.39,685.31,459.54,0,0
45,75.38,c0,632.32,411.60,632.32,411.60,0,0
45,75.38,c1,626.45,321.82,626.45,321.82,0,0
45,75.38,c2,557.53,521.46,557.53,521.46,0,0
45,75.38,c3,686.19,434.77,710.32,434.77,0,0
46,76.05,c0,630.87,411.65,630.87,411.65,0,0
46,76.05,c1,627.58,321.84,627.58,321.84,0,0
46,76.05,c2,556.90,521.00,556.90,521.00,0,0
46,76.05,c3,687.07,435.16,708.87,435.16,0,0
47,76.72,c0,629.41,411.69,629.41,411.69,0,0
47,76.72,c1,628.70,321.86,628.70,321.86,0,0
47,76.72,c2,556.29,520.54,556.29,520.54,0,0
47,76.72,c3,687.93,435.55,707.41,435.55,0,0
48,77.40,c0,627.96,411.72,627.96,411.72,0,0
48,77.40,c1,629.82,321.89,629.82,321.89,0,0
48,77.40,c2,555.68,520.08,555.68,520.08,0,0
48,77.40,c3,688.79,435.95,705.96,435.95,0,0
49,78.07,c0,626.50,411.75,626.50,411.75,0,0
49,78.07,c1,630.94,321.93,630.94,321.93,0,0
49,78.07,c2,555.09,519.61,555.09,519.61,0,0
49,78.07,c3,689.64,436.35,704.50,436.35,0,0
50,78.75,c0,625.04,411.77,625.04,411.77,0,0
50,78.75,c1,632.07,321.97,632.07,321.97,0,0
50,78.75,c2,554.50,519.14,554.50,519.14,0,0
50,78.75,c3,690.49,436.76,703.04,436.76,0,0
51,79.42,c0,623.58,411.77,623.58,411.77,0,0
51,79.42,c1,633.19,322.02,633.19,322.02,0,0
51,79.42,c2,553.93,518.66,553.93,518.66,0,0
51,79.42,c3,691.32,437.17,701.58,437.17,0,0
52,80.10,c0,622.13,411.77,622.13,411.77,0,0
52,80.10,c1,634.30,322.07,634.30,322.07,0,0
52,80.10,c2,553.37,518.18,553.37,518.18,0,0
52,80.10,c3,692.15,437.59,700.13,437.59,0,0
53,80.77,c0,620.67,411.76,620.67,411.76,0,0
53,80.77,c1,635.42,322.13,635.42,322.13,0,0
53,80.77,c2,552.82,517.70,552.82,517.70,0,0
53,80.77,c3,692.97,438.02,698.67,438.02,0,0
54,81.45,c0,619.21,411.74,619.21,411.74,0,0
54,81.45,c1,636.54,322.19,636.54,322.19,0,0
54,81.45,c2,552.27,517.21,552.27,517.21,0,0
54,81.45,c3,693.78,438.45,697.21,438.45,0,0
55,82.12,c0,617.75,411.72,617.75,411.72,0,0
55,82.12,c1,637.65,322.26,637.65,322.26,0,0
55,82.12,c2,551.74,516.72,551.74,516.72,0,0
55,82.12,c3,694.59,438.88,695.75,438.88,0,0
56,82.80,c0,616.30,411.68,616.30,411.68,0,0
56,82.80,c1,638.77,322.34,638.77,322.34,0,0
56,82.80,c2,551.23,516.23,551.23,516.23,0,0
56,82.80,c3,695.38,439.32,695.38,439.32,0,0
57,83.47,c0,614.84,411.64,614.84,411.64,0,0
57,83.47,c1,639.88,322.42,639.88,322.42,0,0
57,83.47,c2,550.72,515.73,550.72,515.73,0,0
57,83.47,c3,696.17,439.77,696.17,439.77,0,0
58,84.15,c0,613.39,411.59,613.39,411.59,0,0
58,84.15,c1,640.99,322.51,640.99,322.51,0,0
58,84.15,c2,550.22,515.23,550.22,515.23,0,0
58,84.15,c3,696.95,440.22,696.95,440.22,0,0
59,84.82,c0,611.94,411.53,611.94,411.53,0,0
59,84.82,c1,642.10,322.60,642.10,322.60,0,0
59,84.82,c2,549.74,514.73,549.74,514.73,0,0
59,84.82,c3,697.72,440.67,697.72,440.67,0,0
60,85.50,c0,610.49,411.46,610.49,411.46,0,0
60,85.50,c1,643.20,322.69,643.20,322.69,0,0
60,85.50,c2,549.26,514.22,549.26,514.22,0,0
60,85.50,c3,698.48,441.13,698.48,441.13,0,0
61,86.17,c0,609.04,411.38,609.04,411.38,0,0
61,86.17,c1,644.31,322.80,644.31,322.80,0,0
61,86.17,c2,548.80,513.72,548.80,513.72,0,0
61,86.17,c3,699.23,441.60,699.23,441.60,0,0
62,86.85,c0,607.59,411.30,607.59,411.30,0,0
62,86.85,c1,645.41,322.90,645.41,322.90,0,0
62,86.85,c2,548.35,513.20,548.35,513.20,0,0
62,86.85,c3,699.98,442.07,699.98,442.07,0,0
63,87.53,c0,606.15,411.20,606.15,411.20,0,0
63,87.53,c1,646.51,323.02,646.51,323.02,0,0
63,87.53,c2,547.91,512.69,547.91,512.69,0,0
63,87.53,c3,700.71,442.55,700.71,442.55,0,0
64,88.20,c0,604.71,411.10,604.71,411.10,0,0
64,88.20,c1,647.60,323.14,647.60,323.14,0,0
64,88.20,c2,547.48,512.17,547.48,512.17,0,0
64,88.20,c3,701.44,443.03,701.44,443.03,0,0
65,88.88,c0,603.28,410.99,603.28,410.99,0,0
65,88.88,c1,648.70,323.26,648.70,323.26,0,0
65,88.88,c2,547.06,511.66,547.06,511.66,0,0
65,88.88,c3,702.15,443.51,702.15,443.51,0,0
66,89.55,c0,601.84,410.87,601.84,410.87,0,0
66,89.55,c1,649.79,323.39,649.79,323.39,0,0
66,89.55,c2,546.66,511.13,546.66,511.13,0,0
66,89.55,c3,702.86,444.00,702.86,444.00,0,0
67,90.23,c0,600.42,410.74,600.42,410.74,0,0
67,90.23,c1,650.88,323.53,650.88,323.53,0,0
67,90.23,c2,546.27,510.61,546.27,510.61,0,0
67,90.23,c3,703.56,444.50,703.56,444.50,0,0
68,90.90,c0,598.99,410.61,598.99,410.61,0,0
68,90.90,c1,651.96,323.67,651.96,323.67,0,0
68,90.90,c2,545.88,510.08,545.88,510.08,0,0
68,90.90,c3,704.25,445.00,704.25,445.00,0,0
69,91.58,c0,597.57,410.46,597.57,410.46,0,0
69,91.58,c1,653.05,323.81,653.05,323.81,0,0
69,91.58,c2,545.51,509.56,545.51,509.56,0,0
69,91.58,c3,704.93,445.50,704.93,445.50,0,0
70,92.25,c0,596.16,410.31,596.16,410.31,0,0
70,92.25,c1,654.13,323.96,654.13,323.96,0,0
70,92.25,c2,545.15,509.03,545.15,509.03,0,0
70,92.25,c3,705.59,446.01,705.59,446.01,0,0
71,92.93,c0,594.75,410.15,594.75,410.15,0,0
71,92.93,c1,655.20,324.12,655.20,324.12,0,0
71,92.93,c2,544.81,508.49,544.81,508.49,0,0
71,92.93,c3,706.25,446.52,706.25,446.52,0,0
72,93.60,c0,593.34,409.98,593.34,409.98,0,0
72,93.60,c1,656.28,324.28,656.28,324.28,0,0
72,93.60,c2,544.47,507.96,544.47,507.96,0,0
