cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf
1e-08,0,40,2.9943306,0.0982144,0.0314367,0.000289043,0,0,4056,121,1,1,3,121,0.5799,0,0,0,0.10203
1e-08,0,41,2.993776,0.0878155,0.0281082,0.000272099,0,0,4056,124,1,1,3,124,0.5799,0,0,0,0.10203
1e-08,0,42,2.9932511,0.0950428,0.034377,0.000270378,0.000493097,2,4056,121,1,1,3,121,0.5799,0,0,0,0.10203
1e-08,0,43,2.992671,0.117976,0.0426719,0.000291309,0,0,4056,121,1,1,3,121,0.5799,0,0,0,0.10203
1e-08,0,44,2.9918602,0.151258,0.0547102,0.000352775,0.000493097,2,4056,121,1,1,3,121,0.5799,0,0,0,0.10203
1e-08,0,45,2.9905849,0.1998,0.0682143,0.00044526,0,0,4056,121,1,1,3,121,0.5799,0,0,0,0.10203
1e-08,0,46,2.9885722,0.1998,0.0671351,0.000427683,0.000493097,2,4056,122,1,1,3,122,0.5799,0,0,0,0.10203
1e-08,0,47,2.9863987,0.1998,0.0686433,0.000512676,0,0,4056,121,1,1,3,121,0.5814,0,0,0,0.10202
1e-08,0,48,2.9838779,0.177134,0.0601399,0.000456766,0.00147929,6,4056,119,1,1,3,119,0.5814,0,0,0,0.10203
1e-08,0,49,2.9816454,0.1998,0.0699434,0.000433824,0,0,4056,120,1,1,3,120,0.5799,0,0,0,0.10203
1e-08,0,50,2.9796056,0.131135,0.0355736,0.00038233,0.000493097,2,4056,120,1,1,3,120,0.5799,0,0,0,0.10203
1e-08,0,51,2.9778586,0.138012,0.0374394,0.000388142,0.000493097,2,4056,121,1,1,3,121,0.5799,0,0,0,0.10203
1e-08,0,52,2.9764246,0.14981,0.0406398,0.000463617,0.000493097,2,4056,119,1,1,3,119,0.5799,0,0,0,0.10203
1e-08,0,53,2.9746686,0.169296,0.0459258,0.000552928,0.000493097,2,4056,120,1,1,3,120,0.5799,0,0,0,0.10202
1e-08,0,54,2.9725053,0.153471,0.0529318,0.000624826,0,0,4056,118,1,1,3,118,0.5799,0,0,0,0.10202
1e-08,0,55,2.9699721,0.173094,0.0607437,0.000638405,0.00147929,6,4056,120,1,1,3,120,0.5799,0,0,0,0.10202
1e-08,0,56,2.9674244,0.185875,0.0627022,0.000558558,0,0,4056,120,1,1,3,120,0.5799,0,0,0,0.10202
1e-08,0,57,2.9651756,0.140379,0.0465539,0.000444774,0.000986193,4,4056,122,1,1,3,122,0.5799,0,0,0,0.10203
1e-08,0,58,2.9636358,0.11799,0.0434905,0.000331531,0.000493097,2,4056,120,1,1,3,120,0.5799,0,0,0,0.10203
1e-08,0,59,2.9627597,0.101879,0.0380285,0.000295604,0,0,4056,121,1,1,3,121,0.5814,0,0,0,0.10203
1e-08,0,60,2.9620733,0.0794831,0.0307205,0.00027659,0,0,4056,120,1,1,3,120,0.5814,0,0,0,0.10203
1e-08,0,61,2.9614684,0.0766831,0.0232955,0.000272404,0.000493097,2,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,62,2.9608667,0.074377,0.0231846,0.000262183,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,63,2.9601987,0.0751805,0.0255278,0.0002728,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,64,2.9594048,0.0950513,0.0308311,0.000306556,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,65,2.9584231,0.122652,0.041144,0.000363439,0.000493097,2,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,66,2.9572127,0.167783,0.0606873,0.000465263,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,67,2.9556896,0.165499,0.058554,0.000532018,0.000986193,4,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,68,2.9538669,0.153117,0.0480455,0.000479159,0.000493097,2,4056,123,1,1,3,123,0.5828,0,0,0,0.10203
1e-08,0,69,2.9525138,0.109837,0.0349517,0.000311779,0.000493097,2,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,70,2.9516969,0.0932222,0.0255152,0.000233779,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,71,2.9513747,0.0826502,0.022421,0.000176993,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,72,2.9511857,0.110268,0.0299129,0.000152573,0.000493097,2,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,73,2.951011,0.125471,0.0340373,0.000148444,0.000986193,4,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,74,2.9508218,0.13067,0.0354476,0.000146443,0.000493097,2,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,75,2.950621,0.128937,0.0349775,0.000146193,0,0,4056,121,1,1,3,121,0.5828,0,0,0,0.10203
1e-08,0,76,2.9504197,0.121488,0.0329566,0.000142514,0,0,4056,121,1,1,3,121,0.5843,0,0,0,0.10203
1e-08,0,77,2.9502283,0.110623,0.0300094,0.000136706,0.000493097,2,4056,121,1,1,3,121,0.5843,0,0,0,0.10203
1e-08,0,78,2.9500506,0.075211,0.0272038,9.96697e-05,0,0,4056,121,1,1,3,121,0.5843,0,0,0,0.10204
1e-08,0,79,2.9499107,0.0756809,0.0273738,8.59387e-05,0,0,4056,121,1,1,3,121,0.5843,0,1,0,0.10204
1e-08,0,80,5.1477776,0.1998,0.229762,0.0207182,0.0113412,46,4056,103,1,1,3,103,0.7249,1,0,0,0.09958
1e-08,0,81,3.9688454,0.157354,0.100616,0.00670969,0.00345168,14,4056,117,1,1,3,117,0.6509,1,0,0,0.10118
1e-08,0,82,3.4408992,0.121445,0.0603634,0.00456246,0.00246548,10,4056,121,1,1,3,121,0.6435,1,0,0,0.10178
1e-08,0,83,3.1847989,0.107835,0.049743,0.00301534,0.00147929,6,4056,123,1,1,3,123,0.6287,1,0,0,0.10217
1e-08,0,84,3.0556587,0.118694,0.0416538,0.00223281,0.00147929,6,4056,121,1,1,3,121,0.6050,1,0,0,0.10230
1e-08,0,85,2.9827321,0.124104,0.0441796,0.00187567,0.000986193,4,4056,119,1,1,3,119,0.6021,1,0,0,0.10240
1e-08,0,86,2.9365033,0.105722,0.0410114,0.00160817,0.000493097,2,4056,119,1,1,3,119,0.5991,1,0,0,0.10245
1e-08,0,87,2.9088784,0.105883,0.0406595,0.00118613,0.000986193,4,4056,119,1,1,3,119,0.5991,1,0,0,0.10250
1e-08,0,88,2.8921838,0.109692,0.0419956,0.0011619,0.000493097,2,4056,131,1,1,3,131,0.5962,1,0,0,0.10249
1e-08,0,89,2.8793672,0.113303,0.0409816,0.0010446,0.000986193,4,4056,131,1,1,3,131,0.5932,1,0,0,0.10250
1e-08,0,90,2.8685169,0.130663,0.0408483,0.000864919,0,0,4056,133,1,1,3,133,0.5917,1,0,0,0.10252
1e-08,0,91,2.860983,0.0944133,0.0307297,0.000783041,0.000493097,2,4056,129,1,1,3,129,0.5917,1,0,0,0.10253
1e-08,0,92,2.8556239,0.0849303,0.0314634,0.000601889,0,0,4056,130,1,1,3,130,0.5917,1,0,0,0.10254
1e-08,0,93,2.8520644,0.0909678,0.0297369,0.000520335,0.000493097,2,4056,130,1,1,3,130,0.5902,1,0,0,0.10254
1e-08,0,94,2.8494347,0.0974175,0.0284098,0.000527483,0,0,4056,129,1,1,3,129,0.5902,1,0,0,0.10253
1e-08,0,95,2.8467168,0.118604,0.0379631,0.000529715,0,0,4056,126,1,1,3,126,0.5888,1,0,0,0.10253
1e-08,0,96,2.8438699,0.113267,0.0369692,0.000472581,0,0,4056,131,1,1,3,131,0.5873,1,0,0,0.10254
1e-08,0,97,2.8414178,0.13373,0.0409319,0.000470671,0.00197239,8,4056,129,1,1,3,129,0.5873,1,0,0,0.10254
1e-08,0,98,2.8390483,0.114517,0.0395993,0.000445218,0.000986193,4,4056,131,1,1,3,131,0.5873,1,0,0,0.10254
1e-08,0,99,2.8372889,0.156093,0.0595936,0.000392043,0.000986193,4,4056,134,1,1,3,134,0.5873,1,0,0,0.10255
1e-08,0,100,2.8363564,0.12031,0.0459324,0.000271506,0,0,4056,132,1,1,3,132,0.5873,1,0,0,0.10255
1e-08,0,101,2.8359155,0.0803041,0.0239815,0.000203378,0,0,4056,135,1,1,3,135,0.5873,1,0,0,0.10255
1e-08,0,102,2.8356622,0.0795574,0.0229927,0.000170527,0,0,4056,140,1,1,3,140,0.5873,1,0,0,0.10255
1e-08,0,103,2.835458,0.0930005,0.0267286,0.000159148,0,0,4056,136,1,1,3,136,0.5873,1,0,0,0.10255
1e-08,0,104,2.8352328,0.0511703,0.014675,0.000133935,0,0,4056,141,1,1,3,141,0.5873,1,0,0,0.10256
1e-08,0,105,2.8350209,0.0563529,0.0166481,0.000137328,0,0,4056,133,1,1,3,133,0.5873,1,0,0,0.10256
1e-08,0,106,2.8348337,0.0634054,0.020295,0.000156188,0,0,4056,140,1,1,3,140,0.5873,1,0,0,0.10256
1e-08,0,107,2.8346082,0.0791266,0.025327,0.000165203,0,0,4056,143,1,1,3,143,0.5873,1,0,0,0.10256
1e-08,0,108,2.834322,0.0952068,0.030474,0.000175196,0.000493097,2,4056,136,1,1,3,136,0.5873,1,0,0,0.10256
1e-08,0,109,2.8339728,0.107627,0.0344496,0.000190017,0.000493097,2,4056,136,1,1,3,136,0.5873,1,0,0,0.10255
1e-08,0,110,2.8335815,0.107795,0.0345032,0.00016482,0,0,4056,139,1,1,3,139,0.5873,1,1,0,0.10256
1e-08,0,111,2.6557621,0.0990107,0.0395845,0.00102072,0,0,4056,144,1,1,3,144,0.5873,2,0,0,0.10359
1e-08,0,112,2.6217558,0.0355518,0.0128293,0.000256446,0,0,4056,140,1,1,3,140,0.5902,2,0,0,0.10366
1e-08,0,113,2.6176155,0.0306117,0.0110723,0.000173754,0.000493097,2,4056,134,1,1,3,134,0.5888,2,0,0,0.10365
1e-08,0,114,2.6165738,0.0331125,0.0112697,0.000151326,0,0,4056,134,1,1,3,134,0.5888,2,0,0,0.10365
