cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf
1e-09,0,1,452.32409,0.1998,-1,-1,-1,-1,4056,138,1,1,3,138,1.0000,0,0,0,0.07489
1e-09,0,2,94.739194,0.1998,0.1998,0.0493166,0,0,4056,89,1,1,3,89,0.7825,0,0,0,0.08178
1e-09,0,3,29.877384,0.1998,0.198256,0.0310482,0.0226824,92,4056,93,1,1,3,93,0.7367,0,0,0,0.08938
1e-09,0,4,14.63831,0.19008,0.141922,0.0146417,0.00641026,26,4056,90,1,1,3,90,0.7056,0,0,0,0.09804
1e-09,0,5,9.3864211,0.175456,0.147342,0.00786469,0.00887574,36,4056,84,1,1,3,84,0.6805,0,0,0,0.10087
1e-09,0,6,7.8590201,0.186065,0.140974,0.00578958,0.010355,42,4056,81,1,1,3,81,0.6553,0,0,0,0.10119
1e-09,0,7,7.1454888,0.1998,0.126691,0.00577698,0.0128205,52,4056,82,1,1,3,82,0.6538,0,0,0,0.10115
1e-09,0,8,6.5429244,0.190167,0.0811575,0.00561108,0.00788955,32,4056,71,1,1,3,71,0.6509,0,0,0,0.10125
1e-09,0,9,6.0084054,0.15461,0.0919613,0.00553938,0.00591716,24,4056,76,1,1,3,76,0.6361,0,0,0,0.10128
1e-09,0,10,5.5503251,0.151208,0.0840434,0.00558986,0.00591716,24,4056,89,1,1,3,89,0.6183,0,0,0,0.10123
1e-09,0,11,5.1392254,0.16622,0.101531,0.00626093,0.00542406,22,4056,92,1,1,3,92,0.6124,0,0,0,0.10120
1e-09,0,12,4.7418679,0.1998,0.107949,0.0067232,0.00493097,20,4056,93,1,1,3,93,0.6109,0,0,0,0.10113
1e-09,0,13,4.3674552,0.186079,0.110335,0.00703969,0.00838264,34,4056,98,1,1,3,98,0.6006,0,0,0,0.10103
1e-09,0,14,4.0268639,0.1998,0.116262,0.00671909,0.00542406,22,4056,106,1,1,3,106,0.6006,0,0,0,0.10109
1e-09,0,15,3.7346033,0.1998,0.113034,0.00507495,0.00443787,18,4056,120,1,1,3,120,0.5976,0,0,0,0.10140
1e-09,0,16,3.542621,0.1998,0.126596,0.00422233,0.00394477,16,4056,126,1,1,3,126,0.5962,0,0,0,0.10157
1e-09,0,17,3.4093632,0.1998,0.11185,0.00330748,0.00345168,14,4056,133,1,1,3,133,0.5962,0,0,0,0.10172
1e-09,0,18,3.3177507,0.1998,0.0877661,0.0026075,0.000493097,2,4056,142,1,1,3,142,0.5917,0,0,0,0.10178
1e-09,0,19,3.2533036,0.1998,0.101607,0.00252624,0.00197239,8,4056,135,1,1,3,135,0.5769,0,0,0,0.10179
1e-09,0,20,3.1976919,0.1998,0.0762692,0.00228459,0.000493097,2,4056,127,1,1,3,127,0.5769,0,0,0,0.10186
1e-09,0,21,3.1496344,0.1998,0.0691606,0.0021235,0.00295858,12,4056,130,1,1,3,130,0.5754,0,0,0,0.10188
1e-09,0,22,3.1143045,0.1998,0.0788685,0.00185886,0.00345168,14,4056,128,1,1,3,128,0.5754,0,0,0,0.10192
1e-09,0,23,3.0863984,0.1998,0.0729716,0.00157723,0.00147929,6,4056,133,1,1,3,133,0.5754,0,0,0,0.10195
1e-09,0,24,3.0670179,0.1998,0.0799922,0.00120084,0.000986193,4,4056,130,1,1,3,130,0.5769,0,0,0,0.10198
1e-09,0,25,3.0535575,0.1998,0.066573,0.00103363,0,0,4056,126,1,1,3,126,0.5769,0,0,0,0.10199
1e-09,0,26,3.0433721,0.1998,0.0714706,0.00101537,0.00147929,6,4056,125,1,1,3,125,0.5769,0,0,0,0.10200
1e-09,0,27,3.0361391,0.1998,0.0646324,0.000959691,0.000986193,4,4056,128,1,1,3,128,0.5769,0,0,0,0.10201
1e-09,0,28,3.0300488,0.167531,0.0523886,0.00079935,0.000493097,2,4056,129,1,1,3,129,0.5784,0,0,0,0.10201
1e-09,0,29,3.0252265,0.188052,0.0577461,0.00083567,0.00147929,6,4056,129,1,1,3,129,0.5784,0,0,0,0.10201
1e-09,0,30,3.0203592,0.1998,0.0696848,0.000735434,0.000493097,2,4056,129,1,1,3,129,0.5784,0,0,0,0.10202
1e-09,0,31,3.0164068,0.1998,0.0536809,0.00070649,0.000493097,2,4056,132,1,1,3,132,0.5799,0,0,0,0.10202
1e-09,0,32,3.0128688,0.1998,0.0698035,0.000748816,0.000493097,2,4056,129,1,1,3,129,0.5799,0,0,0,0.10201
1e-09,0,33,3.0081986,0.1998,0.0698465,0.00075378,0.00197239,8,4056,129,1,1,3,129,0.5799,0,0,0,0.10202
1e-09,0,34,3.0037522,0.162742,0.0486129,0.000642554,0.000493097,2,4056,126,1,1,3,126,0.5799,0,0,0,0.10202
1e-09,0,35,3.0007005,0.156704,0.0531622,0.000565831,0.00295858,12,4056,126,1,1,3,126,0.5799,0,0,0,0.10202
1e-09,0,36,2.9985621,0.16458,0.0527129,0.000440672,0.000986193,4,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,37,2.9970984,0.175272,0.0561944,0.00040053,0,0,4056,129,1,1,3,129,0.5799,0,0,0,0.10203
1e-09,0,38,2.9959243,0.0975166,0.0312134,0.000350434,0.000493097,2,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,39,2.9949652,0.106047,0.0339439,0.000295982,0.000493097,2,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,40,2.9943306,0.0982144,0.0314367,0.000289043,0,0,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,41,2.993776,0.0878155,0.0281082,0.000272099,0,0,4056,129,1,1,3,129,0.5799,0,0,0,0.10203
1e-09,0,42,2.9932511,0.0950428,0.034377,0.000270378,0.000493097,2,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,43,2.992671,0.117976,0.0426719,0.000291309,0,0,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,44,2.9918602,0.151258,0.0547102,0.000352775,0.000493097,2,4056,129,1,1,3,129,0.5799,0,0,0,0.10203
1e-09,0,45,2.9905849,0.1998,0.0682143,0.00044526,0,0,4056,129,1,1,3,129,0.5799,0,0,0,0.10203
1e-09,0,46,2.9885722,0.1998,0.0671351,0.000427683,0.000493097,2,4056,129,1,1,3,129,0.5799,0,0,0,0.10203
1e-09,0,47,2.9863987,0.1998,0.0686433,0.000512676,0,0,4056,125,1,1,3,125,0.5814,0,0,0,0.10202
1e-09,0,48,2.9838779,0.177134,0.0601399,0.000456766,0.00147929,6,4056,124,1,1,3,124,0.5814,0,0,0,0.10203
1e-09,0,49,2.9816454,0.1998,0.0699434,0.000433824,0,0,4056,126,1,1,3,126,0.5799,0,0,0,0.10203
1e-09,0,50,2.9796056,0.131135,0.0355736,0.00038233,0.000493097,2,4056,124,1,1,3,124,0.5799,0,0,0,0.10203
1e-09,0,51,2.9778586,0.138012,0.0374394,0.000388142,0.000493097,2,4056,127,1,1,3,127,0.5799,0,0,0,0.10203
1e-09,0,52,2.9764246,0.14981,0.0406398,0.000463617,0.000493097,2,4056,125,1,1,3,125,0.5799,0,0,0,0.10203
1e-09,0,53,2.9746686,0.169296,0.0459258,0.000552928,0.000493097,2,4056,124,1,1,3,124,0.5799,0,0,0,0.10202
1e-09,0,54,2.9725053,0.153471,0.0529318,0.000624826,0,0,4056,124,1,1,3,124,0.5799,0,0,0,0.10202
1e-09,0,55,2.9699721,0.173094,0.0607437,0.000638405,0.00147929,6,4056,128,1,1,3,128,0.5799,0,0,0,0.10202
1e-09,0,56,2.9674244,0.185875,0.0627022,0.000558558,0,0,4056,125,1,1,3,125,0.5799,0,0,0,0.10202
1e-09,0,57,2.9651756,0.140379,0.0465539,0.000444774,0.000986193,4,4056,125,1,1,3,125,0.5799,0,0,0,0.10203
1e-09,0,58,2.9636358,0.11799,0.0434905,0.000331531,0.000493097,2,4056,125,1,1,3,125,0.5799,0,0,0,0.10203
1e-09,0,59,2.9627597,0.101879,0.0380285,0.000295604,0,0,4056,127,1,1,3,127,0.5814,0,0,0,0.10203
1e-09,0,60,2.9620733,0.0794831,0.0307205,0.00027659,0,0,4056,125,1,1,3,125,0.5814,0,0,0,0.10203
1e-09,0,61,2.9614684,0.0766831,0.0232955,0.000272404,0.000493097,2,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,62,2.9608667,0.074377,0.0231846,0.000262183,0,0,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,63,2.9601987,0.0751805,0.0255278,0.0002728,0,0,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,64,2.9594048,0.0950512,0.0308311,0.000306556,0,0,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,65,2.9584231,0.122652,0.041144,0.000363439,0.000493097,2,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,66,2.9572127,0.167783,0.0606873,0.000465263,0,0,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,67,2.9556896,0.165499,0.058554,0.000532018,0.000986193,4,4056,126,1,1,3,126,0.5828,0,0,0,0.10203
1e-09,0,68,2.9538669,0.153117,0.0480455,0.000479159,0.000493097,2,4056,124,1,1,3,124,0.5828,0,0,0,0.10203
1e-09,0,69,2.9525138,0.109837,0.0349517,0.000311779,0.000493097,2,4056,128,1,1,3,128,0.5828,0,0,0,0.10203
1e-09,0,70,2.9516969,0.0932222,0.0255152,0.000233779,0,0,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,71,2.9513747,0.0826502,0.022421,0.000176993,0,0,4056,129,1,1,3,129,0.5828,0,0,0,0.10203
1e-09,0,72,2.9511857,0.110268,0.0299129,0.000152573,0.000493097,2,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,73,2.951011,0.125471,0.0340373,0.000148444,0.000986193,4,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,74,2.9508218,0.13067,0.0354476,0.000146443,0.000493097,2,4056,125,1,1,3,125,0.5828,0,0,0,0.10203
1e-09,0,75,2.950621,0.128937,0.0349775,0.000146193,0,0,4056,126,1,1,3,126,0.5828,0,0,0,0.10203
1e-09,0,76,2.9504197,0.121488,0.0329566,0.000142514,0,0,4056,126,1,1,3,126,0.5843,0,0,0,0.10203
1e-09,0,77,2.9502283,0.110623,0.0300094,0.000136706,0.000493097,2,4056,126,1,1,3,126,0.5843,0,0,0,0.10203
1e-09,0,78,2.9500506,0.075211,0.0272038,9.96697e-05,0,0,4056,126,1,1,3,126,0.5843,0,0,0,0.10204
1e-09,0,79,2.9499107,0.0756809,0.0273738,8.59387e-05,0,0,4056,126,1,1,3,126,0.5843,0,1,0,0.10204
1e-09,0,80,5.1477776,0.1998,0.229762,0.0207182,0.0113412,46,4056,109,1,1,3,109,0.7249,1,0,0,0.09958
1e-09,0,81,3.9688454,0.157354,0.100616,0.00670969,0.00345168,14,4056,122,1,1,3,122,0.6509,1,0,0,0.10118
1e-09,0,82,3.4408992,0.121445,0.0603634,0.00456246,0.00246548,10,4056,126,1,1,3,126,0.6435,1,0,0,0.10178
1e-09,0,83,3.1847989,0.107835,0.049743,0.00301534,0.00147929,6,4056,128,1,1,3,128,0.6287,1,0,0,0.10217
1e-09,0,84,3.0556587,0.118694,0.0416538,0.00223281,0.00147929,6,4056,126,1,1,3,126,0.6050,1,0,0,0.10230
