iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
18,0.0142261290438,58590,58590,0.528294741398,-0.00203041688771,0.0483362901927,4.79088829403e-09,2.40217512678e-10,3426,1,0,26942.5735416,12.3278331757,7259,0,0,0.159137019818,0.945719598385,0,0.1,0,0,11333.9946324,1,1,0,0,0,5,-5,0,10,11,0,0,0,1,0,0,0,0,0,0,27.0845875
19,0.0139378418919,58590,58590,0.528294741398,0.0025290824713,0.0483362901927,4.21715422049e-09,2.33498836948e-10,3426,1,0,26132.8726659,13.1692919731,7341,0,0,0.166164983885,0.948647744468,0,0.1,0,0,11367.8568482,1,1,0,0,0,8,-5,0,13,12,0,0,1,2,0,0,0,0,0,0,26.3799251672
20,0.0136279725052,58591,58591,0.528303758205,-0.00120677289353,0.0483362901927,4.35566641229e-09,2.28324314274e-10,3422,1,0,24250.1300831,12.2399168015,7417,0,0,0.143579642548,0.938532366986,0,0.1,0,0,11428.1221999,1,1,0,0,0,8,-5,0,13,13,0,0,1,-1,0,0,0,0,0,0,36.3816038747
21,0.0133462707567,58590,58590,0.528294741398,0.00164746074797,0.0483362901927,5.54582717754e-09,2.26013288837e-10,3445,1,0,27007.7454581,12.8915419579,7287,0,0,0.147993636772,0.953602221807,0,0.1,0,0,11348.7571412,1,1,0,0,0,9,-4,0,13,14,0,0,1,0,0,0,0,0,0,0,27.21766725
22,0.0130439676614,58590,58590,0.528294741398,-0.00279582602603,0.0483362901927,5.61352100125e-09,2.19307903369e-10,3430,1,0,26474.3692503,13.3601250648,7375,0,0,0.149885999548,0.956262206115,0,0.1,0,0,11442.455492,1,1,0,0,0,9,-4,0,13,14,0,0,0,0,0,0,0,0,0,0,26.6725739171
23,0.012774206548,58590,58590,0.528294741398,0.000815157114664,0.0483362901927,5.15454910954e-09,2.13833298612e-10,3416,1,0,23991.7583752,12.7847499847,7419,0,0,0.153141095836,0.953415669347,0,0.1,0,0,11481.776858,1,1,0,0,0,9,-6,0,15,15,0,0,1,-1,0,0,0,0,0,0,24.1722874581
24,0.0125095890956,58590,58590,0.528294741398,0.000620324742148,0.0483362901927,4.53676608417e-09,2.06751459369e-10,3420,1,0,24056.1416674,13.1527500153,7505,0,0,0.158373341779,0.956146856052,0,0.1,0,0,11548.5362853,1,1,0,0,0,9,-5,0,14,16,0,0,1,-1,0,0,0,0,0,0,24.2251673327
25,0.0122318812773,58590,58590,0.528294741398,-0.00265657683046,0.0483362901927,3.85668460662e-09,1.97739741391e-10,3418,1,0,28853.0878749,12.8834590912,7546,0,0,0.134688742933,0.949191600632,0,0.1,0,0,11625.90467,1,1,0,0,0,10,-5,0,15,16,0,0,0,1,0,0,0,0,0,0,40.91157775
26,0.0119857638761,58591,58591,0.528303758205,-0.000115023477987,0.0483362901927,3.58929238122e-09,1.91861683637e-10,3441,1,0,24310.891458,12.1710000038,7439,0,0,0.1399773955,0.959300091289,0,0.1,0,0,11531.7547981,1,1,0,0,0,10,-6,0,16,16,0,0,0,0,0,0,0,0,0,0,24.4489219161
27,0.0117466529575,58590,58590,0.528294741398,-0.000506322101275,0.0483362901927,3.24863048927e-09,1.8640303751e-10,3425,1,0,24384.3929172,13.0374999046,7494,0,0,0.145741648624,0.955825585364,0,0.1,0,0,11626.2743258,1,1,0,0,0,13,-5,0,18,17,0,0,1,2,0,0,0,0,0,0,24.5980836661
28,0.011521875185,58590,58590,0.528294741398,0.0011353040964,0.0483362901927,3.44027203679e-09,1.83579184543e-10,3412,1,0,23735.9041252,12.1447076797,7542,0,0,0.151275625836,0.936107754637,0,0.1,0,0,11669.1324486,1,1,0,0,0,11,-6,0,17,17,0,0,0,-2,0,0,0,0,0,0,23.8756074999
29,0.011307353486,58590,58590,0.528294741398,0.00244913303901,0.0483362901927,3.95884008113e-09,1.80040832438e-10,3406,1,0,28992.513,13.1040420532,7637,0,0,0.157966703811,0.944039938538,0,0.1,0,0,11736.5752776,1,1,0,0,0,14,-4,0,18,18,0,0,1,2,0,0,0,0,0,0,29.1943884999
30,0.0110671909029,58591,58591,0.528303758205,-0.00223093708863,0.0483362901927,3.88818927587e-09,1.75415445986e-10,3391,1,0,23800.4846668,12.0375833511,7718,0,0,0.135430097824,0.951324365707,0,0.1,0,0,11829.5484626,1,1,0,0,0,15,-5,0,20,19,0,0,1,0,0,0,0,0,0,0,36.0697110412
31,0.0108554456252,58591,58591,0.528303758205,0.000558886626832,0.0483362901927,3.37784881858e-09,1.7146933246e-10,3355,1,0,23855.7670841,13.6966657639,7600,0,0,0.14077697143,0.936779265706,0,0.1,0,0,11712.6777533,1,1,0,0,0,9,-4,0,13,19,0,0,0,-6,0,0,0,0,0,0,24.070335459
32,0.0106526016145,58590,58590,0.528294741398,0.000897627578132,0.0483362901927,2.96366711887e-09,1.6573774746e-10,3321,1,0,23141.2475839,13.0342502594,7652,0,0,0.145918785708,0.934940552534,0,0.1,0,0,11823.9455042,1,1,0,0,0,8,-3,0,11,19,0,0,0,-1,0,0,0,0,0,0,23.3016259582
33,0.0104388401581,58590,58590,0.528294741398,-0.00219671575557,0.0483362901927,2.60326426753e-09,1.60365275689e-10,3353,1,0,28500.6027088,12.6160831451,7699,0,0,0.151004154307,0.927698431476,0,0.1,0,0,11872.0159583,1,1,0,0,0,9,-1,0,10,20,0,0,1,0,0,0,0,0,0,0,28.6550762919
34,0.0102191040167,58591,58591,0.528303758205,-0.00413196614288,0.0483362901927,2.27820018561e-09,1.55977817802e-10,3314,1,0,23687.0684581,12.111582756,7776,0,0,0.15623558551,0.942155411568,0,0.1,0,0,11957.3634774,1,1,0,0,0,7,-5,0,12,20,0,0,0,-2,0,0,0,0,0,0,23.8505354999
35,0.0100341745704,58591,58591,0.528303758205,0.00176544765134,0.0483362901927,2.21908732507e-09,1.53878723611e-10,3321,1,0,23369.922667,13.0543751717,7831,0,0,0.136302216154,0.953463268454,0,0.1,0,0,11970.288022,1,1,0,0,0,8,-3,0,11,21,0,0,1,0,0,0,0,0,0,0,35.7737224577
36,0.00983991153676,58591,58591,0.528303758205,-0.00113456377992,0.0483362901927,2.76288472391e-09,1.50920169296e-10,3309,1,0,23307.2736669,12.9011249542,7751,0,0,0.140435129565,0.953309519986,0,0.1,0,0,11904.51239,1,1,0,0,0,10,-3,0,13,22,0,0,1,1,0,0,0,0,0,0,23.4754822091
37,0.00966175131314,58591,58591,0.528303758205,0.000793082290856,0.0483362901927,2.89452803701e-09,1.4804546671e-10,3328,1,0,28303.365375,12.1349167824,7806,0,0,0.144904017747,0.952523146345,0,0.1,0,0,11988.3676526,1,1,0,0,0,9,-3,0,12,23,0,0,1,-2,0,0,0,0,0,0,28.4470605412
38,0.00948069169091,58591,58591,0.528303758205,-0.000198658501261,0.0483362901927,2.69668706649e-09,1.45339089955e-10,3327,1,0,23458.243125,13.2542500496,7826,0,0,0.151071681782,0.974824948077,0,0.1,0,0,12010.987832,1,1,0,0,0,9,-3,0,12,23,0,0,0,0,0,0,0,0,0,0,23.6329700421
