tag,fixture,rung,contrast,core,sub,ndof,solved,nmodes,ncomp,solid_frac,lam6,lam7
G1,cantilever,0.68,1e+09,8,55,3630,1,6,1,0.518,8.7516e-03,1.2749e-02
G1,cantilever,0.68,1e+09,8,56,3630,1,6,1,0.950,1.5864e-02,1.7629e-02
G1,cantilever,0.68,1e+09,8,57,3630,1,6,1,1.000,1.4158e-02,1.8529e-02
G1,cantilever,0.68,1e+09,8,58,3630,1,6,1,0.950,1.6851e-02,1.7237e-02
G1,cantilever,0.68,1e+09,8,59,3300,1,6,1,0.377,1.0565e-02,1.9350e-02
G1,cantilever,0.68,1e+09,8,60,3267,1,4,1,0.116,1.0192e-02,1.1187e-02
G1,cantilever,0.68,1e+09,8,61,3993,1,6,1,0.630,8.6269e-03,1.2753e-02
G1,cantilever,0.68,1e+09,8,62,3993,1,6,1,0.990,1.5611e-02,1.6357e-02
G1,cantilever,0.68,1e+09,8,63,3993,1,6,1,1.000,1.5152e-02,1.5152e-02
G1,cantilever,0.68,1e+09,8,64,3993,1,6,1,0.922,1.3181e-02,1.8388e-02
G1,cantilever,0.68,1e+09,8,65,3630,1,6,1,0.318,7.8945e-03,1.4412e-02
G1,cantilever,0.68,1e+09,8,66,2970,1,6,1,0.075,1.1316e-02,1.2049e-02
G1,cantilever,0.68,1e+09,8,67,3630,1,6,1,0.518,8.7516e-03,1.2749e-02
G1,cantilever,0.68,1e+09,8,68,3630,1,6,1,0.950,1.5864e-02,1.7629e-02
G1,cantilever,0.68,1e+09,8,69,3630,1,6,1,1.000,1.4158e-02,1.8529e-02
G1,cantilever,0.68,1e+09,8,70,3630,1,6,1,0.950,1.6851e-02,1.7237e-02
G1,cantilever,0.68,1e+09,8,71,3300,1,6,1,0.377,1.0565e-02,1.9350e-02
G1,cantilever,0.68,1e+09,8,72,2970,1,0,1,0.823,2.4125e-02,3.1252e-02
G1,cantilever,0.68,1e+09,8,73,3630,1,6,1,0.998,1.4846e-02,1.8931e-02
G1,cantilever,0.68,1e+09,8,74,3630,1,6,1,1.000,1.4531e-02,1.8751e-02
G1,cantilever,0.68,1e+09,8,75,3630,1,6,1,0.842,1.3624e-02,1.8674e-02
G1,cantilever,0.68,1e+09,8,76,3630,1,6,1,0.329,1.0435e-02,1.8871e-02
G1,cantilever,0.68,1e+09,8,77,3300,1,6,1,0.004,1.3112e-03,2.4032e-03
G1,cantilever,0.68,1e+09,8,78,3267,1,0,1,0.887,2.2443e-02,2.9350e-02
G1,cantilever,0.68,1e+09,8,79,3993,1,6,1,1.000,1.5319e-02,1.5412e-02
G1,cantilever,0.68,1e+09,8,80,3993,1,6,1,1.000,1.5397e-02,1.5667e-02
G1,cantilever,0.68,1e+09,8,81,3993,1,6,1,0.808,1.0961e-02,1.8299e-02
G1,cantilever,0.68,1e+09,8,82,3993,1,6,1,0.274,8.0482e-03,1.4363e-02
G1,cantilever,0.68,1e+09,8,83,3630,1,6,0,0.000,8.1848e-04,1.2623e-03
G1,cantilever,0.68,1e+09,8,84,2970,1,0,1,0.823,2.4125e-02,3.1252e-02
G1,cantilever,0.68,1e+09,8,85,3630,1,6,1,0.998,1.4846e-02,1.8931e-02
G1,cantilever,0.68,1e+09,8,86,3630,1,6,1,1.000,1.4531e-02,1.8751e-02
G1,cantilever,0.68,1e+09,8,87,3630,1,6,1,0.842,1.3624e-02,1.8674e-02
G1,cantilever,0.68,1e+09,8,88,3630,1,6,1,0.329,1.0435e-02,1.8871e-02
G1,cantilever,0.68,1e+09,8,89,3300,1,6,1,0.004,1.3112e-03,2.4032e-03
G1,cantilever,0.68,1e+09,8,90,2700,1,0,1,1.000,2.8233e-02,3.8530e-02
G1,cantilever,0.68,1e+09,8,91,3300,1,6,1,0.911,1.4570e-02,2.0801e-02
G1,cantilever,0.68,1e+09,8,92,3300,1,6,1,0.516,8.3532e-03,1.4341e-02
G1,cantilever,0.68,1e+09,8,93,3300,1,6,1,0.114,8.0545e-03,1.0159e-02
G1,cantilever,0.68,1e+09,8,94,3300,1,7,0,0.000,2.5358e-04,1.0471e-03
G1,cantilever,0.68,1e+09,8,95,3000,1,6,0,0.000,1.8621e-02,1.8621e-02
G1,cantilever,0.68,1e+09,8,96,2970,1,0,1,1.000,2.5913e-02,3.4500e-02
G1,cantilever,0.68,1e+09,8,97,3630,1,6,1,0.911,1.2629e-02,2.1336e-02
G1,cantilever,0.68,1e+09,8,98,3630,1,6,1,0.500,6.9811e-03,1.3001e-02
G1,cantilever,0.68,1e+09,8,99,3630,1,6,1,0.096,7.1272e-03,7.6557e-03
G1,cantilever,0.68,1e+09,8,100,3630,1,6,0,0.000,7.3095e-04,1.1566e-03
G1,cantilever,0.68,1e+09,8,101,3300,1,6,0,0.000,1.5198e-02,1.9802e-02
G1,cantilever,0.68,1e+09,8,102,2700,1,0,1,1.000,2.8233e-02,3.8530e-02
G1,cantilever,0.68,1e+09,8,103,3300,1,6,1,0.911,1.4570e-02,2.0801e-02
G1,cantilever,0.68,1e+09,8,104,3300,1,6,1,0.516,8.3532e-03,1.4341e-02
G1,cantilever,0.68,1e+09,8,105,3300,1,6,1,0.114,8.0545e-03,1.0159e-02
G1,cantilever,0.68,1e+09,8,106,3300,1,7,0,0.000,2.5358e-04,1.0471e-03
G1,cantilever,0.68,1e+09,8,107,3000,1,6,0,0.000,1.8621e-02,1.8621e-02
G1,cantilever,0.52,1e+09,8,0,2700,1,0,1,0.870,2.8082e-02,3.4536e-02
G1,cantilever,0.52,1e+09,8,1,3300,1,6,1,0.935,1.3877e-02,1.8048e-02
G1,cantilever,0.52,1e+09,8,2,3300,1,6,1,0.712,6.2702e-03,9.1699e-03
G1,cantilever,0.52,1e+09,8,3,3300,1,6,2,0.536,7.6816e-03,1.0461e-02
G1,cantilever,0.52,1e+09,8,4,3300,1,6,1,0.542,6.9418e-04,2.4454e-03
G1,cantilever,0.52,1e+09,8,5,3000,1,6,1,0.945,1.1745e-02,1.7609e-02
G1,cantilever,0.52,1e+09,8,6,2970,1,0,1,0.926,2.3901e-02,3.1717e-02
G1,cantilever,0.52,1e+09,8,7,3630,1,6,1,1.000,1.4170e-02,1.8548e-02
G1,cantilever,0.52,1e+09,8,8,3630,1,6,1,0.973,1.5399e-02,1.9081e-02
G1,cantilever,0.52,1e+09,8,9,3630,1,6,1,0.838,1.2599e-02,2.3254e-02
G1,cantilever,0.52,1e+09,8,10,3630,1,6,1,0.860,1.1094e-02,1.5846e-02
G1,cantilever,0.52,1e+09,8,11,3300,1,6,1,1.000,1.5432e-02,1.9797e-02
G1,cantilever,0.52,1e+09,8,12,2700,1,0,1,0.870,2.8082e-02,3.4536e-02
G1,cantilever,0.52,1e+09,8,13,3300,1,6,1,0.935,1.3877e-02,1.8048e-02
G1,cantilever,0.52,1e+09,8,14,3300,1,6,1,0.712,6.2702e-03,9.1699e-03
G1,cantilever,0.52,1e+09,8,15,3300,1,6,2,0.536,7.6816e-03,1.0461e-02
G1,cantilever,0.52,1e+09,8,16,3300,1,6,1,0.542,6.9418e-04,2.4454e-03
G1,cantilever,0.52,1e+09,8,17,3000,1,6,1,0.945,1.1745e-02,1.7609e-02
G1,cantilever,0.52,1e+09,8,18,2970,1,5,1,0.125,1.4190e-02,1.7449e-02
G1,cantilever,0.52,1e+09,8,19,3630,1,6,1,0.460,1.1498e-02,1.5663e-02
G1,cantilever,0.52,1e+09,8,20,3630,1,6,1,0.511,1.1205e-02,1.5030e-02
G1,cantilever,0.52,1e+09,8,21,3630,1,6,1,0.270,3.1742e-03,9.2372e-03
G1,cantilever,0.52,1e+09,8,22,3630,1,6,1,0.529,3.3093e-03,5.2920e-03
G1,cantilever,0.52,1e+09,8,23,3300,1,6,1,0.988,1.6967e-02,2.1025e-02
G1,cantilever,0.52,1e+09,8,24,3267,1,4,1,0.204,9.9979e-03,1.3385e-02
G1,cantilever,0.52,1e+09,8,25,3993,1,6,1,0.696,9.6768e-03,1.5022e-02
G1,cantilever,0.52,1e+09,8,26,3993,1,6,1,0.976,1.6985e-02,1.7862e-02
G1,cantilever,0.52,1e+09,8,27,3993,1,6,1,0.814,1.2026e-02,1.7505e-02
G1,cantilever,0.52,1e+09,8,28,3993,1,6,1,0.832,1.0484e-02,1.3469e-02
