schedule,cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf,mnd,mfv,mnd_proj,mfv_proj,draft,traj_tol
cap8,1e-08,0,1,281.11555,0.1998,-1,-1,-1,-1,3456,111,1,1,3,111,1.0000,0,0,0,0.09003,0.276792,48,0.276792,48,0,1.00e-08
cap8,1e-08,0,2,95.226788,0.1998,0.1998,0.0602909,0,0,3456,85,1,1,3,85,0.8663,0,0,0,0.09521,0.277692,48,0.277692,48,0,1.00e-08
cap8,1e-08,0,3,33.132194,0.1998,0.198004,0.037973,0.0225694,78,3456,93,1,1,3,93,0.8403,0,0,0,0.10325,0.27293,26,0.27293,26,0,1.00e-08
cap8,1e-08,0,4,15.384317,0.176512,0.146352,0.0174192,0.00868056,30,3456,74,1,1,3,74,0.8108,0,0,0,0.11495,0.283066,30,0.283066,30,0,1.00e-08
cap8,1e-08,0,5,9.5412939,0.176853,0.149122,0.00889025,0.00925926,32,3456,72,1,1,3,72,0.8038,0,0,0,0.11864,0.275495,62,0.275495,62,0,1.00e-08
cap8,1e-08,0,6,7.9674474,0.183042,0.144243,0.0066394,0.0150463,52,3456,78,1,1,3,78,0.7743,0,0,0,0.11900,0.267618,84,0.267618,84,0,1.00e-08
cap8,1e-08,0,7,7.2672441,0.1998,0.147626,0.0066286,0.0104167,36,3456,77,1,1,3,77,0.7691,0,0,0,0.11896,0.258045,108,0.258045,108,0,1.00e-08
cap8,1e-08,0,8,6.6699313,0.183191,0.0927634,0.006546,0.0104167,36,3456,75,1,1,3,75,0.7656,0,0,0,0.11907,0.248229,118,0.248229,118,0,1.00e-08
cap8,1e-08,0,9,6.1377699,0.144867,0.0876999,0.00667349,0.00868056,30,3456,68,1,1,3,68,0.7517,0,0,0,0.11909,0.237941,140,0.237941,140,0,1.00e-08
cap8,1e-08,0,10,5.6653076,0.129935,0.0789085,0.00647492,0.00636574,22,3456,79,1,1,3,79,0.7274,0,0,0,0.11909,0.227783,158,0.227783,158,0,1.00e-08
cap8,1e-08,0,11,5.2483664,0.165944,0.0962736,0.00721752,0.00983796,34,3456,90,1,1,3,90,0.7205,0,0,0,0.11899,0.216112,154,0.216112,154,0,1.00e-08
cap8,1e-08,0,12,4.840655,0.1998,0.10427,0.0079008,0.00578704,20,3456,88,1,1,3,88,0.7188,0,0,0,0.11892,0.203319,148,0.203319,148,0,1.00e-08
cap8,1e-08,0,13,4.4410587,0.199372,0.103798,0.00836428,0.00868056,30,3456,90,1,1,3,90,0.7101,0,0,0,0.11879,0.189346,144,0.189346,144,0,1.00e-08
cap8,1e-08,0,14,4.0761995,0.1998,0.113713,0.00799568,0.00520833,18,3456,97,1,1,3,97,0.7031,0,0,0,0.11887,0.175659,162,0.175659,162,0,1.00e-08
cap8,1e-08,0,15,3.7673775,0.1998,0.124453,0.00697493,0.00578704,20,3456,108,1,1,3,108,0.7031,0,0,0,0.11902,0.163304,154,0.163304,154,0,1.00e-08
cap8,1e-08,0,16,3.5438933,0.1998,0.119405,0.00523577,0.00520833,18,3456,121,1,1,3,121,0.7014,0,0,0,0.11940,0.155478,176,0.155478,176,0,1.00e-08
cap8,1e-08,0,17,3.3897622,0.1998,0.10784,0.00408364,0.00578704,20,3456,127,1,1,3,127,0.6997,0,0,0,0.11958,0.150792,170,0.150792,170,0,1.00e-08
cap8,1e-08,0,18,3.2899683,0.1998,0.095884,0.0035367,0.00289352,10,3456,132,1,1,3,132,0.6927,0,0,0,0.11966,0.147234,174,0.147234,174,0,1.00e-08
cap8,1e-08,0,19,3.2185099,0.1998,0.0709464,0.00297444,0.00289352,10,3456,121,1,1,3,121,0.6771,0,0,0,0.11974,0.1441,184,0.1441,184,0,1.00e-08
cap8,1e-08,0,20,3.1644753,0.1998,0.0705585,0.00268606,0.00231481,8,3456,124,1,1,3,124,0.6753,0,0,0,0.11979,0.141713,196,0.141713,196,0,1.00e-08
cap8,1e-08,0,21,3.1233316,0.185627,0.0844643,0.00229093,0.00289352,10,3456,123,1,1,3,123,0.6753,0,0,0,0.11986,0.140047,204,0.140047,204,0,1.00e-08
cap8,1e-08,0,22,3.0922765,0.186584,0.0782428,0.00194004,0.00173611,6,3456,125,1,1,3,125,0.6753,0,0,0,0.11989,0.138854,214,0.138854,214,0,1.00e-08
cap8,1e-08,0,23,3.0711067,0.1998,0.0952707,0.00183016,0.000578704,2,3456,128,1,1,3,128,0.6753,0,0,0,0.11990,0.137769,216,0.137769,216,0,1.00e-08
cap8,1e-08,0,24,3.0515299,0.1998,0.0582973,0.00131054,0.000578704,2,3456,128,1,1,3,128,0.6753,0,0,0,0.11995,0.137198,202,0.137198,202,0,1.00e-08
cap8,1e-08,0,25,3.0386746,0.165609,0.0599008,0.000892102,0.00115741,4,3456,130,1,1,3,130,0.6771,0,0,0,0.11997,0.1371,198,0.1371,198,0,1.00e-08
cap8,1e-08,0,26,3.0320954,0.165768,0.0497886,0.000834813,0.00231481,8,3456,131,1,1,3,131,0.6771,0,0,0,0.11997,0.137118,202,0.137118,202,0,1.00e-08
cap8,1e-08,0,27,3.0273272,0.1247,0.0414321,0.000858095,0.00115741,4,3456,137,1,1,3,137,0.6771,0,0,0,0.11997,0.137182,206,0.137182,206,0,1.00e-08
cap8,1e-08,0,28,3.022736,0.163102,0.0473755,0.00088122,0.000578704,2,3456,128,1,1,3,128,0.6771,0,0,0,0.11997,0.137342,208,0.137342,208,0,1.00e-08
cap8,1e-08,0,29,3.0181309,0.1903,0.0509382,0.00084125,0,0,3456,127,1,1,3,127,0.6788,0,0,0,0.11998,0.137493,208,0.137493,208,0,1.00e-08
cap8,1e-08,0,30,3.0139871,0.180735,0.0638884,0.000772083,0.00173611,6,3456,129,1,1,3,129,0.6788,0,0,0,0.11998,0.137744,220,0.137744,220,0,1.00e-08
cap8,1e-08,0,31,3.0108525,0.1998,0.0718939,0.000863309,0.000578704,2,3456,129,1,1,3,129,0.6788,0,0,0,0.11998,0.138045,218,0.138045,218,0,1.00e-08
cap8,1e-08,0,32,3.0066287,0.1998,0.0719198,0.000918796,0.00115741,4,3456,124,1,1,3,124,0.6788,0,0,0,0.11997,0.138259,218,0.138259,218,0,1.00e-08
cap8,1e-08,0,33,3.0020688,0.1998,0.0599853,0.000932549,0,0,3456,123,1,1,3,123,0.6788,0,0,0,0.11997,0.138376,218,0.138376,218,0,1.00e-08
cap8,1e-08,0,34,2.9982645,0.1563,0.0503382,0.000721831,0.000578704,2,3456,122,1,1,3,122,0.6788,0,0,0,0.11998,0.138431,216,0.138431,216,0,1.00e-08
cap8,1e-08,0,35,2.9952718,0.15058,0.0489158,0.000706697,0.00173611,6,3456,122,1,1,3,122,0.6788,0,0,0,0.11999,0.138451,214,0.138451,214,0,1.00e-08
cap8,1e-08,0,36,2.9932116,0.147432,0.0472695,0.000655933,0.00231481,8,3456,121,1,1,3,121,0.6788,0,0,0,0.11999,0.138462,210,0.138462,210,0,1.00e-08
cap8,1e-08,0,37,2.9916079,0.159504,0.0512043,0.000584749,0,0,3456,122,1,1,3,122,0.6788,0,0,0,0.11999,0.138445,210,0.138445,210,0,1.00e-08
cap8,1e-08,0,38,2.9903477,0.132854,0.042785,0.00047734,0,0,3456,122,1,1,3,122,0.6806,0,0,0,0.11999,0.138444,210,0.138444,210,0,1.00e-08
cap8,1e-08,0,39,2.9893788,0.0732287,0.0234392,0.00033921,0,0,3456,122,1,1,3,122,0.6806,0,0,0,0.12000,0.138483,210,0.138483,210,0,1.00e-08
cap8,1e-08,0,40,2.9888115,0.0598203,0.0204846,0.00033104,0.000578704,2,3456,122,1,1,3,122,0.6806,0,0,0,0.12000,0.138564,208,0.138564,208,0,1.00e-08
cap8,1e-08,0,41,2.9883197,0.0617183,0.0223236,0.000340644,0.000578704,2,3456,122,1,1,3,122,0.6806,0,0,0,0.12000,0.13864,210,0.13864,210,0,1.00e-08
cap8,1e-08,0,42,2.9877841,0.0758826,0.0274468,0.000332936,0,0,3456,125,1,1,3,125,0.6806,0,0,0,0.12000,0.13883,210,0.13883,210,0,1.00e-08
cap8,1e-08,0,43,2.9871736,0.0857103,0.0301171,0.000328883,0,0,3456,122,1,1,3,122,0.6806,0,0,0,0.12000,0.13901,210,0.13901,210,0,1.00e-08
cap8,1e-08,0,44,2.986383,0.099805,0.0347742,0.000371296,0,0,3456,121,1,1,3,121,0.6806,0,0,0,0.11999,0.139203,210,0.139203,210,0,1.00e-08
cap8,1e-08,0,45,2.9852541,0.133566,0.0438896,0.000482765,0.000578704,2,3456,121,1,1,3,121,0.6806,0,0,0,0.11999,0.139382,212,0.139382,212,0,1.00e-08
cap8,1e-08,0,46,2.9835381,0.179548,0.0598039,0.000655758,0,0,3456,121,1,1,3,121,0.6806,0,0,0,0.11998,0.139508,212,0.139508,212,0,1.00e-08
cap8,1e-08,0,47,2.9809036,0.1998,0.0678877,0.000800204,0.00231481,8,3456,121,1,1,3,121,0.6806,0,0,0,0.11998,0.139484,212,0.139484,212,0,1.00e-08
cap8,1e-08,0,48,2.977364,0.1998,0.0700576,0.000798878,0.00115741,4,3456,121,1,1,3,121,0.6806,0,0,0,0.11998,0.139296,212,0.139296,212,0,1.00e-08
cap8,1e-08,0,49,2.9737997,0.109564,0.0383438,0.000500079,0,0,3456,120,1,1,3,120,0.6788,0,0,0,0.11999,0.139132,212,0.139132,212,0,1.00e-08
cap8,1e-08,0,50,2.9717538,0.138308,0.0375197,0.000389696,0.00115741,4,3456,120,1,1,3,120,0.6806,0,0,0,0.11999,0.139059,212,0.139059,212,0,1.00e-08
cap8,1e-08,0,51,2.970555,0.151091,0.0447723,0.000430429,0,0,3456,123,1,1,3,123,0.6806,0,0,0,0.11999,0.138949,212,0.138949,212,0,1.00e-08
cap8,1e-08,0,52,2.9692714,0.168013,0.0516502,0.000482031,0.00115741,4,3456,120,1,1,3,120,0.6806,0,0,0,0.11999,0.138788,216,0.138788,216,0,1.00e-08
cap8,1e-08,0,53,2.9678459,0.171676,0.0484595,0.000519355,0,0,3456,120,1,1,3,120,0.6806,0,0,0,0.11999,0.138603,216,0.138603,216,0,1.00e-08
cap8,1e-08,0,54,2.9662648,0.140599,0.0475679,0.000522988,0,0,3456,120,1,1,3,120,0.6806,0,0,0,0.11999,0.138441,216,0.138441,216,0,1.00e-08
