iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
20,0.00272872154953,75414,75414,0.679993507899,0.00509174564857,0.0483362901927,1.10930146169e-10,1.05567132557e-11,3009,1,0,16848.2835832,12.1126246452,24519,0,0,0.186874888618,0.948955096501,0,0.1,0,0,34700.3278349,1,1,0,0,0,28,-200,0,228,12,0,19,1,0,27.5838913331
21,0.00267700221246,75415,75415,0.680002524706,-0.00247876349802,0.0483362901927,1.09283656922e-10,9.43190525618e-12,2938,1,0,16232.5935001,13.0000419617,22380,0,0,0.189122187756,0.954574130844,0,0.1,0,0,31294.4006657,1,1,0,0,0,166,-69,85,320,13,0,21,2,137,16.5328967501
22,0.00265521389,75415,75415,0.680002524706,0.00547219385529,0.0483362901927,9.00482085042e-11,9.07825039151e-12,3008,1,0,16559.630959,11.872625351,21592,0,0,0.191232890329,0.963283130835,0,0.1,0,0,29676.5587444,1,1,0,0,0,113,-29,44,186,14,0,24,2,-55,16.8382334588
23,0.00263353068424,75415,75415,0.680002524706,0.00172896003531,0.0483362901927,7.00065480757e-11,8.67298931891e-12,2997,1,0,16337.0901251,11.8999576569,20760,0,0,0.193406097531,0.961528736787,0,0.1,0,0,28184.7981511,1,1,0,0,0,72,28,15,59,15,0,25,1,-41,16.619148416
24,0.00261376625587,75414,75414,0.679993507899,-0.00051503608746,0.0483362901927,6.3921884878e-11,8.24986935782e-12,2991,1,0,16472.0743752,11.8918747902,20060,0,0,0.195573685154,0.948955096501,0,0.1,0,0,26778.6644026,1,1,0,0,0,57,60,13,10,16,0,30,4,-16,16.8836039589
25,0.00259928376834,75415,75415,0.680002524706,0.00180813784636,0.0483362901927,5.54713282638e-11,7.91126084693e-12,3013,1,0,16548.7924581,11.8952093124,19480,0,0,0.182239225901,0.977783384832,0,0.1,0,0,25625.9268273,1,1,0,0,0,51,35,15,31,17,0,31,1,-5,26.9332795409
26,0.00258134810451,75414,75414,0.679993507899,0.00130982026528,0.0483362901927,5.34364044388e-11,7.48710598426e-12,3211,1,0,17522.3520002,12.0026659966,15805,0,0,0.182947394294,0.977783384832,0,0.1,0,0,22712.8029191,1,1,0,0,0,32,-26,5,63,18,0,32,1,-19,17.7881213748
27,0.00257276329777,75414,75414,0.679993507899,-0.00220250225649,0.0483362901927,4.71165003003e-11,7.16487774834e-12,3199,1,0,17580.3699174,12.6391658783,15742,0,0,0.18390658922,0.986847859563,0,0.1,0,0,22524.7226568,1,1,0,0,0,32,-26,3,61,19,0,33,1,0,17.9244516664
28,0.00256678409491,75414,75414,0.679993507899,0.00116171414713,0.0483362901927,3.87004991549e-11,6.98527881555e-12,3188,1,0,17898.6486249,11.8530831337,15485,0,0,0.185186937034,0.977783384832,0,0.1,0,0,22163.9843903,1,1,0,0,0,27,-23,3,53,20,0,37,3,-5,18.2834799998
29,0.00256141675088,75415,75415,0.680002524706,-5.67433918912e-05,0.0483362901927,3.62909825532e-11,6.81179901052e-12,3151,1,0,17192.355083,11.6245417595,15472,0,0,0.186927642106,0.977783384832,0,0.1,0,0,21919.1341463,1,1,0,0,0,28,-26,3,57,21,0,39,2,1,17.4555709581
30,0.00255624537046,75415,75415,0.680002524706,-0.000311225923596,0.0483362901927,3.29526627653e-11,6.62912370254e-12,3091,1,0,17456.2897081,13.0824170113,15489,0,0,0.180563553751,0.967788114457,0,0.1,0,0,21732.7544007,1,1,0,0,0,30,-19,5,54,22,0,40,1,2,28.471060208
31,0.00255183898617,75415,75415,0.680002524706,-0.00219305686975,0.0483362901927,3.6844336468e-11,6.51271295238e-12,3007,1,0,17245.463625,11.8197083473,14214,0,0,0.181265316929,0.97567974976,0,0.1,0,0,20817.8206802,1,1,0,0,0,17,-21,1,39,22,0,40,0,-13,17.4680515416
32,0.00254915001521,75414,75414,0.679993507899,0.00119169709729,0.0483362901927,2.96393340784e-11,6.38354257151e-12,3012,1,0,16853.386333,12.1264576912,14306,0,0,0.182104893373,0.941355279979,0,0.1,0,0,20818.9690154,1,1,0,0,0,14,-25,1,40,23,0,43,3,-4,17.1153835841
33,0.00254585960753,75414,75414,0.679993507899,-0.00134247945814,0.0483362901927,2.60686684647e-11,6.28740851379e-12,3053,1,0,16737.424541,12.3682498932,14351,0,0,0.183826985839,0.977211665225,0,0.1,0,0,20663.9056718,1,1,0,0,0,13,-24,1,38,24,0,47,4,0,17.0765856667
34,0.00254358658442,75415,75415,0.680002524706,0.000587846176948,0.0483362901927,2.2779207021e-11,6.21281188305e-12,3034,1,0,16537.2159171,11.6016659737,14583,0,0,0.186022923461,0.964484945579,0,0.1,0,0,20667.1048186,1,1,0,0,0,17,-23,2,42,25,0,48,1,4,16.7979955003
35,0.00254120706162,75415,75415,0.680002524706,-0.000401817674238,0.0483362901927,1.85859441551e-11,6.15010659653e-12,2995,1,0,16252.9829998,11.7696671486,14763,0,0,0.181743011421,0.949808270689,0,0.1,0,0,20604.2017381,1,1,0,0,0,19,-24,2,45,26,0,49,1,2,26.66810625
36,0.00254165072437,75414,75414,0.679993507899,0.00152920496359,0.0483362901927,1.84578840218e-11,6.19279178952e-12,2990,1,0,16300.3164587,12.3932080269,13713,0,0,0.182633143823,0.940390624754,0,0.1,0,0,20197.0567555,1,1,0,0,0,12,-25,1,38,27,0,51,2,-6,16.5683835843
37,0.00253971523913,75415,75415,0.680002524706,-0.000632145375355,0.0483362901927,1.57852862871e-11,6.106265097e-12,2918,1,0,16281.1933331,11.8569998741,13880,0,0,0.183594787558,0.965927753088,0,0.1,0,0,20256.7826002,1,1,0,0,0,15,-26,2,43,27,0,51,0,3,16.4582075411
38,0.00253801657664,75415,75415,0.680002524706,-8.87063051901e-05,0.0483362901927,1.2407034986e-11,6.03282668543e-12,2511,1,0,13957.1822081,11.8555841446,14068,0,0,0.185292103048,0.965964726831,0,0.1,0,0,20301.7034174,1,1,0,0,0,14,-28,2,44,27,0,51,0,-1,14.1007781671
39,0.00253683665814,75415,75415,0.680002524706,0.000876165476211,0.0483362901927,9.23284792277e-12,6.02787853106e-12,2720,1,0,15498.6362081,12.3719172478,14202,0,0,0.187450056059,0.955854874753,0,0.1,0,0,20224.0907009,1,1,0,0,0,14,-28,2,44,28,0,54,2,0,15.889566083
40,0.00253512102799,75415,75415,0.680002524706,-0.000593320392688,0.0483362901927,1.07173369676e-11,5.94037594094e-12,2712,1,0,15235.4589162,11.7917089462,14419,0,0,0.18486239906,0.959728333533,0,0.1,0,0,20296.4201781,1,1,0,0,0,11,-30,0,41,29,0,58,2,-3,26.1574514578
41,0.0025362582597,75415,75415,0.680002524706,0.00211036099461,0.0483362901927,1.19101838396e-11,6.07628030009e-12,2646,1,0,15263.059875,13.5320839882,13476,0,0,0.185718310107,0.971332085209,0,0.1,0,0,19948.0480604,1,1,0,0,0,10,-30,2,42,30,0,60,2,-2,15.7404276254
42,0.00253501318509,75415,75415,0.680002524706,-0.000248818568544,0.0483362901927,1.26674147955e-11,5.97019801141e-12,2654,1,0,15246.392375,11.9962501526,13579,0,0,0.186601977248,0.973677943435,0,0.1,0,0,20075.0478436,1,1,0,0,0,9,-32,0,41,31,0,65,2,0,15.5271149999
43,0.00253434985289,75415,75415,0.680002524706,0.00139658155116,0.0483362901927,1.16030931249e-11,5.98322386175e-12,2668,1,0,15694.1526251,12.445125103,13762,0,0,0.188115278529,0.946546074725,0,0.1,0,0,20042.1313285,1,1,0,0,0,8,-31,1,40,31,0,65,0,-1,15.9400257496
44,0.002532719921,75414,75414,0.679993507899,-0.00138640138583,0.0483362901927,1.00735663282e-11,5.88952449332e-12,2645,1,0,15297.4439578,12.015458107,13943,0,0,0.189720782209,0.946536948676,0,0.1,0,0,20170.9663118,1,1,0,0,0,8,-33,0,41,32,0,69,3,-1,15.5567076672
