rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1785564909376,0.3072699547,0.051866,0,88,1,0,1,88,0,0,1.000000,995.266,0.000,1.065,0.022,985.425,980.255,5.169,8.112,0.142,0.097,0.403,4.709,304.678,670.175,0.000,0.000,0.000,0.000,1,352,0,0,142.33,161.80,0.00,3732.38,951,0
0,2,1785564910023,1775.475016,0.046874,0,47,1,0,1,47,0,0,1.000000,646.629,0.002,0.909,0.022,638.366,633.482,4.884,7.130,0.130,0.042,0.029,2.417,284.265,346.251,0.000,0.000,0.000,0.000,1,188,0,0,155.17,174.64,0.00,3747.55,951,0
0,3,1785564942523,3624.753798,0.036146,0,1200,0,0,1,300,0,0,1.000000,32499.840,0.002,0.895,0.019,32490.517,32485.319,5.197,7.481,0.142,0.757,0.029,2.407,287.666,2260.193,1954.655,25232.203,2671.714,75.976,1,3129,724,3,319.34,329.94,8.92,3945.45,959,0
0,4,1785564957238,58042.41465,0.038419,0,1444,0,0,1,300,0,16,1.000000,14714.362,0.003,0.914,0.021,14703.943,14698.637,5.305,8.414,0.138,0.808,0.124,2.450,288.503,2384.886,2460.397,2749.829,5567.767,1244.287,1,3389,724,2,343.25,348.64,14.11,3941.73,959,0
0,5,1785564959821,135.0170329,0.037781,0,287,1,0,1,287,0,0,1.000000,2582.248,0.004,0.888,0.020,2573.685,2568.608,5.076,7.438,0.134,0.051,0.033,2.544,292.591,2272.972,0.000,0.000,0.000,0.000,1,1148,0,0,343.25,354.20,8.55,4161.31,959,0
0,6,1785565011502,67281.8028,0.021079,0,7286,0,0,1,300,0,16,1.000000,51680.554,0.013,0.901,0.020,51670.180,51664.943,5.236,9.089,0.155,0.061,0.147,2.724,327.157,2297.933,12951.658,2663.845,28291.188,5129.655,1,9231,724,2,294.80,354.22,118.45,4034.75,959,0
0,7,1785565053637,3001.999112,0.038072,0,749,0,0,1,300,0,16,1.000000,42134.973,0.008,0.893,0.021,42125.385,42120.344,5.038,7.371,0.134,1.138,0.031,3.220,291.698,2281.402,1225.926,34972.012,2580.069,765.499,1,2628,658,3,375.41,362.77,32.09,3802.08,959,0
0,8,1785565064431,8939.076658,0.023710,0,992,0,0,1,300,0,16,1.000000,10793.118,0.003,0.960,0.021,10784.291,10779.246,5.045,7.639,0.138,0.041,0.029,2.613,297.264,2390.714,1650.040,2137.829,3396.112,904.185,1,2871,658,2,377.67,371.80,25.33,3962.50,959,0
0,9,1785565073912,14700.81293,0.033516,0,1203,0,0,0,0,0,16,1.000000,9480.883,0.002,0.912,0.020,9471.990,9466.849,5.141,7.728,0.144,0.048,0.041,2.480,0.000,0.000,1977.363,2259.740,4164.005,1062.573,1,1879,658,2,377.67,371.80,29.69,3749.77,959,0
0,10,1785565078693,51.90225312,0.022655,0,400,0,0,0,0,0,16,1.000000,4780.796,0.007,0.912,0.020,4771.865,4766.757,5.107,7.794,0.146,0.030,0.029,2.608,0.000,0.000,689.926,2130.935,1370.878,571.910,1,1076,658,2,377.67,371.80,29.81,3955.16,959,0
