setting,cg_total,setup_matvecs,dofwork,wall_median_s,cg_ms_median,recycle_ms_median,recycle_share_pct
off,17799,0,1.525018e+09,2.16165,2155.132,0.139,0.01
cycle=1,10401,336,9.199462e+08,1.74788,1148.782,627.397,35.32
cycle=2,11388,144,9.880618e+08,1.73102,1259.519,457.487,26.64
cycle=4,11922,48,1.025590e+09,1.99282,1501.995,485.502,24.43
cycle=8,12453,0,1.066973e+09,2.00177,1438.854,557.009,27.91
